timestamp, accelerationX, accelerationY, accelerationZ, UUID 
1493659599408,-0.22744916379451752,1.9752163887023926,8.810662269592285,,903d185fccf839df
1493659599533,0.090979665517807,1.0809820890426636,10.140641212463379,,903d185fccf839df
1493659599610,-1.6077064275741577,1.1863269805908203,7.870938301086426,,903d185fccf839df
1493659599715,-3.4739866256713867,-0.28371289372444153,0.3974374830722809,,903d185fccf839df
1493659599806,5.880159378051758,-4.1431660652160645,10.224438667297363,,903d185fccf839df
1493659599923,10.60152530670166,-5.838260650634766,8.270770072937012,,903d185fccf839df
1493659600014,6.3063273429870605,-6.117185115814209,1.6304513216018677,,903d185fccf839df
1493659600109,7.526173114776611,-4.800374507904053,3.2154128551483154,,903d185fccf839df
1493659600208,10.200496673583984,-4.929661273956299,-0.10654197633266449,,903d185fccf839df
1493659600274,5.218162536621094,-10.089165687561035,-0.47405192255973816,,903d185fccf839df
1493659600318,0.5135562419891357,-8.437167167663574,3.0992941856384277,,903d185fccf839df
1493659600398,3.6535518169403076,-12.51329517364502,-1.6376339197158813,,903d185fccf839df
1493659600546,2.3355438709259033,-5.728127479553223,-1.2761094570159912,,903d185fccf839df
1493659600735,-0.4405331015586853,-7.428010940551758,-3.1675288677215576,,903d185fccf839df
1493659600803,-0.11133038252592087,-11.947066307067871,4.1431660652160645,,903d185fccf839df
1493659600989,0.20350714027881622,-20.81399154663086,-0.39624038338661194,,903d185fccf839df
1493659601047,0.6248866319656372,-9.156624794006348,-1.9165585041046143,,903d185fccf839df
1493659601097,0.5051765441894531,-8.572439193725586,-1.5741876363754272,,903d185fccf839df
1493659601167,1.9943699836730957,-11.141417503356934,-2.5318682193756104,,903d185fccf839df
1493659601223,-0.47884035110473633,-8.394071578979492,-0.7003039717674255,,903d185fccf839df
1493659601313,-0.06823474913835526,-10.278307914733887,-1.766920804977417,,903d185fccf839df
1493659601415,1.0271124839782715,-11.586739540100098,-1.049857497215271,,903d185fccf839df
1493659601563,-0.5518634915351868,-10.485405921936035,-1.8938134908676147,,903d185fccf839df
1493659601614,-0.6009446382522583,-11.155782699584961,-1.0223240852355957,,903d185fccf839df
1493659601693,-0.03232172131538391,-10.225635528564453,-3.336320161819458,,903d185fccf839df
1493659601798,-0.8667010068893433,-10.11789608001709,-3.5278561115264893,,903d185fccf839df
1493659601878,-1.0043675899505615,-10.020931243896484,-2.7293899059295654,,903d185fccf839df
1493659601943,-1.9823989868164062,-9.294290542602539,-1.6699557304382324,,903d185fccf839df
1493659601998,-2.2421698570251465,-8.310274124145508,-3.1016883850097656,,903d185fccf839df
1493659602038,-2.5282769203186035,-7.9212164878845215,-2.898181200027466,,903d185fccf839df
1493659602067,-2.535459518432617,-7.709329605102539,-3.0154969692230225,,903d185fccf839df
1493659602086,-2.5282769203186035,-8.019378662109375,-3.557783842086792,,903d185fccf839df
1493659602113,-2.564189910888672,-7.923610687255859,-4.351461410522461,,903d185fccf839df
1493659602127,-2.6372132301330566,-7.620744228363037,-4.551377296447754,,903d185fccf839df
1493659602147,-2.783259391784668,-7.6997528076171875,-4.568136692047119,,903d185fccf839df
1493659602178,-2.869450807571411,-8.153453826904297,-3.9624037742614746,,903d185fccf839df
1493659602213,-2.9041666984558105,-7.800309181213379,-3.758896589279175,,903d185fccf839df
1493659602227,-2.8119897842407227,-7.91163969039917,-3.7864298820495605,,903d185fccf839df
1493659602244,-2.7988216876983643,-8.226476669311523,-3.8307228088378906,,903d185fccf839df
1493659602267,-2.4803929328918457,-8.403648376464844,-4.722562789916992,,903d185fccf839df
1493659602283,-2.099714994430542,-9.009381294250488,-5.193023681640625,,903d185fccf839df
1493659602323,-6.265625953674316,-17.310077667236328,-1.136048674583435,,903d185fccf839df
1493659602347,-4.934449672698975,-12.559982299804688,1.478419542312622,,903d185fccf839df
1493659602367,0.6847416758537292,-4.972756862640381,-0.40940847992897034,,903d185fccf839df
1493659602383,6.052541732788086,-2.937685489654541,-1.0642226934432983,,903d185fccf839df
1493659602407,7.2771759033203125,-4.9583916664123535,-1.4688427448272705,,903d185fccf839df
1493659602427,1.382651448249817,-11.012130737304688,2.146401882171631,,903d185fccf839df
1493659602447,-6.588842868804932,-17.616535186767578,4.107253074645996,,903d185fccf839df
1493659602467,-6.886921405792236,-10.989385604858398,-0.5674257874488831,,903d185fccf839df
1493659602487,-4.3825860023498535,-6.344634532928467,-0.5111620426177979,,903d185fccf839df
1493659602506,-1.9093759059906006,-7.893682956695557,1.316810965538025,,903d185fccf839df
1493659602533,-1.8830395936965942,-10.049661636352539,1.3263877630233765,,903d185fccf839df
1493659602543,-1.455674648284912,-10.036493301391602,1.212663173675537,,903d185fccf839df
1493659602566,0,-8.974664688110352,0.7864952683448792,,903d185fccf839df
1493659602587,0.8319851160049438,-7.953537940979004,1.256955862045288,,903d185fccf839df
1493659602618,-0.9229647517204285,-9.57201862335205,0.5219359993934631,,903d185fccf839df
1493659602653,-3.064578056335449,-9.671378135681152,-0.39384618401527405,,903d185fccf839df
1493659602667,-3.2190041542053223,-9.461885452270508,-0.32680854201316833,,903d185fccf839df
1493659602683,-3.1064767837524414,-9.342175483703613,0.08379705995321274,,903d185fccf839df
1493659602713,-1.8806453943252563,-9.042900085449219,1.414973258972168,,903d185fccf839df
1493659602723,-1.6603789329528809,-9.352949142456055,1.6819267272949219,,903d185fccf839df
1493659602743,-1.3646949529647827,-10.517727851867676,1.2856862545013428,,903d185fccf839df
1493659602767,-1.7202339172363281,-10.898406028747559,-0.6991068720817566,,903d185fccf839df
1493659602783,-2.6791117191314697,-10.498574256896973,-0.5135562419891357,,903d185fccf839df
1493659602807,-3.693056106567383,-10.828974723815918,-0.6703764796257019,,903d185fccf839df
1493659602823,-4.222174644470215,-10.656591415405273,-0.7637503147125244,,903d185fccf839df
1493659602843,-5.500678539276123,-10.72602367401123,-0.6236895322799683,,903d185fccf839df
1493659602867,-5.9304375648498535,-11.367670059204102,-0.8188169598579407,,903d185fccf839df
1493659602887,-6.581660270690918,-12.200851440429688,0.304063618183136,,903d185fccf839df
1493659602913,-5.845443248748779,-11.716026306152344,-1.0546458959579468,,903d185fccf839df
1493659602923,-5.547365188598633,-12.775460243225098,-2.01232647895813,,903d185fccf839df
1493659602943,-3.307589530944824,-12.94305419921875,-2.6874914169311523,,903d185fccf839df
1493659602966,0.6596025824546814,-10.259154319763184,-1.6053122282028198,,903d185fccf839df
1493659602987,0.18794482946395874,-10.609905242919922,-1.7322049140930176,,903d185fccf839df
1493659603013,-0.6356605291366577,-17.181987762451172,1.6101006269454956,,903d185fccf839df
1493659603023,-0.5111620426177979,-19.671958923339844,2.9161376953125,,903d185fccf839df
1493659603047,-0.6823474764823914,-16.474502563476562,-0.7960720658302307,,903d185fccf839df
1493659603073,-1.43532395362854,-13.524845123291016,-2.9652187824249268,,903d185fccf839df
1493659603083,-1.7298107147216797,-13.385981559753418,-2.0195090770721436,,903d185fccf839df
1493659603119,0.6404489278793335,-12.746729850769043,-0.37828385829925537,,903d185fccf839df
1493659603147,-3.4560301303863525,-7.253233909606934,-1.6196774244308472,,903d185fccf839df
1493659603183,-0.3998316824436188,-4.535815238952637,-0.07661445438861847,,903d185fccf839df
1493659603233,0.8188169598579407,-5.722142219543457,0.4812345504760742,,903d185fccf839df
1493659603258,1.98958158493042,-5.151124954223633,1.334767460823059,,903d185fccf839df
1493659603283,2.0925323963165283,-2.6659436225891113,1.6543933153152466,,903d185fccf839df
1493659603327,-0.669179379940033,-2.631227731704712,-1.7142484188079834,,903d185fccf839df
1493659603347,-3.26688814163208,-5.623979568481445,-6.50025749206543,,903d185fccf839df
