UUID, meanHeading, class, timestamp 
903d185fccf839df,211.78582415961176,undefined,1486821641812
903d185fccf839df,209.87233019093097,undefined,1486821642806
903d185fccf839df,208.60433883176395,undefined,1486821643812
903d185fccf839df,208.6715297855415,undefined,1486821644814
903d185fccf839df,208.79159093058584,undefined,1486821645824
903d185fccf839df,208.33151156533563,undefined,1486821646814
903d185fccf839df,208.77552194388298,undefined,1486821647807
903d185fccf839df,208.45751446221374,undefined,1486821648810
903d185fccf839df,208.47886100377693,undefined,1486821649804
903d185fccf839df,208.25096786530804,undefined,1486821650821
903d185fccf839df,207.81369670938867,undefined,1486821651807
903d185fccf839df,207.83784158009885,undefined,1486821652809
903d185fccf839df,208.0576987194021,undefined,1486821653806
903d185fccf839df,208.3289659921495,undefined,1486821654807
903d185fccf839df,208.5365606119772,undefined,1486821655807
903d185fccf839df,208.88522267995887,undefined,1486821656811
903d185fccf839df,209.9828304474485,undefined,1486821657809
903d185fccf839df,210.33676079616936,undefined,1486821658820
903d185fccf839df,209.29800405772687,undefined,1486821659811
903d185fccf839df,208.81299686175535,undefined,1486821660812
903d185fccf839df,208.02849914849685,undefined,1486821661826
903d185fccf839df,206.330167254639,undefined,1486821662818
903d185fccf839df,205.02740895653224,undefined,1486821663846
903d185fccf839df,206.80225178318156,undefined,1486821664813
903d185fccf839df,209.87132391735733,undefined,1486821665815
903d185fccf839df,212.7977841686662,undefined,1486821666818
903d185fccf839df,212.5148090566394,undefined,1486821667830
903d185fccf839df,211.9482452703591,undefined,1486821668820
903d185fccf839df,212.69065586519358,undefined,1486821669819
903d185fccf839df,212.7105574132608,undefined,1486821670861
903d185fccf839df,212.7392339366105,undefined,1486821671822
903d185fccf839df,210.68977325137035,undefined,1486821672816
903d185fccf839df,208.67570106157578,undefined,1486821673812
903d185fccf839df,208.52559534623126,undefined,1486821674826
903d185fccf839df,209.72913667612795,undefined,1486821675856
903d185fccf839df,210.10262243111777,undefined,1486821676817
903d185fccf839df,209.1161142337828,undefined,1486821677820
903d185fccf839df,206.4774620912403,undefined,1486821678810
903d185fccf839df,202.66010270374966,undefined,1486821679810
903d185fccf839df,205.47365151161273,undefined,1486821680828
903d185fccf839df,215.0897056939155,undefined,1486821681801
903d185fccf839df,220.33768992066436,undefined,1486821682813
903d185fccf839df,217.06870071945428,undefined,1486821683800
903d185fccf839df,213.04858251135641,undefined,1486821684853
903d185fccf839df,212.02562585838277,undefined,1486821685854
903d185fccf839df,210.26864222805892,undefined,1486821686820
903d185fccf839df,210.9296764850041,undefined,1486821687825
903d185fccf839df,213.23024158240793,undefined,1486821688807
903d185fccf839df,216.24222583630774,undefined,1486821689805
903d185fccf839df,221.08336461923355,undefined,1486821690800
903d185fccf839df,226.67112824830073,undefined,1486821691814
903d185fccf839df,226.59215321120027,undefined,1486821692800
903d185fccf839df,228.49121104435577,undefined,1486821693804
903d185fccf839df,228.71263208718997,undefined,1486821694805
903d185fccf839df,224.48790065309916,undefined,1486821695803
903d185fccf839df,217.91408991389812,undefined,1486821696802
903d185fccf839df,218.2990090601156,undefined,1486821697803
903d185fccf839df,221.79815567604706,undefined,1486821698809
903d185fccf839df,222.965187812019,undefined,1486821699800
903d185fccf839df,223.85577429636407,undefined,1486821700810
903d185fccf839df,223.53583903810497,undefined,1486821701827
903d185fccf839df,223.42972024215402,undefined,1486821702818
903d185fccf839df,222.84627609728204,undefined,1486821703807
903d185fccf839df,223.89487725732474,undefined,1486821704803
903d185fccf839df,220.83319022207814,undefined,1486821705807
903d185fccf839df,220.24601379067437,undefined,1486821706820
903d185fccf839df,222.98710174781607,undefined,1486821707816
903d185fccf839df,224.16397311567775,undefined,1486821708811
903d185fccf839df,224.9475552847883,undefined,1486821709803
903d185fccf839df,226.04037468189713,undefined,1486821710815
903d185fccf839df,225.76497835555855,undefined,1486821711815
903d185fccf839df,224.35596184772575,undefined,1486821712830
903d185fccf839df,224.12560134562443,undefined,1486821713814
903d185fccf839df,223.27295322987464,undefined,1486821714810
903d185fccf839df,221.62708190224214,undefined,1486821715830
903d185fccf839df,221.33864740531197,undefined,1486821716826
903d185fccf839df,221.15318146359482,undefined,1486821717824
903d185fccf839df,221.11988431766014,undefined,1486821718823
903d185fccf839df,221.37334013574767,undefined,1486821719816
903d185fccf839df,221.50495812801057,undefined,1486821720820
903d185fccf839df,221.87562545923484,undefined,1486821721822
903d185fccf839df,222.16326622811692,undefined,1486821722822
903d185fccf839df,222.38395417949414,undefined,1486821723872
903d185fccf839df,222.84910995809878,undefined,1486821724835
903d185fccf839df,222.91567171546933,undefined,1486821725824
903d185fccf839df,223.12363959001507,undefined,1486821726832
903d185fccf839df,222.82825684537968,undefined,1486821727816
903d185fccf839df,222.49893551819704,undefined,1486821728828
903d185fccf839df,223.08918247877236,undefined,1486821729821
903d185fccf839df,223.51523456638333,undefined,1486821731458
903d185fccf839df,223.80491825967007,undefined,1486821731884
903d185fccf839df,223.93515256301407,undefined,1486821732819
903d185fccf839df,225.04341246027778,undefined,1486821733826
903d185fccf839df,227.93305460703567,undefined,1486821734819
903d185fccf839df,231.8649008086928,undefined,1486821735812
903d185fccf839df,235.9482030515594,undefined,1486821736816
903d185fccf839df,242.06051871930882,undefined,1486821737831
903d185fccf839df,249.88063706961228,undefined,1486821738808
903d185fccf839df,252.8966779619733,undefined,1486821739808
903d185fccf839df,253.73393261786862,undefined,1486821740836
903d185fccf839df,255.1544401045827,undefined,1486821741827
903d185fccf839df,255.43714734786798,undefined,1486821742852
903d185fccf839df,255.58299291948308,undefined,1486821743821
903d185fccf839df,255.50281647252373,undefined,1486821744844
903d185fccf839df,257.28277022880985,undefined,1486821745815
903d185fccf839df,261.4924647737811,undefined,1486821746810
903d185fccf839df,260.30218882255275,undefined,1486821747810
903d185fccf839df,252.47122767562092,undefined,1486821748823
903d185fccf839df,251.52991256770594,undefined,1486821749812
903d185fccf839df,251.2681326329658,undefined,1486821750817
903d185fccf839df,252.58419316645757,undefined,1486821751809
903d185fccf839df,256.01292432035297,undefined,1486821752809
903d185fccf839df,258.2020074936494,undefined,1486821753860
903d185fccf839df,257.00694888866354,undefined,1486821754893
903d185fccf839df,257.45710287273357,undefined,1486821755855
903d185fccf839df,257.50535490212803,undefined,1486821756833
903d185fccf839df,261.98268475476715,undefined,1486821757818
903d185fccf839df,265.5882633173904,undefined,1486821758841
903d185fccf839df,269.33150800181306,undefined,1486821759860
903d185fccf839df,270.0736342192724,undefined,1486821760864
903d185fccf839df,269.2081400482586,undefined,1486821761837
903d185fccf839df,266.26465039128476,undefined,1486821762924
903d185fccf839df,266.55211117883397,undefined,1486821763818
903d185fccf839df,268.63544170790055,undefined,1486821764827
903d185fccf839df,270.1525558636642,undefined,1486821765810
903d185fccf839df,268.9003387403037,undefined,1486821766818
903d185fccf839df,266.06235593543056,undefined,1486821767812
903d185fccf839df,266.78357855840017,undefined,1486821768813
903d185fccf839df,269.203395733124,undefined,1486821769822
903d185fccf839df,268.509925099107,undefined,1486821770824
903d185fccf839df,267.1957570007602,undefined,1486821771814
903d185fccf839df,267.56529289130987,undefined,1486821772817
903d185fccf839df,267.4227028092237,undefined,1486821773829
903d185fccf839df,266.67894486871734,undefined,1486821774815
903d185fccf839df,265.1817003897562,undefined,1486821775821
903d185fccf839df,264.8453660059755,undefined,1486821778682
903d185fccf839df,264.50738536950354,undefined,1486821778860
903d185fccf839df,264.18723132357536,undefined,1486821779820
903d185fccf839df,264.4961242744589,undefined,1486821780862
903d185fccf839df,265.78915025271726,undefined,1486821781818
903d185fccf839df,268.91524252920703,undefined,1486821782821
903d185fccf839df,268.92631445115967,undefined,1486821783822
903d185fccf839df,265.00844104616135,undefined,1486821784818
