timestamp, latitude, longitude, accuracy, UUID 
1486821642351,48.149075,11.5677915,21.74799919128418,,903d185fccf839df
1486821642472,48.1487957,11.567831,25.410999298095703,,903d185fccf839df
1486821652153,48.1489567,11.5677943,19.625,,903d185fccf839df
1486821657184,48.1489567,11.5677943,19.62700080871582,,903d185fccf839df
1486821662437,48.1490423,11.5677266,21.44099998474121,,903d185fccf839df
1486821667321,48.148924,11.5677293,19.465999603271484,,903d185fccf839df
1486821672358,48.1488813,11.5677632,19.583999633789062,,903d185fccf839df
1486821677591,48.148924,11.5677293,19.441999435424805,,903d185fccf839df
1486821682543,48.1487957,11.567831,20.761999130249023,,903d185fccf839df
1486821687581,48.1488712,11.5678621,21.468000411987305,,903d185fccf839df
1486821692581,48.1487957,11.567831,21.31100082397461,,903d185fccf839df
1486821697614,48.1487957,11.567831,20.761999130249023,,903d185fccf839df
1486821702708,48.1487001,11.5679976,21.895000457763672,,903d185fccf839df
1486821707745,48.1485819,11.5680004,20.55900001525879,,903d185fccf839df
1486821712796,48.1487001,11.5679976,20.680999755859375,,903d185fccf839df
1486821717910,48.1486347,11.5678677,19.625999450683594,,903d185fccf839df
1486821723017,48.1486347,11.5678677,19.625999450683594,,903d185fccf839df
1486821728046,48.1486347,11.5678677,19.62299919128418,,903d185fccf839df
1486821733104,48.1485819,11.5680004,23.743000030517578,,903d185fccf839df
1486821738280,48.1485819,11.5680004,31.23900032043457,,903d185fccf839df
1486821745882,48.1485819,11.5680004,22.292999267578125,,903d185fccf839df
1486821757342,48.1483429,11.5676445,22.110000610351562,,903d185fccf839df
1486821762884,48.1483429,11.5676445,22.110000610351562,,903d185fccf839df
1486821765431,48.1483429,11.5676445,21.56100082397461,,903d185fccf839df
1486821773650,48.1485894,11.56754,21.929000854492188,,903d185fccf839df
1486821778781,48.1486448,11.5677688,22.6299991607666,,903d185fccf839df
1486821791088,48.1488838,11.5681248,23.839000701904297,,903d185fccf839df
1486821793790,48.1489266,11.5680909,22.45199966430664,,903d185fccf839df
1486821798809,48.1488158,11.5676333,21.42099952697754,,903d185fccf839df
1486821803890,48.1489165,11.5681897,20.336000442504883,,903d185fccf839df
1486821808898,48.1489819,11.5683197,19.631000518798828,,903d185fccf839df
1486821813885,48.1491329,11.5683818,19.655000686645508,,903d185fccf839df
1486821818874,48.1491857,11.5682491,20.586000442504883,,903d185fccf839df
1486821823952,48.1492939,11.5683452,19.695999145507812,,903d185fccf839df
1486821828967,48.1492939,11.5683452,19.565000534057617,,903d185fccf839df
1486821833976,48.1492939,11.5683452,19.570999145507812,,903d185fccf839df
1486821839000,48.1494222,11.5682435,20.31399917602539,,903d185fccf839df
1486821844078,48.1494222,11.5682435,22.520000457763672,,903d185fccf839df
1486821849036,48.1494549,11.5683085,20.45199966430664,,903d185fccf839df
1486821854000,48.1493795,11.5682774,19.996000289916992,,903d185fccf839df
1486821859083,48.1493795,11.5682774,19.538000106811523,,903d185fccf839df
1486821864080,48.1493795,11.5682774,19.54599952697754,,903d185fccf839df
1486821869094,48.1492939,11.5683452,21.673999786376953,,903d185fccf839df
1486821874109,48.1490675,11.5682519,21.44300079345703,,903d185fccf839df
1486821879104,48.1490574,11.5683507,20.249000549316406,,903d185fccf839df
1486821884249,48.1490147,11.5683846,19.451000213623047,,903d185fccf839df
1486821889241,48.1490147,11.5683846,19.457000732421875,,903d185fccf839df
1486821894289,48.1489719,11.5684185,20.225000381469727,,903d185fccf839df
1486821899316,48.1489819,11.5683197,20.415000915527344,,903d185fccf839df
1486821904415,48.1489165,11.5681897,20.333999633789062,,903d185fccf839df
1486821909401,48.1488058,11.5677321,19.658000946044922,,903d185fccf839df
1486821914439,48.1487303,11.5677011,20.805999755859375,,903d185fccf839df
1486821919457,48.1486448,11.5677688,21.95400047302246,,903d185fccf839df
1486821924504,48.1487202,11.5677999,19.652999877929688,,903d185fccf839df
1486821929544,48.1486448,11.5677688,21.224000930786133,,903d185fccf839df
1486821934620,48.1486347,11.5678677,21.01799964904785,,903d185fccf839df
1486821939645,48.1484737,11.5679043,22.30699920654297,,903d185fccf839df
1486821944674,48.1482674,11.5676134,23.69300079345703,,903d185fccf839df
1486821949716,48.1483001,11.5676784,19.988000869750977,,903d185fccf839df
1486821954750,48.1483328,11.5677433,19.597000122070312,,903d185fccf839df
1486821959795,48.1483328,11.5677433,19.621000289916992,,903d185fccf839df
1486821964866,48.1483328,11.5677433,19.6200008392334,,903d185fccf839df
1486821969930,48.1484083,11.5677744,19.69300079345703,,903d185fccf839df
1486821974942,48.1486548,11.56767,19.80500030517578,,903d185fccf839df
1486821980009,48.1486448,11.5677688,21.364999771118164,,903d185fccf839df
1486821985034,48.1487957,11.567831,20.88599967956543,,903d185fccf839df
1486821990067,48.1487202,11.5677999,20.690000534057617,,903d185fccf839df
1486821995145,48.1488184,11.5679948,20.481000900268555,,903d185fccf839df
1486822000164,48.1488838,11.5681248,19.486000061035156,,903d185fccf839df
1486822005192,48.1489165,11.5681897,19.64900016784668,,903d185fccf839df
1486822010233,48.1489165,11.5681897,19.643999099731445,,903d185fccf839df
1486822015275,48.1489065,11.5682886,20.229000091552734,,903d185fccf839df
1486822020307,48.1491731,11.5679864,21.41900062561035,,903d185fccf839df
1486822025416,48.1493543,11.567752,24.750999450683594,,903d185fccf839df
1486822030445,48.1493543,11.567752,20.420000076293945,,903d185fccf839df
1486822035475,48.1493442,11.5678509,21.55500030517578,,903d185fccf839df
1486822040510,48.1493568,11.5681136,19.44099998474121,,903d185fccf839df
