UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-1.172649679904985,-1.1140452364699578,-1.0091011906549479,-1.0529799041987036,-1.5763871255402162,-1.9444895691077404,1.9411957873682786,-0.9491928623863832,-0.28421099265307065,-0.6596432630639193,0.09073374258012706,1.6537400697047484,1.959085338680927,-1.1798511866318875,-1.3297066209609565,-1.203118609216443,-1.3705267399959662,-1.1985249540167164,-1.2998723768558562,-1.2658509299911442,-1.321800598549442,-0.47555933611166024,-0.6720607486049385,-0.526019800119941,undefined,1486821642331
903d185fccf839df,-1.1574035336246118,-1.0893906065488594,-0.9909182001976025,-1.0448498970174873,-1.5555420128153865,-1.9406083837386798,1.9386068953098115,-0.9590731332681879,-0.2831607231744186,-0.6744077314313824,0.08834779882618425,0.20833335830449126,0.7557897448752229,-1.1585570083283225,-1.307601329946353,-1.1586652330895928,-1.3501890318597103,-1.1747528469002098,-1.2656442051358872,-1.2337502216022644,-1.291714111434929,-0.4613457779366964,-0.6649923710706411,-0.5112209389703758,undefined,1486821643827
903d185fccf839df,-1.151859445926339,-0.8651506434425508,-0.9414717904960893,-0.9821321243073838,-1.502186107044688,-2.0120724458895975,1.942250354793788,-0.9670376372831063,-0.28265163939538074,-0.6765418596632718,0.08246022503549545,0.16218900593791263,0.03555314171122996,-1.1094878089338847,-1.2676012848853593,-1.134417938947542,-1.245994643299393,-1.1368815312807568,-1.247704597252183,-1.2033685436386383,-1.2601744312008554,-0.4648764892894988,-0.6658138711307028,-0.513282447747078,undefined,1486821645328
903d185fccf839df,-1.0506804061457695,-0.8123192643836336,-0.8591685228775235,-0.9077084143985172,-1.5401506137353949,-2.018978640724599,1.9358283768306084,-0.9991216385248823,-0.26462250329578735,-0.6811878857993765,0.07502414968139573,-0.09217584431623206,-0.2734305369875223,-1.0048685900215562,-1.2128643742398075,-1.0111608762910225,-1.1504163403468264,-1.0600928626279083,-1.2244160302954745,-1.092996686688929,-1.1930973152553803,-0.4575666774360357,-0.6410360762102807,-0.5053913269069268,undefined,1486821646833
903d185fccf839df,-1.1282972026039664,-0.83521287853836,-0.849598741910036,-0.9013415278734461,-1.7304668661762146,-2.0011436558563247,1.9398388265889077,-0.9758166029396795,-0.2586012493229873,-0.6960067573421372,0.0797490514210351,0.060870421761451576,-0.8696384803921569,-0.9882035818998034,-1.1823380129698944,-0.7484818458195341,-1.1859649437449502,-0.993704614378935,-1.1734022821385677,-0.8781421782250184,-1.106489094369494,-0.46310000828554254,-0.6418810295734763,-0.5021147819663064,undefined,1486821648338
903d185fccf839df,-1.1241391454566143,-0.9725745342387263,-0.8272677281642019,-0.8763930423915454,-1.7606862441912654,-2.0012158616437308,1.9402832586604155,-0.9871639867464255,-0.2734752002239077,-0.7002713488314192,0.07624999490103226,0.01925799699208678,-0.47361714572192515,-1.017830269120785,-1.232864399531142,-0.7606054893574694,-1.1934351333060025,-1.0223168541736152,-1.2008297809892394,-0.834256608837725,-1.119423386653393,-0.458266912288782,-0.64238895096626,-0.5065355511000023,undefined,1486821649820
903d185fccf839df,-0.9883097042098316,-0.9608342050483063,-0.7883491957295025,-0.8326928894958028,-1.6268281824325055,-2.0857788909610715,1.9472916875098365,-0.978083473764869,-0.31040521805665217,-0.6827671728294686,0.08479221698917684,0.04810040572870724,-0.6607481060606061,-1.0548636143868142,-1.1876011800389044,-0.7626261060353657,-1.2059817278193117,-1.0605045041385754,-1.1692181893444218,-0.8249097529230099,-1.1218494113052686,-0.46749392930915484,-0.6581238434345554,-0.5092836133838005,undefined,1486821651344
903d185fccf839df,-1.0146440258867504,-1.03479817518858,-0.8712908553650197,-0.9217156127227998,-1.415086824658972,-2.1274326762496565,1.9439097613031096,-0.9988740732916027,-0.30072619760780234,-0.6838670960790623,0.08646807515632446,0.02342939068068145,-0.8130640040106952,-1.1011553097295488,-1.2360223008768831,-0.9424601848235804,-1.2356065406573615,-1.1429214326357078,-1.2108142302081306,-1.0034085320921071,-1.2097981549403254,-0.4717101332807067,-0.6707963312949742,-0.5152082290395437,undefined,1486821652827
903d185fccf839df,-1.2973910147660417,-1.0893906211628557,-0.95231835549748,-1.0053331133636694,-1.2428425453616392,-2.1493554756322304,1.949903100680868,-0.9582404798176447,-0.2795982250389931,-0.682917574771522,0.09082885516531448,-0.0656348641328561,-0.8304715352049912,-1.1418919977782995,-1.267601275682567,-1.1283561136454843,-1.2709239087470947,-1.1753271054938257,-1.236429554650251,-1.1572697982375126,-1.2642634650982532,-0.46832391463195516,-0.6657373582495328,-0.5003041933280278,undefined,1486821654323
903d185fccf839df,-1.3375854004142984,-1.115219310308189,-0.9701826582202485,-1.0232326675485117,-1.3137418524211188,-2.143555669836607,1.9482016068409105,-0.9801086736012518,-0.28452928147316675,-0.6805384506715244,0.09161740525140429,-0.03685295405444939,-0.8130640040106952,-1.174296183385021,-1.3244434557325049,-1.22938651297021,-1.3861259942503712,-1.2084230691241928,-1.3045784927236623,-1.2883875606337631,-1.330441931539116,-0.4762576781950473,-0.6721642667617829,-0.5283074593069969,undefined,1486821655825
