timestamp, heading, UUID 
1496112964371,93.39834594726562,,903d185fccf839df
1496112965230,91.91387939453125,,903d185fccf839df
1496112965370,86.77579498291016,,903d185fccf839df
1496112965451,85.72000885009766,,903d185fccf839df
1496112965532,87.54557037353516,,903d185fccf839df
1496112965650,87.70377349853516,,903d185fccf839df
1496112965694,86.91691589355469,,903d185fccf839df
1496112965747,88.8210220336914,,903d185fccf839df
1496112965830,89.40050506591797,,903d185fccf839df
1496112965864,89.57332611083984,,903d185fccf839df
1496112965943,93.38021087646484,,903d185fccf839df
1496112965991,97.04232788085938,,903d185fccf839df
1496112966015,98.28600311279297,,903d185fccf839df
1496112966035,98.5126953125,,903d185fccf839df
1496112966043,98.36959075927734,,903d185fccf839df
1496112966142,99.49273681640625,,903d185fccf839df
1496112966190,99.73634338378906,,903d185fccf839df
1496112966210,99.7143325805664,,903d185fccf839df
1496112966235,99.35991668701172,,903d185fccf839df
1496112966250,98.90633392333984,,903d185fccf839df
1496112966270,98.55384063720703,,903d185fccf839df
1496112966293,98.38490295410156,,903d185fccf839df
1496112966313,98.46825408935547,,903d185fccf839df
1496112966327,98.54410552978516,,903d185fccf839df
1496112966350,98.46207427978516,,903d185fccf839df
1496112966377,98.20966339111328,,903d185fccf839df
1496112966429,96.8775405883789,,903d185fccf839df
1496112966582,94.13021087646484,,903d185fccf839df
1496112966602,94.10271453857422,,903d185fccf839df
1496112966611,94.08204650878906,,903d185fccf839df
1496112966621,94.06366729736328,,903d185fccf839df
1496112966631,94.05644989013672,,903d185fccf839df
1496112966644,94.06929779052734,,903d185fccf839df
1496112966673,94.28018188476562,,903d185fccf839df
1496112966703,94.86739349365234,,903d185fccf839df
1496112966731,95.42379760742188,,903d185fccf839df
1496112966762,95.72432708740234,,903d185fccf839df
1496112966802,96.07870483398438,,903d185fccf839df
1496112966810,96.17630004882812,,903d185fccf839df
1496112966842,96.41658782958984,,903d185fccf839df
1496112966892,96.79358673095703,,903d185fccf839df
1496112966912,96.77649688720703,,903d185fccf839df
1496112966944,96.55036926269531,,903d185fccf839df
1496112967002,95.25870513916016,,903d185fccf839df
1496112967045,94.25218200683594,,903d185fccf839df
1496112967071,94.05634307861328,,903d185fccf839df
1496112967082,94.10098266601562,,903d185fccf839df
1496112967111,94.42684173583984,,903d185fccf839df
1496112967145,94.73886108398438,,903d185fccf839df
1496112967161,95.69554901123047,,903d185fccf839df
1496112967182,96.99850463867188,,903d185fccf839df
1496112967202,98.73854064941406,,903d185fccf839df
1496112967222,100.12586975097656,,903d185fccf839df
1496112967231,100.49545288085938,,903d185fccf839df
1496112967271,101.20817565917969,,903d185fccf839df
1496112967290,101.03409576416016,,903d185fccf839df
1496112967324,99.78446960449219,,903d185fccf839df
1496112967347,98.39140319824219,,903d185fccf839df
1496112967382,94.19037628173828,,903d185fccf839df
1496112967402,92.34571838378906,,903d185fccf839df
1496112967422,91.5070571899414,,903d185fccf839df
1496112967451,91.59661102294922,,903d185fccf839df
1496112967471,92.29595947265625,,903d185fccf839df
