timestamp, lastAccessTime, proximity, UUID 
1491594217106,1491594217251,far,,903d185fccf839df
1491594217106,1491594217413,far,,903d185fccf839df
1491594217106,1491594217547,far,,903d185fccf839df
1491594217106,1491594217650,far,,903d185fccf839df
1491594217106,1491594217793,far,,903d185fccf839df
1491594217106,1491594217877,far,,903d185fccf839df
1491594217106,1491594217905,far,,903d185fccf839df
1491594217106,1491594217941,far,,903d185fccf839df
1491594217106,1491594217969,far,,903d185fccf839df
1491594217106,1491594217994,far,,903d185fccf839df
1491594217106,1491594218019,far,,903d185fccf839df
1491594217106,1491594218105,far,,903d185fccf839df
1491594217106,1491594218153,far,,903d185fccf839df
1491594217106,1491594218171,far,,903d185fccf839df
1491594217106,1491594218194,far,,903d185fccf839df
1491594217106,1491594218221,far,,903d185fccf839df
1491594217106,1491594218263,far,,903d185fccf839df
1491594217106,1491594218299,far,,903d185fccf839df
1491594217106,1491594218348,far,,903d185fccf839df
1491594217106,1491594218388,far,,903d185fccf839df
1491594217106,1491594218425,far,,903d185fccf839df
1491594217106,1491594218500,far,,903d185fccf839df
1491594217106,1491594218541,far,,903d185fccf839df
1491594217106,1491594218566,far,,903d185fccf839df
1491594217106,1491594218597,far,,903d185fccf839df
1491594217106,1491594218695,far,,903d185fccf839df
1491594217106,1491594218743,far,,903d185fccf839df
1491594217106,1491594218766,far,,903d185fccf839df
1491594217106,1491594218789,far,,903d185fccf839df
1491594217106,1491594218816,far,,903d185fccf839df
1491594217106,1491594218845,far,,903d185fccf839df
1491594217106,1491594218888,far,,903d185fccf839df
1491594217106,1491594218912,far,,903d185fccf839df
1491594217106,1491594218956,far,,903d185fccf839df
1491594217106,1491594218977,far,,903d185fccf839df
1491594217106,1491594219010,far,,903d185fccf839df
1491594217106,1491594219054,far,,903d185fccf839df
1491594217106,1491594219078,far,,903d185fccf839df
1491594217106,1491594219102,far,,903d185fccf839df
1491594217106,1491594219260,far,,903d185fccf839df
1491594217106,1491594219331,far,,903d185fccf839df
1491594217106,1491594219402,far,,903d185fccf839df
1491594217106,1491594219461,far,,903d185fccf839df
1491594217106,1491594219499,far,,903d185fccf839df
1491594217106,1491594219552,far,,903d185fccf839df
1491594217106,1491594219584,far,,903d185fccf839df
1491594217106,1491594219605,far,,903d185fccf839df
1491594217106,1491594219648,far,,903d185fccf839df
1491594217106,1491594219674,far,,903d185fccf839df
1491594217106,1491594219695,far,,903d185fccf839df
1491594217106,1491594219716,far,,903d185fccf839df
1491594217106,1491594219753,far,,903d185fccf839df
1491594217106,1491594219789,far,,903d185fccf839df
1491594217106,1491594219815,far,,903d185fccf839df
1491594217106,1491594219848,far,,903d185fccf839df
1491594217106,1491594219870,far,,903d185fccf839df
1491594217106,1491594219888,far,,903d185fccf839df
1491594217106,1491594219907,far,,903d185fccf839df
1491594217106,1491594219937,far,,903d185fccf839df
1491594217106,1491594219962,far,,903d185fccf839df
1491594217106,1491594219984,far,,903d185fccf839df
1491594217106,1491594220007,far,,903d185fccf839df
1491594217106,1491594220042,far,,903d185fccf839df
1491594217106,1491594220066,far,,903d185fccf839df
1491594217106,1491594220094,far,,903d185fccf839df
1491594217106,1491594220129,far,,903d185fccf839df
1491594217106,1491594220185,far,,903d185fccf839df
1491594217106,1491594220206,far,,903d185fccf839df
1491594217106,1491594220242,far,,903d185fccf839df
1491594217106,1491594220264,far,,903d185fccf839df
1491594217106,1491594220288,far,,903d185fccf839df
1491594217106,1491594220307,far,,903d185fccf839df
1491594217106,1491594220342,far,,903d185fccf839df
1491594217106,1491594220366,far,,903d185fccf839df
1491594217106,1491594220414,far,,903d185fccf839df
1491594217106,1491594220453,far,,903d185fccf839df
1491594217106,1491594220478,far,,903d185fccf839df
1491594217106,1491594220502,far,,903d185fccf839df
1491594217106,1491594220541,far,,903d185fccf839df
1491594217106,1491594220569,far,,903d185fccf839df
1491594217106,1491594220595,far,,903d185fccf839df
1491594217106,1491594220619,far,,903d185fccf839df
1491594217106,1491594220649,far,,903d185fccf839df
1491594217106,1491594220689,far,,903d185fccf839df
1491594217106,1491594220715,far,,903d185fccf839df
1491594217106,1491594220756,far,,903d185fccf839df
1491594217106,1491594220787,far,,903d185fccf839df
1491594217106,1491594220812,far,,903d185fccf839df
1491594217106,1491594220839,far,,903d185fccf839df
1491594217106,1491594220863,far,,903d185fccf839df
1491594217106,1491594220887,far,,903d185fccf839df
1491594217106,1491594220913,far,,903d185fccf839df
1491594217106,1491594220943,far,,903d185fccf839df
1491594217106,1491594220966,far,,903d185fccf839df
1491594217106,1491594220992,far,,903d185fccf839df
1491594217106,1491594221017,far,,903d185fccf839df
1491594217106,1491594221055,far,,903d185fccf839df
1491594217106,1491594221069,far,,903d185fccf839df
1491594217106,1491594221094,far,,903d185fccf839df
1491594217106,1491594221119,far,,903d185fccf839df
1491594217106,1491594221148,far,,903d185fccf839df
1491594217106,1491594221173,far,,903d185fccf839df
