timestamp, latitude, longitude, accuracy, UUID ,
1.48674E+12,48.1492541,11.5671281,24,,903d185fccf839df
1.48674E+12,48.1492433,11.5671409,24,,903d185fccf839df
1.48674E+12,48.1492433,11.5671409,24,,903d185fccf839df
1.48674E+12,48.1492433,11.5671408,16,,903d185fccf839df
1.48674E+12,48.1492433,11.5671408,16,,903d185fccf839df
1.48674E+12,48.1492433,11.5671408,16,,903d185fccf839df
1.48674E+12,48.1491685,11.5670976,12,,903d185fccf839df
1.48674E+12,48.1491609,11.5670868,24,,903d185fccf839df
1.48674E+12,48.1491552,11.5670754,24,,903d185fccf839df
1.48674E+12,48.1491489,11.567067,24,,903d185fccf839df
1.48674E+12,48.149144,11.5670607,12,,903d185fccf839df
1.48674E+12,48.14914,11.5670499,16,,903d185fccf839df
1.48674E+12,48.1491334,11.5670442,16,,903d185fccf839df
1.48674E+12,48.1491281,11.5670397,16,,903d185fccf839df
1.48674E+12,48.1491212,11.567031,24,,903d185fccf839df
1.48674E+12,48.1491174,11.567026,48,,903d185fccf839df
1.48674E+12,48.149114,11.5670234,32,,903d185fccf839df
1.48674E+12,48.1491069,11.5670187,32,,903d185fccf839df
1.48674E+12,48.1491035,11.5670149,16,,903d185fccf839df
1.48674E+12,48.149099,11.5670097,16,,903d185fccf839df
1.48674E+12,48.149099,11.5670097,32,,903d185fccf839df
1.48674E+12,48.149099,11.5670097,96,,903d185fccf839df
1.48674E+12,48.149099,11.5670097,32,,903d185fccf839df
1.48674E+12,48.148924,11.5677293,19.37199974,,903d185fccf839df
1.48674E+12,48.148924,11.5677293,19.39500046,,903d185fccf839df
1.48674E+12,48.1485391,11.5680343,19.62899971,,903d185fccf839df
1.48674E+12,48.1486247,11.5679665,50,,903d185fccf839df
1.48674E+12,48.1486347,11.5678677,20.67900085,,903d185fccf839df
1.48674E+12,48.1486347,11.5678677,20.67900085,,903d185fccf839df
1.48674E+12,48.1486347,11.5678677,20.68199921,,903d185fccf839df
1.48674E+12,48.1485819,11.5680004,24.15299988,,903d185fccf839df
1.48674E+12,48.1485819,11.5680004,20.54199982,,903d185fccf839df
1.48674E+12,48.1482146,11.5677461,19.97400093,,903d185fccf839df
1.48674E+12,48.1481919,11.5675823,20.25900078,,903d185fccf839df
1.48674E+12,48.1483883,11.5678353,48,,903d185fccf839df
1.48674E+12,48.1483883,11.5678353,50.91600037,,903d185fccf839df
1.48674E+12,48.1484155,11.5678353,48,,903d185fccf839df
1.48674E+12,48.1484155,11.5678353,48,,903d185fccf839df
1.48674E+12,48.1484155,11.5678353,48,,903d185fccf839df
1.48674E+12,48.1484155,11.5678352,32,,903d185fccf839df
1.48674E+12,48.1484158,11.5678351,32,,903d185fccf839df
1.48674E+12,48.1484158,11.5678351,35.86899948,,903d185fccf839df
1.48674E+12,48.1484164,11.567835,32,,903d185fccf839df
1.48674E+12,48.1484353,11.5678348,32,,903d185fccf839df
1.48674E+12,48.1484358,11.5678347,32,,903d185fccf839df
1.48674E+12,48.1484362,11.5678345,32,,903d185fccf839df
1.48674E+12,48.1484368,11.5678343,32,,903d185fccf839df
1.48674E+12,48.1484368,11.5678343,32,,903d185fccf839df
