timestamp, signal strength, UUID 
1493660587087,-85,,903d185fccf839df
1493660587370,-85,,903d185fccf839df
1493660587449,-85,,903d185fccf839df
1493660587457,-85,,903d185fccf839df
1493660587542,-85,,903d185fccf839df
1493660587666,-85,,903d185fccf839df
1493660587681,-85,,903d185fccf839df
1493660587770,-85,,903d185fccf839df
1493660587810,-85,,903d185fccf839df
1493660587909,-85,,903d185fccf839df
1493660587929,-85,,903d185fccf839df
1493660587980,-85,,903d185fccf839df
1493660588008,-85,,903d185fccf839df
1493660588114,-85,,903d185fccf839df
1493660588133,-85,,903d185fccf839df
1493660588204,-85,,903d185fccf839df
1493660588224,-85,,903d185fccf839df
1493660588309,-85,,903d185fccf839df
1493660588330,-85,,903d185fccf839df
1493660588378,-85,,903d185fccf839df
1493660588406,-85,,903d185fccf839df
1493660588495,-85,,903d185fccf839df
1493660588527,-85,,903d185fccf839df
1493660588579,-85,,903d185fccf839df
1493660588601,-85,,903d185fccf839df
1493660588678,-85,,903d185fccf839df
1493660588710,-85,,903d185fccf839df
1493660588791,-85,,903d185fccf839df
1493660588808,-85,,903d185fccf839df
1493660588879,-85,,903d185fccf839df
1493660588905,-85,,903d185fccf839df
1493660588985,-85,,903d185fccf839df
1493660589012,-85,,903d185fccf839df
1493660589089,-85,,903d185fccf839df
1493660589114,-85,,903d185fccf839df
1493660589167,-85,,903d185fccf839df
1493660589185,-85,,903d185fccf839df
1493660589268,-85,,903d185fccf839df
1493660589297,-85,,903d185fccf839df
1493660589384,-85,,903d185fccf839df
1493660589407,-85,,903d185fccf839df
1493660589480,-85,,903d185fccf839df
1493660589506,-85,,903d185fccf839df
1493660589587,-85,,903d185fccf839df
1493660589606,-85,,903d185fccf839df
1493660589725,-85,,903d185fccf839df
1493660589740,-85,,903d185fccf839df
1493660589776,-85,,903d185fccf839df
1493660589800,-85,,903d185fccf839df
1493660589877,-85,,903d185fccf839df
1493660589896,-85,,903d185fccf839df
1493660590002,-85,,903d185fccf839df
1493660590042,-85,,903d185fccf839df
1493660590095,-85,,903d185fccf839df
1493660590110,-85,,903d185fccf839df
1493660590180,-85,,903d185fccf839df
1493660590204,-85,,903d185fccf839df
1493660590311,-85,,903d185fccf839df
1493660590346,-85,,903d185fccf839df
1493660590406,-85,,903d185fccf839df
1493660590420,-85,,903d185fccf839df
1493660590514,-85,,903d185fccf839df
1493660590537,-85,,903d185fccf839df
1493660590601,-85,,903d185fccf839df
1493660590618,-85,,903d185fccf839df
1493660590667,-85,,903d185fccf839df
1493660590694,-85,,903d185fccf839df
1493660590765,-85,,903d185fccf839df
1493660590776,-85,,903d185fccf839df
1493660590875,-85,,903d185fccf839df
1493660590888,-85,,903d185fccf839df
1493660590970,-85,,903d185fccf839df
1493660590989,-85,,903d185fccf839df
1493660591075,-85,,903d185fccf839df
1493660591094,-85,,903d185fccf839df
1493660591167,-85,,903d185fccf839df
1493660591180,-85,,903d185fccf839df
1493660591256,-85,,903d185fccf839df
1493660591280,-85,,903d185fccf839df
1493660591370,-85,,903d185fccf839df
1493660591382,-85,,903d185fccf839df
1493660591473,-85,,903d185fccf839df
1493660591497,-85,,903d185fccf839df
1493660591567,-85,,903d185fccf839df
1493660591582,-85,,903d185fccf839df
1493660591683,-85,,903d185fccf839df
1493660591700,-85,,903d185fccf839df
1493660591772,-85,,903d185fccf839df
1493660591795,-85,,903d185fccf839df
1493660591859,-85,,903d185fccf839df
1493660591874,-85,,903d185fccf839df
1493660591958,-85,,903d185fccf839df
1493660591977,-85,,903d185fccf839df
1493660592072,-85,,903d185fccf839df
1493660592082,-85,,903d185fccf839df
1493660592170,-85,,903d185fccf839df
1493660592189,-85,,903d185fccf839df
1493660592269,-85,,903d185fccf839df
1493660592303,-85,,903d185fccf839df
1493660592415,-85,,903d185fccf839df
1493660592432,-85,,903d185fccf839df
1493660592496,-85,,903d185fccf839df
1493660592515,-85,,903d185fccf839df
1493660592577,-85,,903d185fccf839df
1493660592606,-85,,903d185fccf839df
1493660592712,-85,,903d185fccf839df
1493660592737,-85,,903d185fccf839df
1493660592808,-85,,903d185fccf839df
1493660592827,-85,,903d185fccf839df
1493660592875,-85,,903d185fccf839df
1493660592915,-85,,903d185fccf839df
1493660592991,-85,,903d185fccf839df
1493660593019,-85,,903d185fccf839df
1493660593101,-85,,903d185fccf839df
1493660593125,-85,,903d185fccf839df
1493660593187,-85,,903d185fccf839df
1493660593211,-85,,903d185fccf839df
1493660593295,-85,,903d185fccf839df
1493660593328,-85,,903d185fccf839df
1493660593394,-85,,903d185fccf839df
1493660593415,-85,,903d185fccf839df
1493660593481,-85,,903d185fccf839df
1493660593504,-85,,903d185fccf839df
1493660593651,-85,,903d185fccf839df
1493660593681,-85,,903d185fccf839df
1493660593755,-85,,903d185fccf839df
1493660593813,-85,,903d185fccf839df
1493660593847,-85,,903d185fccf839df
1493660593938,-85,,903d185fccf839df
1493660593950,-85,,903d185fccf839df
1493660594010,-85,,903d185fccf839df
1493660594027,-85,,903d185fccf839df
1493660594069,-85,,903d185fccf839df
1493660594088,-85,,903d185fccf839df
1493660594180,-85,,903d185fccf839df
1493660594193,-85,,903d185fccf839df
1493660594278,-85,,903d185fccf839df
1493660594296,-85,,903d185fccf839df
1493660594368,-85,,903d185fccf839df
1493660594383,-85,,903d185fccf839df
1493660594455,-85,,903d185fccf839df
1493660594479,-85,,903d185fccf839df
1493660594551,-85,,903d185fccf839df
1493660594570,-85,,903d185fccf839df
1493660594651,-85,,903d185fccf839df
1493660594670,-85,,903d185fccf839df
1493660594767,-85,,903d185fccf839df
1493660594806,-85,,903d185fccf839df
1493660594861,-85,,903d185fccf839df
1493660594881,-85,,903d185fccf839df
1493660594971,-85,,903d185fccf839df
1493660594987,-85,,903d185fccf839df
1493660595066,-85,,903d185fccf839df
1493660595084,-85,,903d185fccf839df
1493660595157,-85,,903d185fccf839df
1493660595183,-85,,903d185fccf839df
1493660595280,-85,,903d185fccf839df
1493660595316,-85,,903d185fccf839df
1493660595388,-85,,903d185fccf839df
1493660595401,-85,,903d185fccf839df
1493660595465,-85,,903d185fccf839df
1493660595486,-85,,903d185fccf839df
1493660595569,-85,,903d185fccf839df
1493660595625,-85,,903d185fccf839df
1493660595689,-85,,903d185fccf839df
1493660595731,-85,,903d185fccf839df
1493660595807,-85,,903d185fccf839df
1493660595827,-85,,903d185fccf839df
1493660595892,-85,,903d185fccf839df
1493660595907,-85,,903d185fccf839df
1493660595989,-85,,903d185fccf839df
1493660596032,-85,,903d185fccf839df
1493660596080,-85,,903d185fccf839df
1493660596098,-85,,903d185fccf839df
1493660596165,-85,,903d185fccf839df
1493660596185,-85,,903d185fccf839df
1493660596319,-85,,903d185fccf839df
1493660596533,-85,,903d185fccf839df
1493660596564,-85,,903d185fccf839df
1493660596632,-85,,903d185fccf839df
1493660596685,-85,,903d185fccf839df
1493660596729,-85,,903d185fccf839df
1493660596810,-85,,903d185fccf839df
1493660596886,-85,,903d185fccf839df
1493660597014,-85,,903d185fccf839df
1493660597082,-85,,903d185fccf839df
1493660597118,-85,,903d185fccf839df
1493660597199,-85,,903d185fccf839df
1493660597231,-85,,903d185fccf839df
1493660597288,-85,,903d185fccf839df
1493660597349,-85,,903d185fccf839df
1493660597421,-85,,903d185fccf839df
1493660597446,-85,,903d185fccf839df
1493660597608,-85,,903d185fccf839df
1493660597847,-85,,903d185fccf839df
1493660597929,-85,,903d185fccf839df
1493660598079,-85,,903d185fccf839df
1493660598110,-85,,903d185fccf839df
1493660598166,-85,,903d185fccf839df
1493660598185,-85,,903d185fccf839df
1493660598266,-85,,903d185fccf839df
1493660598299,-85,,903d185fccf839df
1493660598374,-85,,903d185fccf839df
1493660598388,-85,,903d185fccf839df
1493660598459,-85,,903d185fccf839df
1493660598480,-85,,903d185fccf839df
1493660598568,-85,,903d185fccf839df
1493660598584,-85,,903d185fccf839df
1493660598673,-85,,903d185fccf839df
1493660598696,-85,,903d185fccf839df
1493660598769,-85,,903d185fccf839df
1493660598788,-85,,903d185fccf839df
1493660598913,-85,,903d185fccf839df
1493660598944,-85,,903d185fccf839df
1493660599079,-85,,903d185fccf839df
1493660599276,-85,,903d185fccf839df
1493660599433,-85,,903d185fccf839df
1493660599795,-85,,903d185fccf839df
1493660599823,-85,,903d185fccf839df
1493660599959,-85,,903d185fccf839df
1493660599974,-85,,903d185fccf839df
1493660600134,-85,,903d185fccf839df
1493660600169,-85,,903d185fccf839df
1493660600273,-85,,903d185fccf839df
1493660600345,-85,,903d185fccf839df
1493660600410,-85,,903d185fccf839df
1493660600465,-85,,903d185fccf839df
1493660600600,-85,,903d185fccf839df
1493660600661,-85,,903d185fccf839df
1493660600711,-85,,903d185fccf839df
1493660600725,-85,,903d185fccf839df
1493660600822,-85,,903d185fccf839df
1493660600900,-85,,903d185fccf839df
1493660601020,-85,,903d185fccf839df
1493660601959,-85,,903d185fccf839df
1493660602188,-93,,903d185fccf839df
1493660602235,-93,,903d185fccf839df
1493660602269,-93,,903d185fccf839df
1493660602456,-93,,903d185fccf839df
1493660602714,-93,,903d185fccf839df
1493660602845,-93,,903d185fccf839df
1493660602901,-93,,903d185fccf839df
1493660602994,-93,,903d185fccf839df
1493660603077,-93,,903d185fccf839df
1493660603128,-93,,903d185fccf839df
1493660603252,-93,,903d185fccf839df
1493660603292,-93,,903d185fccf839df
1493660603424,-93,,903d185fccf839df
1493660603444,-93,,903d185fccf839df
1493660603542,-93,,903d185fccf839df
1493660603784,-93,,903d185fccf839df
1493660603851,-93,,903d185fccf839df
1493660604222,-93,,903d185fccf839df
1493660604234,-93,,903d185fccf839df
1493660605180,-93,,903d185fccf839df
1493660605200,-93,,903d185fccf839df
1493660606204,-93,,903d185fccf839df
1493660606274,-93,,903d185fccf839df
1493660607190,-93,,903d185fccf839df
1493660607206,-93,,903d185fccf839df
1493660608186,-93,,903d185fccf839df
1493660608208,-93,,903d185fccf839df
1493660609190,-93,,903d185fccf839df
1493660609259,-93,,903d185fccf839df
1493660610167,-93,,903d185fccf839df
1493660610188,-93,,903d185fccf839df
1493660611195,-93,,903d185fccf839df
1493660611214,-93,,903d185fccf839df
1493660612226,-93,,903d185fccf839df
1493660612301,-93,,903d185fccf839df
1493660613147,-93,,903d185fccf839df
1493660613158,-93,,903d185fccf839df
1493660614202,-93,,903d185fccf839df
1493660614238,-93,,903d185fccf839df
1493660615187,-93,,903d185fccf839df
1493660615225,-93,,903d185fccf839df
1493660616191,-93,,903d185fccf839df
1493660616210,-93,,903d185fccf839df
1493660617159,-93,,903d185fccf839df
1493660617176,-93,,903d185fccf839df
1493660618208,-93,,903d185fccf839df
1493660619194,-93,,903d185fccf839df
1493660620383,-105,,903d185fccf839df
1493660620406,-105,,903d185fccf839df
1493660620553,-105,,903d185fccf839df
1493660621133,-105,,903d185fccf839df
1493660622126,-105,,903d185fccf839df
1493660623322,-109,,903d185fccf839df
1493660623388,-109,,903d185fccf839df
1493660624173,-109,,903d185fccf839df
1493660624411,-109,,903d185fccf839df
1493660624598,-109,,903d185fccf839df
1493660625190,-109,,903d185fccf839df
1493660625281,-109,,903d185fccf839df
1493660626205,-109,,903d185fccf839df
1493660626268,-109,,903d185fccf839df
1493660627199,-109,,903d185fccf839df
1493660627259,-109,,903d185fccf839df
1493660628175,-109,,903d185fccf839df
1493660628197,-109,,903d185fccf839df
1493660629188,-109,,903d185fccf839df
1493660629210,-109,,903d185fccf839df
1493660630216,-109,,903d185fccf839df
1493660630259,-109,,903d185fccf839df
1493660631175,-109,,903d185fccf839df
1493660631195,-109,,903d185fccf839df
1493660632190,-109,,903d185fccf839df
1493660632218,-109,,903d185fccf839df
1493660633179,-109,,903d185fccf839df
1493660633237,-109,,903d185fccf839df
1493660634190,-109,,903d185fccf839df
1493660634217,-109,,903d185fccf839df
1493660635197,-109,,903d185fccf839df
1493660635221,-109,,903d185fccf839df
1493660636214,-109,,903d185fccf839df
1493660636278,-109,,903d185fccf839df
1493660637172,-109,,903d185fccf839df
1493660637192,-109,,903d185fccf839df
1493660638184,-109,,903d185fccf839df
1493660638212,-109,,903d185fccf839df
1493660639208,-109,,903d185fccf839df
1493660639264,-109,,903d185fccf839df
1493660640203,-109,,903d185fccf839df
1493660640219,-109,,903d185fccf839df
1493660641192,-109,,903d185fccf839df
1493660641217,-109,,903d185fccf839df
1493660642192,-109,,903d185fccf839df
1493660642248,-109,,903d185fccf839df
