timestamp, lastAccessTime, proximity, UUID 
1493660544988,1493660587315,far,,903d185fccf839df
1493660544988,1493660587409,far,,903d185fccf839df
1493660544988,1493660587425,far,,903d185fccf839df
1493660544988,1493660587480,far,,903d185fccf839df
1493660544988,1493660587486,far,,903d185fccf839df
1493660544988,1493660587570,far,,903d185fccf839df
1493660544988,1493660587573,far,,903d185fccf839df
1493660544988,1493660587699,far,,903d185fccf839df
1493660544988,1493660587702,far,,903d185fccf839df
1493660544988,1493660587724,far,,903d185fccf839df
1493660544988,1493660587726,far,,903d185fccf839df
1493660544988,1493660587746,far,,903d185fccf839df
1493660544988,1493660587749,far,,903d185fccf839df
1493660544988,1493660587784,far,,903d185fccf839df
1493660544988,1493660587816,far,,903d185fccf839df
1493660544988,1493660587843,far,,903d185fccf839df
1493660544988,1493660587873,far,,903d185fccf839df
1493660544988,1493660587915,far,,903d185fccf839df
1493660544988,1493660587944,far,,903d185fccf839df
1493660544988,1493660587956,far,,903d185fccf839df
1493660544988,1493660587989,far,,903d185fccf839df
1493660544988,1493660588033,far,,903d185fccf839df
1493660544988,1493660588068,far,,903d185fccf839df
1493660544988,1493660588091,far,,903d185fccf839df
1493660544988,1493660588137,far,,903d185fccf839df
1493660544988,1493660588162,far,,903d185fccf839df
1493660544988,1493660588210,far,,903d185fccf839df
1493660544988,1493660588237,far,,903d185fccf839df
1493660544988,1493660588265,far,,903d185fccf839df
1493660544988,1493660588281,far,,903d185fccf839df
1493660544988,1493660588336,far,,903d185fccf839df
1493660544988,1493660588350,far,,903d185fccf839df
1493660544988,1493660588366,far,,903d185fccf839df
1493660544988,1493660588412,far,,903d185fccf839df
1493660544988,1493660588431,far,,903d185fccf839df
1493660544988,1493660588457,far,,903d185fccf839df
1493660544988,1493660588481,far,,903d185fccf839df
1493660544988,1493660588531,far,,903d185fccf839df
1493660544988,1493660588542,far,,903d185fccf839df
1493660544988,1493660588567,far,,903d185fccf839df
1493660544988,1493660588584,far,,903d185fccf839df
1493660544988,1493660588638,far,,903d185fccf839df
1493660544988,1493660588642,far,,903d185fccf839df
1493660544988,1493660588691,far,,903d185fccf839df
1493660544988,1493660588695,far,,903d185fccf839df
1493660544988,1493660588727,far,,903d185fccf839df
1493660544988,1493660588731,far,,903d185fccf839df
1493660544988,1493660588776,far,,903d185fccf839df
1493660544988,1493660588779,far,,903d185fccf839df
1493660544988,1493660588828,far,,903d185fccf839df
1493660544988,1493660588832,far,,903d185fccf839df
1493660544988,1493660588858,far,,903d185fccf839df
1493660544988,1493660588862,far,,903d185fccf839df
1493660544988,1493660588910,far,,903d185fccf839df
1493660544988,1493660588914,far,,903d185fccf839df
1493660544988,1493660588940,far,,903d185fccf839df
1493660544988,1493660588944,far,,903d185fccf839df
1493660544988,1493660588992,far,,903d185fccf839df
1493660544988,1493660588998,far,,903d185fccf839df
1493660544988,1493660589027,far,,903d185fccf839df
1493660544988,1493660589047,far,,903d185fccf839df
1493660544988,1493660589076,far,,903d185fccf839df
1493660544988,1493660589116,far,,903d185fccf839df
1493660544988,1493660589135,far,,903d185fccf839df
1493660544988,1493660589144,far,,903d185fccf839df
1493660544988,1493660589154,far,,903d185fccf839df
1493660544988,1493660589177,far,,903d185fccf839df
1493660544988,1493660589196,far,,903d185fccf839df
1493660544988,1493660589208,far,,903d185fccf839df
1493660544988,1493660589220,far,,903d185fccf839df
1493660544988,1493660589232,far,,903d185fccf839df
1493660544988,1493660589242,far,,903d185fccf839df
1493660544988,1493660589253,far,,903d185fccf839df
1493660544988,1493660589278,far,,903d185fccf839df
1493660544988,1493660589300,far,,903d185fccf839df
1493660544988,1493660589313,far,,903d185fccf839df
1493660544988,1493660589338,far,,903d185fccf839df
1493660544988,1493660589345,far,,903d185fccf839df
1493660544988,1493660589390,far,,903d185fccf839df
1493660544988,1493660589394,far,,903d185fccf839df
1493660544988,1493660589431,far,,903d185fccf839df
1493660544988,1493660589434,far,,903d185fccf839df
1493660544988,1493660589458,far,,903d185fccf839df
1493660544988,1493660589463,far,,903d185fccf839df
1493660544988,1493660589510,far,,903d185fccf839df
1493660544988,1493660589519,far,,903d185fccf839df
1493660544988,1493660589552,far,,903d185fccf839df
1493660544988,1493660589559,far,,903d185fccf839df
1493660544988,1493660589615,far,,903d185fccf839df
1493660544988,1493660589627,far,,903d185fccf839df
1493660544988,1493660589668,far,,903d185fccf839df
1493660544988,1493660589698,far,,903d185fccf839df
1493660544988,1493660589744,far,,903d185fccf839df
1493660544988,1493660589749,far,,903d185fccf839df
1493660544988,1493660589782,far,,903d185fccf839df
1493660544988,1493660589803,far,,903d185fccf839df
1493660544988,1493660589826,far,,903d185fccf839df
1493660544988,1493660589837,far,,903d185fccf839df
1493660544988,1493660589860,far,,903d185fccf839df
1493660544988,1493660589863,far,,903d185fccf839df
1493660544988,1493660589911,far,,903d185fccf839df
1493660544988,1493660589913,far,,903d185fccf839df
1493660544988,1493660589959,far,,903d185fccf839df
1493660544988,1493660589962,far,,903d185fccf839df
1493660544988,1493660590055,far,,903d185fccf839df
1493660544988,1493660590058,far,,903d185fccf839df
1493660544988,1493660590112,far,,903d185fccf839df
1493660544988,1493660590120,far,,903d185fccf839df
1493660590122,1493660590141,near,,903d185fccf839df
1493660590122,1493660590150,near,,903d185fccf839df
1493660590122,1493660590187,near,,903d185fccf839df
1493660590122,1493660590218,near,,903d185fccf839df
1493660590122,1493660590229,near,,903d185fccf839df
1493660590122,1493660590273,near,,903d185fccf839df
1493660590122,1493660590292,near,,903d185fccf839df
1493660590122,1493660590365,near,,903d185fccf839df
1493660590122,1493660590373,near,,903d185fccf839df
1493660590122,1493660590432,near,,903d185fccf839df
1493660590122,1493660590438,near,,903d185fccf839df
1493660590122,1493660590495,near,,903d185fccf839df
1493660590122,1493660590526,near,,903d185fccf839df
1493660590122,1493660590556,near,,903d185fccf839df
1493660590122,1493660590587,near,,903d185fccf839df
1493660590122,1493660590628,near,,903d185fccf839df
1493660590122,1493660590634,near,,903d185fccf839df
1493660590122,1493660590649,near,,903d185fccf839df
1493660590122,1493660590657,near,,903d185fccf839df
1493660590122,1493660590698,near,,903d185fccf839df
1493660590122,1493660590710,near,,903d185fccf839df
1493660590122,1493660590731,near,,903d185fccf839df
1493660590122,1493660590734,near,,903d185fccf839df
1493660590122,1493660590757,near,,903d185fccf839df
1493660590122,1493660590759,near,,903d185fccf839df
1493660590122,1493660590787,near,,903d185fccf839df
1493660590122,1493660590790,near,,903d185fccf839df
