timestamp, lastAccessTime, proximity, UUID 
1486924480299,1486924480461,far,,903d185fccf839df
1486924480299,1486924481889,far,,903d185fccf839df
1486924480299,1486924482146,far,,903d185fccf839df
1486924480299,1486924482183,far,,903d185fccf839df
1486924480299,1486924482201,far,,903d185fccf839df
1486924480299,1486924482227,far,,903d185fccf839df
1486924480299,1486924482247,far,,903d185fccf839df
1486924480299,1486924482265,far,,903d185fccf839df
1486924480299,1486924482270,far,,903d185fccf839df
1486924480299,1486924482284,far,,903d185fccf839df
1486924480299,1486924482300,far,,903d185fccf839df
1486924480299,1486924482359,far,,903d185fccf839df
1486924480299,1486924482391,far,,903d185fccf839df
1486924480299,1486924482412,far,,903d185fccf839df
1486924480299,1486924482435,far,,903d185fccf839df
1486924480299,1486924482448,far,,903d185fccf839df
1486924480299,1486924482465,far,,903d185fccf839df
1486924480299,1486924482477,far,,903d185fccf839df
1486924480299,1486924482497,far,,903d185fccf839df
1486924480299,1486924482519,far,,903d185fccf839df
1486924480299,1486924482538,far,,903d185fccf839df
1486924480299,1486924482558,far,,903d185fccf839df
1486924480299,1486924482580,far,,903d185fccf839df
1486924480299,1486924482598,far,,903d185fccf839df
1486924480299,1486924482643,far,,903d185fccf839df
1486924480299,1486924482664,far,,903d185fccf839df
1486924480299,1486924482687,far,,903d185fccf839df
1486924480299,1486924482712,far,,903d185fccf839df
1486924480299,1486924482739,far,,903d185fccf839df
1486924480299,1486924482760,far,,903d185fccf839df
1486924480299,1486924482781,far,,903d185fccf839df
1486924480299,1486924482808,far,,903d185fccf839df
1486924480299,1486924482838,far,,903d185fccf839df
1486924480299,1486924482863,far,,903d185fccf839df
1486924480299,1486924482882,far,,903d185fccf839df
1486924480299,1486924482905,far,,903d185fccf839df
1486924480299,1486924482935,far,,903d185fccf839df
1486924480299,1486924482955,far,,903d185fccf839df
1486924480299,1486924482991,far,,903d185fccf839df
1486924480299,1486924483021,far,,903d185fccf839df
1486924480299,1486924483046,far,,903d185fccf839df
1486924480299,1486924483073,far,,903d185fccf839df
1486924480299,1486924483098,far,,903d185fccf839df
1486924480299,1486924483136,far,,903d185fccf839df
1486924480299,1486924483159,far,,903d185fccf839df
1486924480299,1486924483183,far,,903d185fccf839df
1486924480299,1486924483214,far,,903d185fccf839df
1486924480299,1486924483237,far,,903d185fccf839df
1486924480299,1486924483271,far,,903d185fccf839df
1486924480299,1486924483289,far,,903d185fccf839df
1486924480299,1486924483315,far,,903d185fccf839df
1486924480299,1486924483513,far,,903d185fccf839df
1486924480299,1486924483538,far,,903d185fccf839df
1486924480299,1486924483569,far,,903d185fccf839df
1486924480299,1486924483596,far,,903d185fccf839df
1486924480299,1486924483616,far,,903d185fccf839df
1486924480299,1486924483647,far,,903d185fccf839df
1486924480299,1486924483669,far,,903d185fccf839df
1486924480299,1486924483698,far,,903d185fccf839df
1486924480299,1486924483732,far,,903d185fccf839df
1486924480299,1486924483752,far,,903d185fccf839df
1486924480299,1486924483768,far,,903d185fccf839df
1486924480299,1486924483785,far,,903d185fccf839df
1486924480299,1486924483802,far,,903d185fccf839df
1486924480299,1486924483825,far,,903d185fccf839df
1486924480299,1486924483848,far,,903d185fccf839df
1486924480299,1486924483881,far,,903d185fccf839df
1486924480299,1486924483912,far,,903d185fccf839df
1486924480299,1486924483934,far,,903d185fccf839df
1486924480299,1486924483945,far,,903d185fccf839df
1486924480299,1486924483958,far,,903d185fccf839df
1486924480299,1486924483977,far,,903d185fccf839df
1486924480299,1486924483996,far,,903d185fccf839df
1486924480299,1486924484016,far,,903d185fccf839df
1486924480299,1486924484044,far,,903d185fccf839df
1486924480299,1486924484067,far,,903d185fccf839df
1486924480299,1486924484085,far,,903d185fccf839df
1486924480299,1486924484108,far,,903d185fccf839df
1486924480299,1486924484140,far,,903d185fccf839df
1486924480299,1486924484169,far,,903d185fccf839df
1486924480299,1486924484200,far,,903d185fccf839df
1486924480299,1486924484233,far,,903d185fccf839df
1486924480299,1486924484248,far,,903d185fccf839df
1486924480299,1486924484268,far,,903d185fccf839df
1486924480299,1486924484288,far,,903d185fccf839df
1486924480299,1486924484309,far,,903d185fccf839df
1486924480299,1486924484339,far,,903d185fccf839df
1486924480299,1486924484361,far,,903d185fccf839df
1486924480299,1486924484382,far,,903d185fccf839df
1486924480299,1486924484404,far,,903d185fccf839df
1486924480299,1486924484434,far,,903d185fccf839df
1486924480299,1486924484459,far,,903d185fccf839df
1486924480299,1486924484494,far,,903d185fccf839df
1486924480299,1486924484516,far,,903d185fccf839df
1486924480299,1486924484554,far,,903d185fccf839df
1486924480299,1486924484575,far,,903d185fccf839df
1486924480299,1486924484590,far,,903d185fccf839df
1486924480299,1486924484609,far,,903d185fccf839df
1486924480299,1486924484654,far,,903d185fccf839df
1486924480299,1486924484691,far,,903d185fccf839df
1486924480299,1486924484716,far,,903d185fccf839df
1486924480299,1486924484737,far,,903d185fccf839df
1486924480299,1486924484756,far,,903d185fccf839df
1486924480299,1486924484783,far,,903d185fccf839df
1486924480299,1486924484824,far,,903d185fccf839df
1486924480299,1486924484882,far,,903d185fccf839df
1486924480299,1486924484902,far,,903d185fccf839df
1486924480299,1486924484926,far,,903d185fccf839df
1486924480299,1486924484946,far,,903d185fccf839df
1486924480299,1486924484969,far,,903d185fccf839df
1486924480299,1486924484990,far,,903d185fccf839df
1486924480299,1486924485014,far,,903d185fccf839df
1486924480299,1486924485041,far,,903d185fccf839df
1486924480299,1486924485073,far,,903d185fccf839df
1486924480299,1486924485091,far,,903d185fccf839df
1486924480299,1486924485115,far,,903d185fccf839df
1486924480299,1486924485143,far,,903d185fccf839df
1486924480299,1486924485159,far,,903d185fccf839df
1486924480299,1486924485180,far,,903d185fccf839df
1486924480299,1486924485200,far,,903d185fccf839df
1486924480299,1486924485228,far,,903d185fccf839df
1486924480299,1486924485247,far,,903d185fccf839df
1486924480299,1486924485269,far,,903d185fccf839df
1486924480299,1486924485288,far,,903d185fccf839df
1486924480299,1486924485310,far,,903d185fccf839df
1486924480299,1486924485332,far,,903d185fccf839df
1486924480299,1486924485344,far,,903d185fccf839df
1486924480299,1486924485372,far,,903d185fccf839df
1486924480299,1486924485391,far,,903d185fccf839df
1486924480299,1486924485415,far,,903d185fccf839df
1486924480299,1486924485437,far,,903d185fccf839df
1486924480299,1486924485473,far,,903d185fccf839df
1486924480299,1486924485498,far,,903d185fccf839df
1486924480299,1486924485529,far,,903d185fccf839df
1486924480299,1486924485548,far,,903d185fccf839df
1486924480299,1486924485567,far,,903d185fccf839df
1486924480299,1486924485589,far,,903d185fccf839df
1486924480299,1486924485610,far,,903d185fccf839df
1486924480299,1486924485641,far,,903d185fccf839df
1486924480299,1486924485677,far,,903d185fccf839df
1486924480299,1486924485704,far,,903d185fccf839df
1486924480299,1486924485728,far,,903d185fccf839df
1486924480299,1486924485749,far,,903d185fccf839df
