prediction, timestamp 
sitting,1486924483499
sitting,1486924484871
sitting,1486924486367
sitting,1486924487878
sitting,1486924489385
sitting,1486924490883
sitting,1486924492361
sitting,1486924493870
sitting,1486924495351
sitting,1486924496861
sitting,1486924498352
sitting,1486924499872
sitting,1486924501367
sitting,1486924502864
sitting,1486924504364
sitting,1486924505859
sitting,1486924507375
sitting,1486924508859
sitting,1486924510392
sitting,1486924511865
sitting,1486924513367
sitting,1486924514863
sitting,1486924516346
sitting,1486924517847
sitting,1486924519356
sitting,1486924520845
sitting,1486924522360
sitting,1486924523854
sitting,1486924525345
sitting,1486924526845
sitting,1486924528352
sitting,1486924529861
sitting,1486924531354
sitting,1486924532866
sitting,1486924534361
sitting,1486924535845
sitting,1486924537357
sitting,1486924538847
sitting,1486924540357
sitting,1486924541907
sitting,1486924543349
sitting,1486924544841
sitting,1486924546359
sitting,1486924547864
sitting,1486924549354
sitting,1486924550878
sitting,1486924552342
sitting,1486924553840
sitting,1486924555360
sitting,1486924556862
sitting,1486924558342
sitting,1486924559859
sitting,1486924561351
sitting,1486924562848
sitting,1486924564353
sitting,1486924565842
sitting,1486924567353
sitting,1486924568851
sitting,1486924570369
sitting,1486924571856
sitting,1486924573358
sitting,1486924574966
sitting,1486924576364
sitting,1486924577840
sitting,1486924579360
sitting,1486924580855
sitting,1486924582362
sitting,1486924583841
sitting,1486924585365
sitting,1486924586856
sitting,1486924588347
sitting,1486924589862
sitting,1486924591348
sitting,1486924592848
sitting,1486924594365
sitting,1486924595849
sitting,1486924597366
sitting,1486924598858
sitting,1486924600350
sitting,1486924601839
sitting,1486924603352
sitting,1486924604848
sitting,1486924606359
sitting,1486924607846
sitting,1486924609365
sitting,1486924610840
sitting,1486924612354
sitting,1486924613843
sitting,1486924615355
sitting,1486924616858
sitting,1486924618355
sitting,1486924619871
sitting,1486924621355
sitting,1486924622882
sitting,1486924624342
sitting,1486924625828
sitting,1486924627327
sitting,1486924628828
sitting,1486924630324
sitting,1486924631825
sitting,1486924633322
sitting,1486924634832
sitting,1486924636356
sitting,1486924637851
sitting,1486924639365
sitting,1486924640842
sitting,1486924642350
sitting,1486924643847
sitting,1486924645365
sitting,1486924646835
sitting,1486924648365
sitting,1486924649854
sitting,1486924651369
sitting,1486924652873
sitting,1486924654357
sitting,1486924655859
sitting,1486924657357
sitting,1486924658859
sitting,1486924660362
sitting,1486924661885
sitting,1486924663389
sitting,1486924664860
sitting,1486924666385
sitting,1486924667856
sitting,1486924669375
sitting,1486924670851
sitting,1486924672362
sitting,1486924673861
sitting,1486924675358
sitting,1486924676854
sitting,1486924678361
sitting,1486924679932
sitting,1486924681425
sitting,1486924682862
sitting,1486924684397
sitting,1486924685864
sitting,1486924687404
sitting,1486924688847
sitting,1486924690367
sitting,1486924691853
sitting,1486924693414
sitting,1486924694854
sitting,1486924696374
sitting,1486924697843
sitting,1486924699325
sitting,1486924700855
walking downstairs,1486924702364
walking downstairs,1486924703853
walking downstairs,1486924705355
walking downstairs,1486924706848
walking,1486924708355
sitting,1486924709893
walking,1486924711355
sitting,1486924712851
sitting,1486924714363
sitting,1486924715860
walking,1486924717363
walking downstairs,1486924718856
walking downstairs,1486924720375
sitting,1486924721850
sitting,1486924723364
sitting,1486924724877
sitting,1486924726340
sitting,1486924727869
sitting,1486924729390
sitting,1486924730879
sitting,1486924732369
sitting,1486924733855
sitting,1486924735375
sitting,1486924736884
sitting,1486924738352
sitting,1486924739886
sitting,1486924741406
sitting,1486924742866
sitting,1486924745164
sitting,1486924745875
sitting,1486924747368
sitting,1486924748852
sitting,1486924750397
sitting,1486924751893
sitting,1486924753380
sitting,1486924754867
sitting,1486924756370
sitting,1486924757848
sitting,1486924759365
sitting,1486924760849
sitting,1486924762343
sitting,1486924763847
sitting,1486924765359
sitting,1486924766839
sitting,1486924768343
sitting,1486924769852
sitting,1486924773045
sitting,1486924774364
sitting,1486924775845
sitting,1486924777353
sitting,1486924778855
sitting,1486924780350
sitting,1486924781867
sitting,1486924783359
sitting,1486924784856
sitting,1486924786370
sitting,1486924787852
sitting,1486924789366
sitting,1486924790842
sitting,1486924792365
sitting,1486924794613
sitting,1486924795367
walking,1486924796849
sitting,1486924798393
sitting,1486924799871
walking downstairs,1486924801375
walking downstairs,1486924802857
sitting,1486924804358
sitting,1486924805843
sitting,1486924807347
sitting,1486924808854
sitting,1486924811980
sitting,1486924813356
sitting,1486924814847
sitting,1486924816375
sitting,1486924817854
sitting,1486924819355
sitting,1486924820849
sitting,1486924822352
sitting,1486924823838
sitting,1486924825358
sitting,1486924826846
sitting,1486924828367
sitting,1486924829889
sitting,1486924831343
sitting,1486924832850
sitting,1486924834368
sitting,1486924835875
sitting,1486924837368
sitting,1486924838855
sitting,1486924840367
sitting,1486924841851
sitting,1486924843353
sitting,1486924844848
sitting,1486924846349
sitting,1486924847847
walking,1486924849397
walking downstairs,1486924850856
walking downstairs,1486924852352
walking downstairs,1486924853848
walking downstairs,1486924855373
walking downstairs,1486924856850
walking downstairs,1486924858353
walking downstairs,1486924859847
walking downstairs,1486924861371
sitting,1486924862841
sitting,1486924864361
sitting,1486924865848
sitting,1486924867352
sitting,1486924868844
sitting,1486924870360
sitting,1486924871843
sitting,1486924873360
sitting,1486924874862
sitting,1486924876349
sitting,1486924877853
sitting,1486924879352
sitting,1486924880854
sitting,1486924882353
sitting,1486924883851
sitting,1486924885355
sitting,1486924886855
sitting,1486924888361
sitting,1486924889848
sitting,1486924891399
sitting,1486924892916
sitting,1486924894366
sitting,1486924895844
sitting,1486924897361
sitting,1486924898863
sitting,1486924900357
sitting,1486924901858
sitting,1486924903351
sitting,1486924904841
sitting,1486924906361
sitting,1486924907848
sitting,1486924909344
sitting,1486924910856
sitting,1486924912359
sitting,1486924913840
sitting,1486924915364
sitting,1486924916861
sitting,1486924918355
sitting,1486924919844
sitting,1486924921356
walking,1486924922844
walking downstairs,1486924924349
walking downstairs,1486924925863
walking downstairs,1486924927367
walking downstairs,1486924928855
walking downstairs,1486924930366
walking,1486924931864
walking,1486924933360
sitting,1486924934853
sitting,1486924936353
sitting,1486924937850
sitting,1486924939348
sitting,1486924940843
sitting,1486924942349
sitting,1486924943901
sitting,1486924945421
sitting,1486924946943
sitting,1486924948332
sitting,1486924949823
sitting,1486924951336
sitting,1486924952822
sitting,1486924954338
sitting,1486924955832
sitting,1486924957326
sitting,1486924958830
sitting,1486924960329
sitting,1486924961828
sitting,1486924963328
sitting,1486924964839
sitting,1486924966330
sitting,1486924967825
sitting,1486924969333
sitting,1486924970828
sitting,1486924972337
sitting,1486924973825
sitting,1486924975333
sitting,1486924976832
sitting,1486924978331
sitting,1486924979923
sitting,1486924983590
sitting,1486924984369
sitting,1486924985851
sitting,1486924987349
sitting,1486924988849
sitting,1486924990373
sitting,1486924991880
sitting,1486924993363
sitting,1486924994851
sitting,1486924996357
sitting,1486924997847
sitting,1486924999358
sitting,1486925000862
sitting,1486925002363
sitting,1486925003851
sitting,1486925005390
sitting,1486925006861
sitting,1486925008354
sitting,1486925009854
sitting,1486925011398
sitting,1486925012845
sitting,1486925014372
sitting,1486925015856
sitting,1486925017361
sitting,1486925018854
sitting,1486925020378
sitting,1486925021876
sitting,1486925023369
sitting,1486925024872
sitting,1486925026359
sitting,1486925027854
sitting,1486925029359
sitting,1486925030840
sitting,1486925032359
sitting,1486925033881
sitting,1486925035362
sitting,1486925036870
sitting,1486925038346
sitting,1486925039858
sitting,1486925041367
sitting,1486925042848
sitting,1486925044362
sitting,1486925045851
sitting,1486925047374
sitting,1486925048856
sitting,1486925050358
sitting,1486925051846
sitting,1486925053430
sitting,1486925054931
sitting,1486925056374
sitting,1486925057857
sitting,1486925059361
sitting,1486925060847
sitting,1486925062345
sitting,1486925063855
sitting,1486925065378
sitting,1486925066877
sitting,1486925068354
sitting,1486925069845
sitting,1486925071355
sitting,1486925072853
sitting,1486925074365
sitting,1486925075849
sitting,1486925077395
sitting,1486925078842
sitting,1486925080363
sitting,1486925081853
sitting,1486925083365
sitting,1486925084845
sitting,1486925086330
sitting,1486925087818
sitting,1486925089347
sitting,1486925090851
sitting,1486925092353
sitting,1486925093857
sitting,1486925095354
sitting,1486925096843
sitting,1486925098374
sitting,1486925099847
sitting,1486925101418
sitting,1486925102912
sitting,1486925104362
sitting,1486925105852
sitting,1486925107359
sitting,1486925108853
sitting,1486925110362
sitting,1486925111851
sitting,1486925113356
sitting,1486925114846
walking,1486925116358
sitting,1486925117841
sitting,1486925119357
sitting,1486925120888
sitting,1486925122347
sitting,1486925123850
sitting,1486925125359
sitting,1486925126838
sitting,1486925128368
sitting,1486925129844
sitting,1486925131337
sitting,1486925132861
sitting,1486925134354
sitting,1486925135853
sitting,1486925137356
sitting,1486925138852
sitting,1486925140373
sitting,1486925141839
sitting,1486925143359
sitting,1486925144854
sitting,1486925146359
sitting,1486925147859
sitting,1486925149370
sitting,1486925150855
sitting,1486925152355
sitting,1486925153851
sitting,1486925155370
sitting,1486925156851
sitting,1486925158361
sitting,1486925159851
sitting,1486925161352
sitting,1486925162881
sitting,1486925164357
sitting,1486925165849
sitting,1486925167364
sitting,1486925168919
sitting,1486925170362
sitting,1486925171852
sitting,1486925173355
sitting,1486925174854
sitting,1486925176370
sitting,1486925177855
sitting,1486925179360
sitting,1486925180858
sitting,1486925182356
sitting,1486925183856
sitting,1486925185656
sitting,1486925186855
sitting,1486925188352
sitting,1486925189852
sitting,1486925191348
sitting,1486925192854
sitting,1486925194356
sitting,1486925195842
sitting,1486925197496
sitting,1486925198850
sitting,1486925200364
sitting,1486925201846
sitting,1486925203360
sitting,1486925204874
sitting,1486925206364
sitting,1486925207859
sitting,1486925209360
sitting,1486925210857
sitting,1486925212355
sitting,1486925213852
sitting,1486925215356
sitting,1486925216864
sitting,1486925218367
sitting,1486925219852
sitting,1486925221345
sitting,1486925222852
sitting,1486925224344
sitting,1486925225849
sitting,1486925227363
sitting,1486925228877
sitting,1486925230356
sitting,1486925231866
sitting,1486925233367
sitting,1486925234849
sitting,1486925236364
sitting,1486925237968
sitting,1486925239445
sitting,1486925240843
sitting,1486925242364
sitting,1486925243853
sitting,1486925245354
sitting,1486925246845
sitting,1486925248350
sitting,1486925249861
