timestamp, signal strength, UUID 
1490484490791,-89,,903d185fccf839df
1490484528396,-89,,903d185fccf839df
1490484528479,-89,,903d185fccf839df
1490484528578,-89,,903d185fccf839df
1490484528685,-89,,903d185fccf839df
1490484528738,-89,,903d185fccf839df
1490484528825,-89,,903d185fccf839df
1490484528946,-89,,903d185fccf839df
1490484529040,-89,,903d185fccf839df
1490484529131,-89,,903d185fccf839df
1490484529234,-89,,903d185fccf839df
1490484529341,-89,,903d185fccf839df
1490484529439,-89,,903d185fccf839df
1490484529540,-89,,903d185fccf839df
1490484529654,-89,,903d185fccf839df
1490484529770,-89,,903d185fccf839df
1490484529859,-89,,903d185fccf839df
1490484529953,-89,,903d185fccf839df
1490484530033,-89,,903d185fccf839df
1490484530141,-89,,903d185fccf839df
1490484530237,-89,,903d185fccf839df
1490484530338,-89,,903d185fccf839df
1490484530429,-89,,903d185fccf839df
1490484530537,-89,,903d185fccf839df
1490484530635,-89,,903d185fccf839df
1490484530747,-89,,903d185fccf839df
1490484530835,-89,,903d185fccf839df
1490484530930,-89,,903d185fccf839df
1490484531032,-89,,903d185fccf839df
1490484531137,-89,,903d185fccf839df
1490484531240,-89,,903d185fccf839df
1490484531356,-89,,903d185fccf839df
1490484531437,-89,,903d185fccf839df
1490484531529,-89,,903d185fccf839df
1490484531630,-89,,903d185fccf839df
1490484531730,-89,,903d185fccf839df
1490484531834,-89,,903d185fccf839df
1490484531939,-89,,903d185fccf839df
1490484532050,-89,,903d185fccf839df
1490484532144,-89,,903d185fccf839df
1490484532234,-89,,903d185fccf839df
1490484532335,-89,,903d185fccf839df
1490484532438,-89,,903d185fccf839df
1490484532535,-89,,903d185fccf839df
1490484532638,-89,,903d185fccf839df
1490484532753,-89,,903d185fccf839df
1490484532837,-89,,903d185fccf839df
1490484532937,-89,,903d185fccf839df
1490484533035,-89,,903d185fccf839df
1490484533137,-89,,903d185fccf839df
1490484533235,-89,,903d185fccf839df
1490484533339,-89,,903d185fccf839df
1490484533442,-89,,903d185fccf839df
1490484533533,-89,,903d185fccf839df
1490484533628,-89,,903d185fccf839df
1490484533735,-89,,903d185fccf839df
1490484533833,-89,,903d185fccf839df
1490484533933,-89,,903d185fccf839df
1490484534031,-89,,903d185fccf839df
1490484534152,-89,,903d185fccf839df
1490484534244,-89,,903d185fccf839df
1490484534339,-89,,903d185fccf839df
1490484534434,-89,,903d185fccf839df
1490484534552,-89,,903d185fccf839df
1490484534628,-89,,903d185fccf839df
1490484534737,-89,,903d185fccf839df
1490484534826,-89,,903d185fccf839df
1490484534930,-89,,903d185fccf839df
1490484535027,-89,,903d185fccf839df
1490484535136,-89,,903d185fccf839df
1490484535235,-89,,903d185fccf839df
1490484535337,-89,,903d185fccf839df
1490484535445,-89,,903d185fccf839df
1490484535547,-89,,903d185fccf839df
1490484535637,-89,,903d185fccf839df
1490484535731,-89,,903d185fccf839df
1490484535835,-89,,903d185fccf839df
1490484535930,-89,,903d185fccf839df
1490484536031,-89,,903d185fccf839df
1490484536148,-89,,903d185fccf839df
1490484536240,-89,,903d185fccf839df
1490484536331,-89,,903d185fccf839df
1490484536436,-89,,903d185fccf839df
1490484536531,-89,,903d185fccf839df
1490484536630,-89,,903d185fccf839df
1490484536740,-89,,903d185fccf839df
1490484536834,-89,,903d185fccf839df
1490484536926,-89,,903d185fccf839df
1490484537029,-89,,903d185fccf839df
1490484537138,-89,,903d185fccf839df
1490484537229,-89,,903d185fccf839df
1490484537329,-89,,903d185fccf839df
1490484537436,-89,,903d185fccf839df
1490484537538,-89,,903d185fccf839df
1490484537651,-89,,903d185fccf839df
1490484537739,-89,,903d185fccf839df
1490484537827,-89,,903d185fccf839df
1490484537939,-89,,903d185fccf839df
1490484538041,-89,,903d185fccf839df
1490484538131,-89,,903d185fccf839df
1490484538241,-89,,903d185fccf839df
1490484538332,-89,,903d185fccf839df
1490484538428,-89,,903d185fccf839df
1490484538534,-89,,903d185fccf839df
1490484538633,-89,,903d185fccf839df
1490484538732,-89,,903d185fccf839df
1490484538831,-89,,903d185fccf839df
1490484538943,-89,,903d185fccf839df
1490484539028,-89,,903d185fccf839df
1490484539137,-89,,903d185fccf839df
1490484539236,-89,,903d185fccf839df
1490484539338,-89,,903d185fccf839df
1490484539434,-89,,903d185fccf839df
