timestamp, heading, UUID 
1490484253985,215.39910888671875,,903d185fccf839df
1490484528382,215.22470092773438,,903d185fccf839df
1490484528482,215.09390258789062,,903d185fccf839df
1490484528507,215.3157501220703,,903d185fccf839df
1490484528603,215.23231506347656,,903d185fccf839df
1490484528701,215.01327514648438,,903d185fccf839df
1490484528714,214.87872314453125,,903d185fccf839df
1490484528753,214.28175354003906,,903d185fccf839df
1490484528778,214.15469360351562,,903d185fccf839df
1490484528821,213.49478149414062,,903d185fccf839df
1490484528854,213.29454040527344,,903d185fccf839df
1490484528898,213.14564514160156,,903d185fccf839df
1490484528953,213.29757690429688,,903d185fccf839df
1490484528973,213.55213928222656,,903d185fccf839df
1490484528995,213.8787841796875,,903d185fccf839df
1490484529025,214.2522735595703,,903d185fccf839df
1490484529099,213.82659912109375,,903d185fccf839df
1490484529135,214.60498046875,,903d185fccf839df
1490484529153,215.03919982910156,,903d185fccf839df
1490484529177,215.36111450195312,,903d185fccf839df
1490484529207,215.71759033203125,,903d185fccf839df
1490484529224,215.96180725097656,,903d185fccf839df
1490484529255,216.07020568847656,,903d185fccf839df
1490484529282,215.87220764160156,,903d185fccf839df
1490484529302,215.77769470214844,,903d185fccf839df
1490484529343,216.060302734375,,903d185fccf839df
1490484529374,216.55735778808594,,903d185fccf839df
1490484529395,216.79483032226562,,903d185fccf839df
1490484529418,216.97044372558594,,903d185fccf839df
1490484529443,217.1824493408203,,903d185fccf839df
1490484529454,217.256591796875,,903d185fccf839df
1490484529543,217.57476806640625,,903d185fccf839df
1490484529583,217.0664520263672,,903d185fccf839df
1490484529603,216.8339080810547,,903d185fccf839df
1490484529676,215.3957977294922,,903d185fccf839df
1490484529743,214.7130126953125,,903d185fccf839df
1490484529784,214.30157470703125,,903d185fccf839df
1490484529810,214.33509826660156,,903d185fccf839df
1490484529896,218.00323486328125,,903d185fccf839df
1490484529923,218.2518768310547,,903d185fccf839df
1490484529958,218.38592529296875,,903d185fccf839df
1490484529999,218.57444763183594,,903d185fccf839df
1490484530034,218.26901245117188,,903d185fccf839df
1490484530042,218.26107788085938,,903d185fccf839df
1490484530061,218.3731231689453,,903d185fccf839df
1490484530075,218.452392578125,,903d185fccf839df
1490484530084,218.47991943359375,,903d185fccf839df
1490484530143,218.1265411376953,,903d185fccf839df
1490484530196,218.62423706054688,,903d185fccf839df
1490484530215,219.205322265625,,903d185fccf839df
1490484530241,219.8056182861328,,903d185fccf839df
1490484530262,220.26388549804688,,903d185fccf839df
1490484530278,220.3372344970703,,903d185fccf839df
1490484530298,220.43460083007812,,903d185fccf839df
1490484530319,220.59744262695312,,903d185fccf839df
1490484530343,220.9027862548828,,903d185fccf839df
1490484530362,221.14791870117188,,903d185fccf839df
1490484530422,221.25669860839844,,903d185fccf839df
1490484530462,220.9484100341797,,903d185fccf839df
1490484530480,220.9305877685547,,903d185fccf839df
1490484530502,221.06494140625,,903d185fccf839df
1490484530536,221.06961059570312,,903d185fccf839df
1490484530557,220.866943359375,,903d185fccf839df
1490484530577,220.64028930664062,,903d185fccf839df
1490484530602,220.37754821777344,,903d185fccf839df
1490484530635,220.07623291015625,,903d185fccf839df
1490484530654,219.84141540527344,,903d185fccf839df
1490484530662,219.7723388671875,,903d185fccf839df
1490484530683,219.76654052734375,,903d185fccf839df
1490484530722,220.0956573486328,,903d185fccf839df
1490484530754,220.50013732910156,,903d185fccf839df
1490484530783,221.06710815429688,,903d185fccf839df
1490484530803,221.47467041015625,,903d185fccf839df
1490484530840,222.0062255859375,,903d185fccf839df
1490484530855,222.21971130371094,,903d185fccf839df
1490484530863,222.29315185546875,,903d185fccf839df
1490484530874,222.35365295410156,,903d185fccf839df
1490484530898,222.4558563232422,,903d185fccf839df
1490484530924,222.41754150390625,,903d185fccf839df
1490484530954,222.08755493164062,,903d185fccf839df
1490484530965,221.90310668945312,,903d185fccf839df
1490484530994,221.1618194580078,,903d185fccf839df
1490484531036,219.98487854003906,,903d185fccf839df
1490484531065,218.94149780273438,,903d185fccf839df
1490484531086,218.1103515625,,903d185fccf839df
1490484531119,216.73707580566406,,903d185fccf839df
1490484531178,214.71995544433594,,903d185fccf839df
1490484531202,214.24557495117188,,903d185fccf839df
1490484531245,213.55593872070312,,903d185fccf839df
1490484531263,213.1646270751953,,903d185fccf839df
1490484531284,212.990966796875,,903d185fccf839df
1490484531296,213.03343200683594,,903d185fccf839df
1490484531359,213.02854919433594,,903d185fccf839df
1490484531395,211.62466430664062,,903d185fccf839df
1490484531413,211.17015075683594,,903d185fccf839df
1490484531424,211.04103088378906,,903d185fccf839df
1490484531474,210.87591552734375,,903d185fccf839df
1490484531495,210.6636505126953,,903d185fccf839df
1490484531515,210.22293090820312,,903d185fccf839df
1490484531542,209.6430206298828,,903d185fccf839df
1490484531555,209.03973388671875,,903d185fccf839df
1490484531563,208.74954223632812,,903d185fccf839df
1490484531584,208.17526245117188,,903d185fccf839df
1490484531616,207.2733154296875,,903d185fccf839df
1490484531645,206.34677124023438,,903d185fccf839df
1490484531679,205.4909210205078,,903d185fccf839df
1490484531696,205.0716094970703,,903d185fccf839df
1490484531726,204.77911376953125,,903d185fccf839df
1490484531742,204.7792205810547,,903d185fccf839df
1490484531765,204.85565185546875,,903d185fccf839df
1490484531796,205.06422424316406,,903d185fccf839df
1490484531817,205.24758911132812,,903d185fccf839df
1490484531856,205.4250030517578,,903d185fccf839df
1490484531882,205.27053833007812,,903d185fccf839df
1490484531902,205.24510192871094,,903d185fccf839df
1490484531934,205.77908325195312,,903d185fccf839df
1490484531982,207.1043701171875,,903d185fccf839df
1490484532016,207.40003967285156,,903d185fccf839df
1490484532062,207.3692626953125,,903d185fccf839df
1490484532078,207.3483428955078,,903d185fccf839df
1490484532086,207.33316040039062,,903d185fccf839df
1490484532145,207.2723846435547,,903d185fccf839df
1490484532162,207.19981384277344,,903d185fccf839df
1490484532194,206.90113830566406,,903d185fccf839df
1490484532202,206.74826049804688,,903d185fccf839df
1490484532262,205.6082305908203,,903d185fccf839df
1490484532282,205.205810546875,,903d185fccf839df
1490484532303,204.7995147705078,,903d185fccf839df
1490484532334,204.3209991455078,,903d185fccf839df
1490484532355,204.11370849609375,,903d185fccf839df
1490484532364,204.0140838623047,,903d185fccf839df
1490484532403,203.63754272460938,,903d185fccf839df
1490484532434,203.2547149658203,,903d185fccf839df
1490484532454,202.8133544921875,,903d185fccf839df
1490484532477,202.24378967285156,,903d185fccf839df
1490484532484,201.91751098632812,,903d185fccf839df
1490484532543,200.04869079589844,,903d185fccf839df
1490484532574,200.02536010742188,,903d185fccf839df
1490484532595,200.2177734375,,903d185fccf839df
1490484532602,200.28286743164062,,903d185fccf839df
1490484532644,199.79092407226562,,903d185fccf839df
1490484532717,197.5414276123047,,903d185fccf839df
1490484532756,196.88404846191406,,903d185fccf839df
1490484532776,196.66598510742188,,903d185fccf839df
1490484532806,196.32896423339844,,903d185fccf839df
1490484532854,195.8599395751953,,903d185fccf839df
1490484532875,195.57235717773438,,903d185fccf839df
1490484532894,195.14865112304688,,903d185fccf839df
1490484532934,194.03207397460938,,903d185fccf839df
1490484532958,193.436279296875,,903d185fccf839df
1490484532974,192.97720336914062,,903d185fccf839df
1490484533003,192.66888427734375,,903d185fccf839df
1490484533042,192.4273223876953,,903d185fccf839df
1490484533063,192.24017333984375,,903d185fccf839df
1490484533095,192.18496704101562,,903d185fccf839df
1490484533124,192.5102996826172,,903d185fccf839df
1490484533182,193.73793029785156,,903d185fccf839df
1490484533196,194.1416778564453,,903d185fccf839df
1490484533227,195.31231689453125,,903d185fccf839df
1490484533255,195.90072631835938,,903d185fccf839df
1490484533282,196.0810546875,,903d185fccf839df
1490484533295,196.1077117919922,,903d185fccf839df
1490484533343,195.814453125,,903d185fccf839df
1490484533363,195.69815063476562,,903d185fccf839df
1490484533382,195.82693481445312,,903d185fccf839df
1490484533444,197.3241424560547,,903d185fccf839df
1490484533474,197.89157104492188,,903d185fccf839df
1490484533502,198.14222717285156,,903d185fccf839df
1490484533543,198.06954956054688,,903d185fccf839df
1490484533576,197.77920532226562,,903d185fccf839df
1490484533603,197.42193603515625,,903d185fccf839df
1490484533615,197.3641357421875,,903d185fccf839df
1490484533644,197.506103515625,,903d185fccf839df
1490484533663,197.57923889160156,,903d185fccf839df
1490484533683,197.31515502929688,,903d185fccf839df
1490484533734,196.156494140625,,903d185fccf839df
1490484533763,195.4915771484375,,903d185fccf839df
1490484533794,195.19140625,,903d185fccf839df
1490484533856,196.1654052734375,,903d185fccf839df
1490484533902,195.430419921875,,903d185fccf839df
1490484533934,194.8850860595703,,903d185fccf839df
1490484533954,194.721435546875,,903d185fccf839df
1490484533962,194.64593505859375,,903d185fccf839df
1490484534003,194.30491638183594,,903d185fccf839df
1490484534022,193.80284118652344,,903d185fccf839df
1490484534065,193.1939697265625,,903d185fccf839df
1490484534116,192.20993041992188,,903d185fccf839df
1490484534196,191.588623046875,,903d185fccf839df
1490484534217,191.70570373535156,,903d185fccf839df
1490484534259,192.16336059570312,,903d185fccf839df
1490484534276,192.67210388183594,,903d185fccf839df
1490484534304,193.72122192382812,,903d185fccf839df
1490484534358,194.7811279296875,,903d185fccf839df
1490484534374,195.1688690185547,,903d185fccf839df
1490484534385,195.48480224609375,,903d185fccf839df
1490484534400,195.90127563476562,,903d185fccf839df
1490484534442,198.25782775878906,,903d185fccf839df
1490484534457,198.58572387695312,,903d185fccf839df
1490484534476,199.12586975097656,,903d185fccf839df
1490484534507,199.89205932617188,,903d185fccf839df
1490484534543,200.70785522460938,,903d185fccf839df
1490484534579,201.3006591796875,,903d185fccf839df
1490484534604,201.859130859375,,903d185fccf839df
1490484534626,202.26632690429688,,903d185fccf839df
1490484534656,202.91629028320312,,903d185fccf839df
1490484534674,203.39859008789062,,903d185fccf839df
1490484534704,204.32919311523438,,903d185fccf839df
1490484534736,205.47897338867188,,903d185fccf839df
1490484534744,205.7894744873047,,903d185fccf839df
1490484534762,206.3028106689453,,903d185fccf839df
1490484534804,207.03309631347656,,903d185fccf839df
1490484534823,207.07522583007812,,903d185fccf839df
1490484534844,206.91282653808594,,903d185fccf839df
1490484534863,206.72073364257812,,903d185fccf839df
1490484534900,206.52236938476562,,903d185fccf839df
1490484534924,206.01083374023438,,903d185fccf839df
