timestamp, latitude, longitude, accuracy, UUID ,
1.49479E+12,48.157435,11.5669985,12,,903d185fccf839df
1.49479E+12,48.1574277,11.5670167,12,,903d185fccf839df
1.49479E+12,48.1574257,11.5670424,12,,903d185fccf839df
1.49479E+12,48.1574332,11.5670697,12,,903d185fccf839df
1.49479E+12,48.1574232,11.5670746,8,,903d185fccf839df
1.49479E+12,48.1574218,11.5670719,12,,903d185fccf839df
1.49479E+12,48.1574209,11.5670795,12,,903d185fccf839df
1.49479E+12,48.1574113,11.5670993,12,,903d185fccf839df
1.49479E+12,48.1574038,11.567128,12,,903d185fccf839df
1.49479E+12,48.1574014,11.5671613,8,,903d185fccf839df
1.49479E+12,48.1574014,11.5671613,16.34900093,,903d185fccf839df
1.49479E+12,48.1573929,11.5671915,8,,903d185fccf839df
1.49479E+12,48.1573819,11.5672184,8,,903d185fccf839df
1.49479E+12,48.1573774,11.5672459,8,,903d185fccf839df
1.49479E+12,48.1573775,11.5672666,8,,903d185fccf839df
1.49479E+12,48.1573833,11.5672696,8,,903d185fccf839df
1.49479E+12,48.1573883,11.5672724,8,,903d185fccf839df
1.49479E+12,48.1573892,11.5672795,8,,903d185fccf839df
1.49479E+12,48.1573912,11.5672893,8,,903d185fccf839df
1.49479E+12,48.1574167,11.5673187,12,,903d185fccf839df
1.49479E+12,48.1574272,11.5673415,12,,903d185fccf839df
1.49479E+12,48.1574313,11.5673651,12,,903d185fccf839df
1.49479E+12,48.1574313,11.5673651,12,,903d185fccf839df
1.49479E+12,48.1574313,11.5673651,8,,903d185fccf839df
1.49479E+12,48.1574313,11.5673651,8,,903d185fccf839df
1.49479E+12,48.1574313,11.5673651,12,,903d185fccf839df
1.49479E+12,48.1574313,11.5673651,12,,903d185fccf839df
1.49479E+12,48.1574087,11.5675063,12,,903d185fccf839df
1.49479E+12,48.1573894,11.5675111,16,,903d185fccf839df
1.49479E+12,48.1573758,11.5675064,16,,903d185fccf839df
1.49479E+12,48.1573457,11.5674972,8,,903d185fccf839df
1.49479E+12,48.1572923,11.5674881,8,,903d185fccf839df
1.49479E+12,48.1572464,11.5674772,12,,903d185fccf839df
1.49479E+12,48.1572303,11.567469,12,,903d185fccf839df
1.49479E+12,48.1572156,11.5674601,12,,903d185fccf839df
1.49479E+12,48.157202,11.5674538,8,,903d185fccf839df
1.49479E+12,48.1571897,11.5674488,8,,903d185fccf839df
1.49479E+12,48.1571786,11.5674441,8,,903d185fccf839df
1.49479E+12,48.1571678,11.5674423,8,,903d185fccf839df
1.49479E+12,48.1571601,11.5674404,8,,903d185fccf839df
1.49479E+12,48.1571525,11.567439,8,,903d185fccf839df
1.49479E+12,48.1571442,11.5674402,8,,903d185fccf839df
1.49479E+12,48.1571345,11.567442,8,,903d185fccf839df
1.49479E+12,48.1571258,11.567438,12,,903d185fccf839df
1.49479E+12,48.1571182,11.5674382,12,,903d185fccf839df
1.49479E+12,48.1571116,11.5674386,8,,903d185fccf839df
1.49479E+12,48.1571036,11.567435,8,,903d185fccf839df
1.49479E+12,48.157094,11.5674277,8,,903d185fccf839df
1.49479E+12,48.1570829,11.5674235,8,,903d185fccf839df
1.49479E+12,48.1570679,11.5674223,16,,903d185fccf839df
1.49479E+12,48.1570536,11.5674212,8,,903d185fccf839df
1.49479E+12,48.1570386,11.567425,8,,903d185fccf839df
1.49479E+12,48.1570244,11.5674244,12,,903d185fccf839df
1.49479E+12,48.1570108,11.5674199,12,,903d185fccf839df
1.49479E+12,48.1570007,11.5674155,12,,903d185fccf839df
1.49479E+12,48.1569909,11.567406,12,,903d185fccf839df
1.49479E+12,48.1569807,11.5673965,12,,903d185fccf839df
1.49479E+12,48.156969,11.5673902,8,,903d185fccf839df
1.49479E+12,48.156932,11.567382,16,,903d185fccf839df
1.49479E+12,48.1569184,11.567378,16,,903d185fccf839df
1.49479E+12,48.1569025,11.5673719,8,,903d185fccf839df
1.49479E+12,48.1568852,11.5673674,8,,903d185fccf839df
1.49479E+12,48.1568678,11.5673665,8,,903d185fccf839df
1.49479E+12,48.1568507,11.5673645,8,,903d185fccf839df
1.49479E+12,48.1568356,11.5673589,12,,903d185fccf839df
1.49479E+12,48.1568228,11.5673546,8,,903d185fccf839df
1.49479E+12,48.1568097,11.5673507,16,,903d185fccf839df
1.49479E+12,48.1567945,11.5673477,12,,903d185fccf839df
1.49479E+12,48.1567818,11.5673468,12,,903d185fccf839df
1.49479E+12,48.1567708,11.5673452,12,,903d185fccf839df
1.49479E+12,48.1567613,11.5673432,12,,903d185fccf839df
1.49479E+12,48.1567531,11.5673383,8,,903d185fccf839df
1.49479E+12,48.156745,11.5673332,6,,903d185fccf839df
1.49479E+12,48.156738,11.567328,6,,903d185fccf839df
1.49479E+12,48.1567305,11.5673214,8,,903d185fccf839df
1.49479E+12,48.1567217,11.5673127,8,,903d185fccf839df
1.49479E+12,48.156712,11.5673064,6,,903d185fccf839df
1.49479E+12,48.1567014,11.5672995,12,,903d185fccf839df
1.49479E+12,48.1566893,11.5672947,12,,903d185fccf839df
1.49479E+12,48.1566777,11.56729,12,,903d185fccf839df
1.49479E+12,48.156668,11.5672837,12,,903d185fccf839df
1.49479E+12,48.1566587,11.5672782,12,,903d185fccf839df
1.49479E+12,48.1566484,11.5672762,12,,903d185fccf839df
1.49479E+12,48.1566375,11.567274,12,,903d185fccf839df
