UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-0.5863654767941088,-0.5088321596189682,-0.6499007225595722,-0.5111741024881244,-1.3418732356558083,-1.2226094304167083,1.6732239011885897,-1.3640368495696469,-0.061212601280811095,-0.5434818223164903,0.15091550883535965,-0.33454082132047996,-0.7847767658199644,-1.0159785932775955,-1.1212853060748147,-0.9788311295697469,-1.266948927246118,-1.0450584506614335,-1.2012355941299149,-0.9598771165167883,-1.1638125184757988,-0.47565781930883144,-0.6446934447990615,-0.5500035708546874,undefined,1491900855840
903d185fccf839df,-0.9065348678569876,-0.9097638709837532,-0.6428832389751439,-0.640218494548052,-1.5336059697249884,-1.4306737162252412,1.7781080511177265,-1.2032744332028116,-0.18752510488554777,-0.7463295529724592,0.08149951491545147,-0.38188008635783,-0.4823209113190731,-0.9687610664886536,-1.1139168852461656,-0.9060892400774139,-1.1021961501908113,-0.9163888716485218,-1.14175395887602,-0.7845658219765941,-1.0370225687177859,-0.4681432572825788,-0.7125490869093565,-0.5413030936101594,undefined,1491900856687
903d185fccf839df,-0.6099277287428339,-0.9038937210025393,-0.5739775630562809,-0.5675598581594804,-1.3529116483193868,-1.470492359448755,1.872578702751618,-0.646764178899282,-0.2875438140223671,-0.5356565834587586,0.0017249459997471823,-0.15967367707881258,-0.43445020053475936,-0.7067500872962603,-1.1233905929645058,-0.9929753897855785,-1.0170112262733708,-0.8249569956451756,-1.0893216086687958,-0.8201747289221992,-0.978208028690328,-0.43758030939050074,-0.7088399852087994,-0.547788044502976,undefined,1491900857334
903d185fccf839df,-0.5926025797678418,-0.7357137779008002,-0.22721836931992773,-0.3111867787749201,-1.31763638967334,-1.5562242411252956,1.8404412602556615,-0.9741892115243338,-0.31040123287916077,-0.5218031287832451,0.009217947194727207,-0.036712490196473456,-0.5432472704991087,-0.6660134065323201,-1.0697063032169587,-0.8717389261415045,-1.0144068411546558,-0.7410982674654324,-1.0657073710169633,-0.7473529145039725,-0.9245753328513701,-0.4053381415248919,-0.644774717397784,-0.4967410914438606,undefined,1491900858169
903d185fccf839df,-0.5350829588810686,-0.6749576963672442,-0.038047973099328176,-0.014286819508785445,-1.3519532129634277,-1.5677411205904048,1.8084916788897882,-1.1892845244491947,-0.2699692866657367,-0.24293092966541854,0.08977404126368924,-0.07791160428318962,-0.5628307430926917,-0.6595325734580929,-1.088653685523587,-0.718172736974696,-1.0075830941893218,-0.7155691612120715,-1.0448842524943451,-0.5970228030317362,-0.8761917943809924,-0.3627295491512667,-0.6437565324516821,-0.5436885788740515,undefined,1491900858800
903d185fccf839df,-0.44568498900357095,-0.586024836467877,0.24395293266427728,0.2499877120193097,-1.1438522183298698,-1.5932709300519001,1.8795306431707675,-0.6978292350569993,-0.38386001542472076,0.1890616291838688,0.07875098606090783,-0.05472447103877374,-0.7129706996434938,-0.5558391924673591,-1.086548410597526,-0.6009774784216932,-0.8327698756197143,-0.6272645007398688,-1.0162138272978043,-0.5394369297806514,-0.809703492469492,-0.3343929951986137,-0.6368197293401701,-0.48773952026549694,undefined,1491900859661
903d185fccf839df,-0.5032046012639917,-0.4430865382853575,0.4111118923529426,0.5305105079265013,-1.1149168845720692,-1.6314208535388353,1.883168786783864,-0.724498161078582,-0.3873719507319655,-0.05748200260967425,0.02198575267641322,-0.04857516530434462,-0.8957497771836007,-0.5132508164340676,-1.076022109589558,-0.37062819467148045,-0.8241677633895153,-0.5880551467319076,-1.0033557896887562,-0.32409731226173233,-0.7558661341599737,-0.3065822585229129,-0.5021368586232341,-0.43987433561441863,undefined,1491900860286
903d185fccf839df,-0.43390385008967974,-0.5252686964783364,0.4111118923529426,0.5305105079265013,-1.1618137714498515,-1.6272653194835087,1.8852061178527788,-0.7105709345461537,-0.3670036704875849,-0.1670727140634298,0.04327688273354439,-0.0058218729331656425,-0.9523242535650625,-0.5558391924673591,-1.0381273081651317,-0.2776802797237912,-0.8264178415427694,-0.6092344292903454,-0.9852061105917113,-0.2250595992581752,-0.7432834478004567,-0.3308847735397644,-0.5020971399141341,-0.4233101214021857,undefined,1491900861176
903d185fccf839df,-0.43875489663343487,-0.49621142484333536,0.4356754991994613,0.6079173640735401,-1.1763442304256149,-1.6302990743321384,1.9204486241414336,-0.4762262457190028,-0.37379763007698813,-0.32830456431401767,0.013741749364776849,0.051413326668980214,-1.0001949643493762,-0.5465808521037349,-1.0402325683667253,-0.14432008774761734,-0.8361644472129273,-0.6072620615701818,-0.9770111309676205,-0.19354782651880473,-0.7272197211607523,-0.3557104973432851,-0.5475079094242237,-0.43439654015876905,undefined,1491900861836
903d185fccf839df,-0.37846331816104967,-0.4659800647561069,0.5457325547906576,0.7692878481967991,-1.1390050085148182,-1.6576880150396256,1.9030206793241653,-0.619523239276997,-0.3932124473406145,-0.22209423865858796,0.0021431891264600267,-0.044681702320141126,-1.0045468471479502,-0.5863916625691439,-0.9991798840021426,-0.2716184155577413,-0.875445164739317,-0.6327268274307293,-0.961063066326045,-0.21927349560014456,-0.738727149367794,-0.3763610564946026,-0.5415431275922588,-0.45634926342895343,undefined,1491900862668
