timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1491901470909,-16.399999618530273,-20,0.9000000357627869,25.879914828242132,,903d185fccf839df
1491901471038,-16.80000114440918,-19.200000762939453,0.10000000149011612,25.512547225212078,,903d185fccf839df
1491901471144,-16.700000762939453,-18.5,-0.5,24.927695734833524,,903d185fccf839df
1491901471204,-16.399999618530273,-18.100000381469727,-0.6000000238418579,24.43215109928972,,903d185fccf839df
1491901471396,-15.100000381469727,-17.5,-1.899999976158142,23.19202469946772,,903d185fccf839df
1491901471494,-15,-17.80000114440918,-3.5,23.53911695148033,,903d185fccf839df
1491901471575,-15,-18.100000381469727,-4.700000286102295,23.97290174194766,,903d185fccf839df
1491901471654,-14.90000057220459,-18.700000762939453,-4.700000286102295,24.367807549809356,,903d185fccf839df
1491901471705,-14.800000190734863,-19.200000762939453,-4.300000190734863,24.62052040213257,,903d185fccf839df
1491901471794,-14.90000057220459,-19.399999618530273,-2.299999952316284,24.569493179124404,,903d185fccf839df
1491901471875,-15.5,-19.399999618530273,-0.699999988079071,24.84149724415372,,903d185fccf839df
1491901471985,-17,-19.100000381469727,0.800000011920929,25.58222093801614,,903d185fccf839df
1491901472035,-17.399999618530273,-18.700000762939453,1,25.562668331123636,,903d185fccf839df
1491901472104,-17.899999618530273,-18.399999618530273,1.100000023841858,25.69396759438433,,903d185fccf839df
1491901472164,-18,-18.100000381469727,0.9000000357627869,25.542513892158883,,903d185fccf839df
1491901472284,-17.899999618530273,-18.100000381469727,0.4000000059604645,25.459379195593062,,903d185fccf839df
1491901472374,-18.100000381469727,-18.30000114440918,0.699999988079071,25.748593379345806,,903d185fccf839df
1491901472447,-18.200000762939453,-18.399999618530273,1.2000000476837158,25.908300182909866,,903d185fccf839df
1491901472505,-18.5,-18.5,1.399999976158142,26.20038167506225,,903d185fccf839df
1491901472618,-18.600000381469727,-18.399999618530273,1.2000000476837158,26.190838466694235,,903d185fccf839df
1491901472704,-18.200000762939453,-18.200000762939453,0.699999988079071,25.748204626413095,,903d185fccf839df
1491901472794,-17.80000114440918,-17.899999618530273,0.20000000298023224,25.244603383749787,,903d185fccf839df
1491901472916,-17.30000114440918,-17.5,0,24.607723158847914,,903d185fccf839df
1491901473005,-17.399999618530273,-17.30000114440918,0.10000000149011612,24.536911344161773,,903d185fccf839df
1491901473115,-17.899999618530273,-17,0.5,24.691293468438044,,903d185fccf839df
1491901473174,-18.399999618530273,-16.700000762939453,0.699999988079071,24.85839922816362,,903d185fccf839df
1491901473254,-19,-16.600000381469727,0.699999988079071,25.239849396110273,,903d185fccf839df
1491901473314,-19.600000381469727,-16.899999618530273,1,25.899227575618387,,903d185fccf839df
1491901473374,-19.899999618530273,-17.200000762939453,1.399999976158142,26.340273461421262,,903d185fccf839df
1491901473465,-20.200000762939453,-17.5,1.100000023841858,26.748832481075635,,903d185fccf839df
1491901473514,-20.200000762939453,-17.5,0.9000000357627869,26.741354474380852,,903d185fccf839df
1491901473625,-19.5,-16.700000762939453,0.30000001192092896,25.675474964487293,,903d185fccf839df
1491901473684,-19.30000114440918,-16.200000762939453,0,25.197819037141205,,903d185fccf839df
1491901473785,-19.399999618530273,-15.600000381469727,0.5,24.899196798706242,,903d185fccf839df
1491901473855,-19.80000114440918,-15,1,24.860411079917807,,903d185fccf839df
1491901473914,-20.200000762939453,-14.40000057220459,1.2000000476837158,24.83626491622404,,903d185fccf839df
1491901473976,-20.5,-13.90000057220459,1.399999976158142,24.80766054854012,,903d185fccf839df
1491901474044,-20.600000381469727,-13.600000381469727,1.3000000715255737,24.718616926507792,,903d185fccf839df
1491901474104,-20.5,-13.800000190734863,1.3000000715255737,24.7463129095596,,903d185fccf839df
1491901474178,-20.30000114440918,-14.199999809265137,1.399999976158142,24.813102520274104,,903d185fccf839df
1491901474224,-20.100000381469727,-14.5,1.2000000476837158,24.813303081670636,,903d185fccf839df
1491901474304,-20,-14.90000057220459,0.800000011920929,24.952955933334323,,903d185fccf839df
1491901474385,-20.100000381469727,-14.699999809265137,0.9000000357627869,24.918065859241654,,903d185fccf839df
1491901474435,-20.30000114440918,-14.40000057220459,1.100000023841858,24.913050260462576,,903d185fccf839df
1491901474518,-20.700000762939453,-14.5,1.5,25.31778072327733,,903d185fccf839df
1491901474619,-21.200000762939453,-14.90000057220459,2.299999952316284,26.014227697290234,,903d185fccf839df
1491901474738,-22,-15.199999809265137,2.6000001430511475,26.866335700870184,,903d185fccf839df
1491901474864,-23.399999618530273,-15.199999809265137,3.200000047683716,28.086295440472725,,903d185fccf839df
1491901474937,-24,-15.699999809265137,3.1000001430511475,28.846143431050304,,903d185fccf839df
1491901474974,-24.100000381469727,-16.100000381469727,2.799999952316284,29.11803597784371,,903d185fccf839df
1491901475045,-23.80000114440918,-16.700000762939453,2.5,29.181845008926356,,903d185fccf839df
1491901475105,-23.30000114440918,-16.700000762939453,2,28.73638965374793,,903d185fccf839df
1491901475177,-22.80000114440918,-16.399999618530273,1.100000023841858,28.0260598471445,,903d185fccf839df
1491901475294,-22.30000114440918,-15.300000190734863,0.30000001192092896,27.045702998124415,,903d185fccf839df
1491901475365,-22.700000762939453,-14.90000057220459,0.20000000298023224,27.154006128579926,,903d185fccf839df
1491901475476,-23.700000762939453,-15.199999809265137,0.30000001192092896,28.157060513595372,,903d185fccf839df
1491901475604,-24.80000114440918,-15.199999809265137,0.5,29.091751964236064,,903d185fccf839df
1491901475684,-25.100000381469727,-15.100000381469727,0.6000000238418579,29.298123140323426,,903d185fccf839df
1491901475752,-25.399999618530273,-14.90000057220459,0.699999988079071,29.456068693732547,,903d185fccf839df
1491901475844,-25.600000381469727,-15,0.30000001192092896,29.672378509150477,,903d185fccf839df
1491901475894,-25.700000762939453,-15.199999809265137,0,29.858500373522848,,903d185fccf839df
1491901475954,-25.80000114440918,-15.5,-0.20000000298023224,30.09867232431399,,903d185fccf839df
1491901476035,-26,-15.600000381469727,-0.6000000238418579,30.326886023517908,,903d185fccf839df
1491901476114,-26.30000114440918,-16.100000381469727,-0.5,30.840721221288238,,903d185fccf839df
1491901476187,-26.600000381469727,-16.5,-0.10000000149011612,31.302076569443464,,903d185fccf839df
1491901476305,-26.700000762939453,-17.600000381469727,0.6000000238418579,31.98452789128468,,903d185fccf839df
1491901476384,-26.399999618530273,-18.30000114440918,0.699999988079071,32.130048336148676,,903d185fccf839df
1491901476468,-25.80000114440918,-18.5,1,31.763030014209818,,903d185fccf839df
1491901476534,-24.80000114440918,-19,0.6000000238418579,31.247400517111902,,903d185fccf839df
1491901476655,-23.600000381469727,-19.600000381469727,0.30000001192092896,30.67914642942893,,903d185fccf839df
1491901476754,-23.399999618530273,-20.700000762939453,1.2000000476837158,31.264836771807516,,903d185fccf839df
1491901476864,-24.700000762939453,-21,3,32.55902373928722,,903d185fccf839df
1491901476915,-25.5,-20.899999618530273,3.6000001430511475,33.16654939167496,,903d185fccf839df
1491901477005,-27.200000762939453,-20.100000381469727,4.400000095367432,34.10586514415732,,903d185fccf839df
1491901477084,-28.200000762939453,-19,4.800000190734863,34.34064723014199,,903d185fccf839df
1491901477174,-29.200000762939453,-18,5.200000286102295,34.69409196781656,,903d185fccf839df
1491901477255,-29.899999618530273,-17.399999618530273,6,35.11082351609708,,903d185fccf839df
1491901477315,-30.30000114440918,-17,6.099999904632568,35.27463801338148,,903d185fccf839df
1491901477384,-30.30000114440918,-16.899999618530273,5.700000286102295,35.159494804684755,,903d185fccf839df
1491901477458,-30.200000762939453,-17.100000381469727,5.700000286102295,35.170158435854056,,903d185fccf839df
1491901477504,-30.100000381469727,-17.600000381469727,5.5,35.299008761312976,,903d185fccf839df
1491901477594,-29.80000114440918,-18.399999618530273,5.599999904632568,35.467732311554634,,903d185fccf839df
1491901477708,-29.80000114440918,-18.80000114440918,6.099999904632568,35.75877614105322,,903d185fccf839df
1491901477775,-29.5,-18.5,5.700000286102295,35.28441584720465,,903d185fccf839df
1491901477874,-29,-18.100000381469727,4.400000095367432,34.46694092140311,,903d185fccf839df
1491901477985,-28.5,-17.5,3.299999952316284,33.60639819126186,,903d185fccf839df
1491901478044,-28.30000114440918,-17.5,3.299999952316284,33.43695672565376,,903d185fccf839df
1491901478105,-28.200000762939453,-17.30000114440918,3.4000000953674316,33.25793274922012,,903d185fccf839df
1491901478185,-28.30000114440918,-16.5,4.099999904632568,33.01439193972132,,903d185fccf839df
1491901478285,-29,-15.699999809265137,5,33.354010107247596,,903d185fccf839df
1491901478364,-29.30000114440918,-14.600000381469727,5.300000190734863,33.16232888371348,,903d185fccf839df
1491901478467,-29.30000114440918,-13.300000190734863,4.599999904632568,32.50446200918563,,903d185fccf839df
1491901478616,-27.600000381469727,-10.800000190734863,2.4000000953674316,29.734828350161195,,903d185fccf839df
1491901478706,-26.700000762939453,-9.5,1.7000000476837158,28.390667740533008,,903d185fccf839df
1491901478775,-26.399999618530273,-9.40000057220459,1.8000000715255737,28.081309966331723,,903d185fccf839df
1491901478865,-26.100000381469727,-9.90000057220459,1.899999976158142,27.979099907491253,,903d185fccf839df
1491901478894,-26.100000381469727,-10.300000190734863,1.7000000476837158,28.11031885348947,,903d185fccf839df
1491901478966,-25.899999618530273,-11.300000190734863,1.100000023841858,28.279144259297293,,903d185fccf839df
1491901479056,-25,-11.699999809265137,-0.30000001192092896,27.603985208538724,,903d185fccf839df
1491901479125,-24.100000381469727,-11.5,-2,26.777975979498407,,903d185fccf839df
1491901479184,-23.399999618530273,-10.800000190734863,-3.200000047683716,25.969982774396083,,903d185fccf839df
1491901479266,-22.80000114440918,-9.5,-4.900000095367432,25.181342837194972,,903d185fccf839df
1491901479285,-22.899999618530273,-9.199999809265137,-5.300000190734863,25.241631773602045,,903d185fccf839df
1491901479356,-23.399999618530273,-8.699999809265137,-6.700000286102295,25.848404120466533,,903d185fccf839df
1491901479464,-25,-8,-8.800000190734863,27.68465283223552,,903d185fccf839df
1491901479536,-26,-7.599999904632568,-10.100000381469727,28.909687097704087,,903d185fccf839df
1491901479619,-26.399999618530273,-7.300000190734863,-11.699999809265137,29.784894850287383,,903d185fccf839df
1491901479696,-26.899999618530273,-6.300000190734863,-13.100000381469727,30.576298069944787,,903d185fccf839df
1491901479785,-27.399999618530273,-4.099999904632568,-17.30000114440918,32.662822708071495,,903d185fccf839df
1491901479844,-26.899999618530273,-1.3000000715255737,-20.899999618530273,34.089734277148395,,903d185fccf839df
