UUID, meanHeading, class, timestamp 
903d185fccf839df,142.27144337171606,undefined,1493663061180
903d185fccf839df,144.1493526575345,undefined,1493663061746
903d185fccf839df,145.47821776568736,undefined,1493663062198
903d185fccf839df,146.43128846017458,undefined,1493663062766
903d185fccf839df,147.33164261151688,undefined,1493663063212
903d185fccf839df,149.79814402863286,undefined,1493663063778
903d185fccf839df,151.00062508432197,undefined,1493663064201
903d185fccf839df,152.45593073779932,undefined,1493663064772
903d185fccf839df,152.9794577856477,undefined,1493663066107
903d185fccf839df,152.9794577856477,undefined,1493663066123
903d185fccf839df,152.94122572063776,undefined,1493663066209
903d185fccf839df,152.56150103984797,undefined,1493663066779
903d185fccf839df,151.28597028203168,undefined,1493663067183
903d185fccf839df,151.29279856852042,undefined,1493663067755
903d185fccf839df,148.45664380718824,undefined,1493663068194
903d185fccf839df,142.5389254678723,undefined,1493663068776
903d185fccf839df,140.55749409392203,undefined,1493663069208
903d185fccf839df,136.4920925219399,undefined,1493663069778
903d185fccf839df,133.49788747157405,undefined,1493663070255
903d185fccf839df,130.62316681560435,undefined,1493663070763
903d185fccf839df,125.58971861749508,undefined,1493663071207
903d185fccf839df,120.33674132733088,undefined,1493663071800
903d185fccf839df,116.04046577077204,undefined,1493663072190
903d185fccf839df,110.2267476867478,undefined,1493663072800
903d185fccf839df,105.20874520450123,undefined,1493663073191
903d185fccf839df,102.15115522888672,undefined,1493663073767
903d185fccf839df,95.89689843467087,undefined,1493663074238
903d185fccf839df,98.53461284408318,undefined,1493663074781
903d185fccf839df,101.10767812687367,undefined,1493663075191
903d185fccf839df,101.80642081413875,undefined,1493663075777
903d185fccf839df,103.34897100295538,undefined,1493663076218
903d185fccf839df,103.49223146305377,undefined,1493663076745
903d185fccf839df,103.72334340204499,undefined,1493663077220
903d185fccf839df,104.46635178082215,undefined,1493663077791
903d185fccf839df,105.28514694137317,undefined,1493663078195
903d185fccf839df,108.11673827069067,undefined,1493663078787
