timestamp, accelerationX, accelerationY, accelerationZ, UUID 
1495451692333,-1.0127472877502441,3.3004069328308105,8.991424560546875,,903d185fccf839df
1495451692561,-0.1604115068912506,3.0382418632507324,10.017339706420898,,903d185fccf839df
1495451692631,1.88782799243927,2.559401512145996,8.177395820617676,,903d185fccf839df
1495451692671,1.4724340438842773,2.807201385498047,9.026140213012695,,903d185fccf839df
1495451692764,1.5514427423477173,3.1052796840667725,8.7268648147583,,903d185fccf839df
1495451692778,1.5275006294250488,3.0573954582214355,9.081207275390625,,903d185fccf839df
1495451692824,1.7082629203796387,2.4205379486083984,9.615114212036133,,903d185fccf839df
1495451692856,1.5155296325683594,1.9560627937316895,10.453084945678711,,903d185fccf839df
1495451692936,2.160767078399658,1.7896658182144165,8.571242332458496,,903d185fccf839df
1495451692952,1.5394717454910278,2.494758129119873,7.999027729034424,,903d185fccf839df
1495451692985,1.8483237028121948,1.8363527059555054,10.032901763916016,,903d185fccf839df
1495451693034,1.9129672050476074,1.2246341705322266,11.18092155456543,,903d185fccf839df
1495451693066,2.079364061355591,1.6867151260375977,8.811859130859375,,903d185fccf839df
1495451693091,1.6855180263519287,2.0853497982025146,8.426392555236816,,903d185fccf839df
1495451693135,0.5973533391952515,2.7964274883270264,10.192116737365723,,903d185fccf839df
1495451693177,2.942473888397217,0.7134721279144287,7.614758491516113,,903d185fccf839df
1495451693238,1.523909330368042,1.0857704877853394,9.32541561126709,,903d185fccf839df
1495451693276,1.7968484163284302,1.013944387435913,9.770736694335938,,903d185fccf839df
1495451693302,1.577778935432434,1.2401964664459229,9.50857162475586,,903d185fccf839df
1495451693345,2.38462495803833,0.7541735172271729,9.731232643127441,,903d185fccf839df
1495451693376,1.5430630445480347,1.049857497215271,10.38604736328125,,903d185fccf839df
1495451693433,2.254140853881836,0.9062053561210632,11.611878395080566,,903d185fccf839df
1495451693456,1.6747441291809082,1.0833762884140015,10.978611946105957,,903d185fccf839df
1495451693517,2.3942017555236816,1.2844891548156738,9.305065155029297,,903d185fccf839df
1495451693551,3.1531636714935303,0.8068459630012512,8.583212852478027,,903d185fccf839df
1495451693576,2.3283610343933105,1.7154455184936523,8.1139497756958,,903d185fccf839df
1495451693581,2.3475148677825928,1.7489643096923828,8.44554615020752,,903d185fccf839df
1495451693630,2.5486276149749756,1.702277421951294,7.7631988525390625,,903d185fccf839df
