prediction, timestamp 
sitting,1495451693851
sitting,1495451695352
walking downstairs,1495451696872
walking downstairs,1495451698392
walking downstairs,1495451699902
walking downstairs,1495451701369
walking downstairs,1495451702922
walking downstairs,1495451704355
sitting,1495451705852
sitting,1495451707348
sitting,1495451708863
walking,1495451710358
sitting,1495451711918
sitting,1495451713352
sitting,1495451714859
sitting,1495451716370
sitting,1495451717840
sitting,1495451719359
sitting,1495451720846
sitting,1495451722400
sitting,1495451723849
sitting,1495451725384
sitting,1495451726864
sitting,1495451728345
sitting,1495451729847
sitting,1495451731351
sitting,1495451732848
sitting,1495451734390
sitting,1495451735842
sitting,1495451737356
sitting,1495451738859
sitting,1495451740340
sitting,1495451741833
sitting,1495451743345
sitting,1495451744882
sitting,1495451746365
sitting,1495451747840
sitting,1495451749346
sitting,1495451750844
sitting,1495451752340
sitting,1495451753827
sitting,1495451755344
sitting,1495451756851
sitting,1495451758394
sitting,1495451759839
sitting,1495451761344
sitting,1495451762844
sitting,1495451764336
sitting,1495451765844
sitting,1495451767410
sitting,1495451768837
sitting,1495451770410
sitting,1495451771860
sitting,1495451773349
sitting,1495451774854
sitting,1495451776351
sitting,1495451777866
sitting,1495451779347
sitting,1495451780838
sitting,1495451782401
sitting,1495451783866
sitting,1495451785348
sitting,1495451786843
sitting,1495451788349
sitting,1495451789837
sitting,1495451791350
sitting,1495451792839
sitting,1495451794349
sitting,1495451795878
sitting,1495451797372
sitting,1495451798847
sitting,1495451800339
sitting,1495451801844
sitting,1495451803354
sitting,1495451804847
sitting,1495451806350
sitting,1495451807891
sitting,1495451809356
sitting,1495451810847
sitting,1495451812350
sitting,1495451813843
sitting,1495451815348
sitting,1495451816852
sitting,1495451818357
sitting,1495451819893
sitting,1495451821363
sitting,1495451822852
sitting,1495451824367
sitting,1495451825842
sitting,1495451827348
sitting,1495451828866
sitting,1495451830378
sitting,1495451831852
sitting,1495451833344
sitting,1495451834836
sitting,1495451836354
sitting,1495451837851
sitting,1495451839357
sitting,1495451840843
sitting,1495451842393
sitting,1495451843865
sitting,1495451845352
sitting,1495451846842
sitting,1495451848345
sitting,1495451849849
sitting,1495451851351
sitting,1495451852843
sitting,1495451854387
sitting,1495451855840
sitting,1495451857341
sitting,1495451858859
walking downstairs,1495451860357
walking downstairs,1495451861840
walking downstairs,1495451863347
walking upstairs,1495451864914
walking upstairs,1495451866452
walking upstairs,1495451867839
walking upstairs,1495451869401
walking upstairs,1495451870892
walking upstairs,1495451872360
walking downstairs,1495451873879
walking downstairs,1495451875377
walking downstairs,1495451876886
walking downstairs,1495451878392
walking downstairs,1495451879859
sitting,1495451881397
sitting,1495451883059
sitting,1495451884344
sitting,1495451885833
sitting,1495451887415
sitting,1495451889788
sitting,1495451890338
sitting,1495451891864
sitting,1495451893391
sitting,1495451894839
sitting,1495451896390
sitting,1495451897860
sitting,1495451899337
sitting,1495451900849
sitting,1495451902337
sitting,1495451903840
sitting,1495451905337
sitting,1495451906910
sitting,1495451908341
sitting,1495451909837
sitting,1495451911356
sitting,1495451912838
sitting,1495451914338
sitting,1495451915840
sitting,1495451919015
sitting,1495451920348
sitting,1495451921842
sitting,1495451923354
sitting,1495451924847
sitting,1495451926351
sitting,1495451927859
sitting,1495451929348
sitting,1495451930876
