UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-1.221853203749759,-1.0638554249025867,-0.6789305321552577,-0.7231894298753715,-1.6110704914167504,-1.8027157657281379,1.8982616128782297,-1.0943226751420443,-0.26502601182859903,-0.738026051612786,0.0692331201503639,-1.4612626964602444,1.8285288547237077,-0.933579387352733,-1.1486537595570323,-1.0475318139710088,-1.1236960018166213,-0.9653393555839835,-1.1439736934013556,-1.0914414434565323,-1.122299106771837,-0.4571833180818651,-0.6647646036886556,-0.5125414331728115,undefined,1491592569517
903d185fccf839df,-0.697939711201173,-0.9426367108785509,-0.3458883802640325,-0.36900563541012504,-1.0572165651048855,-1.8037837213928494,1.898828334739004,-0.9661699493482696,-0.30224131735512827,-0.6841960927080737,0.09078987068063042,-0.5253529867497643,0.3488887032085562,-0.7734101003571093,-1.1507590381642103,-0.8333473788498024,-1.04234698950185,-0.8559697912832129,-1.0716135005750491,-0.8620109485228445,-1.0081703464814056,-0.39403994014170696,-0.6069584308925677,-0.4076257801272625,undefined,1491592570922
903d185fccf839df,-0.138682689768332,-0.781794455253329,0.24586721923580904,0.22383450625033158,-0.8089741495096877,-1.8313428112460965,1.90687300205519,-0.8486836783961421,-0.3118638996587001,-0.43170615683221075,0.05663163702500039,-0.43499801802600946,-0.4322742591354724,-0.7548934390560225,-0.9833904214468397,-0.7222139208672261,-1.0306491778996116,-0.767179100273405,-1.0387019373567432,-0.7812129364204624,-0.9330968634206781,-0.4141982231676737,-0.6367502584399809,-0.44819377235462987,undefined,1491592572455
903d185fccf839df,-0.14838492087748123,-0.6796537286682383,0.30392633015328124,0.2471478962268276,-0.8294398021174598,-1.87241591914647,1.9510575765449953,-0.5897585996513409,-0.29594353359579567,-0.6561557540255537,0.042063530687020116,-0.07112178304130577,-0.691211285650624,-0.7391542591427837,-0.9244429922386591,-0.6333072180767885,-0.9497546090629365,-0.755657403482723,-1.0072720054930822,-0.7470090146062396,-0.9032262346463527,-0.4275707886262969,-0.6475816462557111,-0.4603848897124291,undefined,1491592573974
903d185fccf839df,-0.10680434940395997,-0.6438457991688374,0.4589625761490263,0.4978219329149112,-0.6655783659404879,-1.942945282951343,1.9413798819909078,-0.6773935697961763,-0.25090772544501494,-0.6744107233154227,0.05404000463952796,-0.06195818698557198,-0.9044535427807487,-0.7400801100151531,-0.9412850922569926,-0.5585446977741984,-0.9583569590116577,-0.7511338731356505,-1.0122750578676345,-0.68943936021569,-0.8955716134654832,-0.4364051784563016,-0.6145925160176641,-0.4674588274473833,undefined,1491592575468
903d185fccf839df,-0.2758982133241499,-0.8134932797658802,0.13421469187613258,0.1422486418110378,-0.732353113522853,-2.0183893409142444,1.988666424685445,-0.46288795780599995,-0.2969262548235337,-0.7442067891442082,0.12683353171284362,-0.10712655212891632,-0.7738970588235294,-0.7456351116431728,-0.9749693364670625,-0.47165856926457483,-0.988096794247096,-0.7428374293466075,-1.0176122462135773,-0.5960398567561911,-0.8765462609125483,-0.42903360757636677,-0.6120337222412127,-0.4683812040609641,undefined,1491592576938
903d185fccf839df,-0.37984924519574104,-0.7542047503416238,-0.048894029826820035,-0.05035401843357053,-0.8155026934631566,-1.9733628186733883,1.979427924593896,-0.5181418779428377,-0.25959335704733927,-0.8138652085023201,0.1446026113091712,-0.1813859060592256,-0.06454016265597147,-0.7743359706556405,-0.9697061822819615,-0.48984404163765805,-1.0106677013488246,-0.7547499838425613,-0.9941299941927831,-0.5889593718821697,-0.8691748503659886,-0.4428719450484223,-0.6339424357144665,-0.49015914242351083,undefined,1491592578451
903d185fccf839df,-0.3881653249850356,-0.6074508692853114,0.19099803530749934,0.13589614519423576,-0.8165929739843579,-1.9549222325942566,1.900570558321353,-1.0110573566681995,-0.2890236795413567,-0.729652784526143,0.1527569392984938,-0.12134917489122247,-0.1124108734402852,-0.7363767583287738,-0.9728640836277026,-0.5039883159858505,-1.0086795281537857,-0.753179414391918,-0.9939340833108413,-0.5289362306171077,-0.8568653153313106,-0.4498337781921315,-0.6436039121729782,-0.5137301156636839,undefined,1491592579959
903d185fccf839df,-0.1594729927577975,-0.5757519717027796,0.32880837059742746,0.2582512454271759,-0.6104470313186883,-1.9200232421537173,1.912888572410376,-0.8248021827869588,-0.23059569088000986,-0.727813298554998,0.13245241184254553,-0.12616347972311967,-0.45620961452762926,-0.7086017372379008,-0.980232505376631,-0.48782341082740094,-0.9438474163641254,-0.7349722005332096,-0.9846003371792768,-0.4989400597897163,-0.8391440654366901,-0.4554289704529702,-0.6306800164665881,-0.5077506456396191,undefined,1491592581437
903d185fccf839df,-0.16778907254709202,-0.5775130751531283,0.8832406552941002,0.8202826504880887,-0.6225327237484745,-1.9254014554529357,1.8701752637004883,-1.121710314023929,-0.2300127294319389,-0.6398151284141824,0.1581278034002476,-0.03821305616635131,-0.7347301136363636,-0.7345250824855842,-1.0023377963912345,-0.5666271644857839,-0.9921974015821855,-0.750031940376581,-1.0041424296397488,-0.5256255662462364,-0.8608293311789939,-0.4536793666183117,-0.6504653703541408,-0.5099884016602867,undefined,1491592582938
