UUID, meanHeading, class, timestamp 
903d185fccf839df,18.725714080038223,undefined,1491593580139
903d185fccf839df,21.40029553261404,undefined,1491593581069
903d185fccf839df,24.758899409663663,undefined,1491593582056
903d185fccf839df,25.001757098234055,undefined,1491593583051
903d185fccf839df,25.809651524280145,undefined,1491593584049
903d185fccf839df,25.08953446212028,undefined,1491593585050
903d185fccf839df,23.464282863402072,undefined,1491593586057
903d185fccf839df,21.64667826454036,undefined,1491593587062
903d185fccf839df,20.172427116173704,undefined,1491593588048
903d185fccf839df,20.298726594216003,undefined,1491593589062
903d185fccf839df,21.309713082977222,undefined,1491593590051
903d185fccf839df,21.870716126383684,undefined,1491593591050
903d185fccf839df,22.3221703754563,undefined,1491593592048
903d185fccf839df,21.58588757319659,undefined,1491593593044
903d185fccf839df,21.708119239228004,undefined,1491593594069
903d185fccf839df,22.434888910280254,undefined,1491593595057
903d185fccf839df,21.97983793454519,undefined,1491593596050
903d185fccf839df,22.33810929912278,undefined,1491593597064
903d185fccf839df,22.31146701824963,undefined,1491593598044
903d185fccf839df,26.322477371988978,undefined,1491593599049
903d185fccf839df,31.546905088148264,undefined,1491593600056
903d185fccf839df,36.639112384704745,undefined,1491593601064
903d185fccf839df,39.62735431642966,undefined,1491593602061
903d185fccf839df,37.33563282231325,undefined,1491593603049
903d185fccf839df,37.07458896694477,undefined,1491593604049
903d185fccf839df,39.93517224144824,undefined,1491593605053
903d185fccf839df,43.05047776700627,undefined,1491593606049
903d185fccf839df,44.81925208204404,undefined,1491593607049
903d185fccf839df,42.52503039312825,undefined,1491593608048
903d185fccf839df,53.86018811924143,undefined,1491593609067
903d185fccf839df,82.40108920399105,undefined,1491593610037
903d185fccf839df,111.70907636646643,undefined,1491593611052
903d185fccf839df,123.8789418243779,undefined,1491593612187
903d185fccf839df,127.20264111313216,undefined,1491593613046
903d185fccf839df,129.95977263154558,undefined,1491593614027
903d185fccf839df,126.93862743730152,undefined,1491593615025
903d185fccf839df,126.00816670915746,undefined,1491593616029
903d185fccf839df,125.81826873554813,undefined,1491593617054
903d185fccf839df,124.90581942046106,undefined,1491593618043
903d185fccf839df,124.33766429413399,undefined,1491593619047
903d185fccf839df,126.18066157515075,undefined,1491593620045
903d185fccf839df,129.7302350491441,undefined,1491593621059
903d185fccf839df,131.1105608200175,undefined,1491593622045
903d185fccf839df,130.79793895217577,undefined,1491593623033
903d185fccf839df,131.00838355609852,undefined,1491593624053
903d185fccf839df,130.19958710716992,undefined,1491593625043
903d185fccf839df,128.81986270500457,undefined,1491593626050
903d185fccf839df,127.63935990351384,undefined,1491593627045
903d185fccf839df,126.7835173277647,undefined,1491593628040
903d185fccf839df,126.524526277524,undefined,1491593629173
903d185fccf839df,127.24785180269237,undefined,1491593630047
903d185fccf839df,128.50413769676263,undefined,1491593631058
903d185fccf839df,130.47307905855826,undefined,1491593632043
903d185fccf839df,131.84926375718806,undefined,1491593633048
903d185fccf839df,130.78154006279712,undefined,1491593634040
903d185fccf839df,129.38610859338695,undefined,1491593635042
903d185fccf839df,131.3641776413721,undefined,1491593636049
903d185fccf839df,135.0879145298116,undefined,1491593637040
903d185fccf839df,136.59066955157772,undefined,1491593638037
903d185fccf839df,136.3922529556471,undefined,1491593639043
903d185fccf839df,137.60861589408518,undefined,1491593640045
903d185fccf839df,137.40810032690158,undefined,1491593641051
903d185fccf839df,135.6978919351842,undefined,1491593642043
903d185fccf839df,132.53096718986103,undefined,1491593643146
903d185fccf839df,129.18408679332484,undefined,1491593644036
903d185fccf839df,129.01706312835051,undefined,1491593645043
903d185fccf839df,132.48018437200318,undefined,1491593646041
903d185fccf839df,136.9141929451176,undefined,1491593647050
903d185fccf839df,142.69505177862533,undefined,1491593648047
903d185fccf839df,145.74534159520942,undefined,1491593649044
903d185fccf839df,151.58415537566154,undefined,1491593650056
903d185fccf839df,170.58802948273848,undefined,1491593651041
903d185fccf839df,207.53019278344482,undefined,1491593652043
903d185fccf839df,232.64604661078545,undefined,1491593653425
903d185fccf839df,240.43222220184373,undefined,1491593654038
903d185fccf839df,240.674500455286,undefined,1491593655052
903d185fccf839df,238.6337471833092,undefined,1491593656050
903d185fccf839df,240.61726251274803,undefined,1491593657050
903d185fccf839df,244.68855228241821,undefined,1491593658046
903d185fccf839df,242.54738696841883,undefined,1491593659051
903d185fccf839df,238.62624712858732,undefined,1491593660037
903d185fccf839df,254.3327563152999,undefined,1491593661059
903d185fccf839df,288.62201863044663,undefined,1491593662059
903d185fccf839df,322.1762336206079,undefined,1491593663043
903d185fccf839df,333.23867219013584,undefined,1491593664044
903d185fccf839df,333.6915950406171,undefined,1491593665076
903d185fccf839df,331.6530370803125,undefined,1491593666050
903d185fccf839df,335.3253107473113,undefined,1491593667044
903d185fccf839df,340.26210114021814,undefined,1491593668047
903d185fccf839df,341.8169733848027,undefined,1491593669048
