timestamp, signal strength, UUID 
,,,903d185fccf839df
1488206071542,-83,,903d185fccf839df
1488206071716,-83,,903d185fccf839df
1488206071936,-83,,903d185fccf839df
1488206072046,-83,,903d185fccf839df
1488206072153,-83,,903d185fccf839df
1488206072239,-83,,903d185fccf839df
1488206072344,-83,,903d185fccf839df
1488206072455,-83,,903d185fccf839df
1488206072557,-83,,903d185fccf839df
1488206072656,-83,,903d185fccf839df
1488206072761,-83,,903d185fccf839df
1488206072854,-83,,903d185fccf839df
1488206072951,-83,,903d185fccf839df
1488206073048,-83,,903d185fccf839df
1488206073258,-83,,903d185fccf839df
1488206073369,-83,,903d185fccf839df
1488206073455,-83,,903d185fccf839df
1488206073551,-83,,903d185fccf839df
1488206073651,-83,,903d185fccf839df
1488206073758,-83,,903d185fccf839df
1488206073858,-83,,903d185fccf839df
1488206073954,-83,,903d185fccf839df
1488206074051,-83,,903d185fccf839df
1488206074141,-83,,903d185fccf839df
1488206074259,-83,,903d185fccf839df
1488206074366,-83,,903d185fccf839df
1488206074444,-83,,903d185fccf839df
1488206074546,-83,,903d185fccf839df
1488206074646,-83,,903d185fccf839df
1488206074744,-83,,903d185fccf839df
1488206074841,-83,,903d185fccf839df
1488206074946,-83,,903d185fccf839df
1488206075052,-83,,903d185fccf839df
1488206075162,-83,,903d185fccf839df
1488206075257,-83,,903d185fccf839df
1488206075354,-83,,903d185fccf839df
1488206075458,-83,,903d185fccf839df
1488206075554,-83,,903d185fccf839df
1488206075646,-83,,903d185fccf839df
1488206075751,-83,,903d185fccf839df
1488206075866,-83,,903d185fccf839df
1488206075959,-83,,903d185fccf839df
1488206076045,-83,,903d185fccf839df
1488206076146,-83,,903d185fccf839df
1488206076249,-83,,903d185fccf839df
1488206076348,-83,,903d185fccf839df
1488206076457,-83,,903d185fccf839df
1488206076552,-83,,903d185fccf839df
1488206076650,-83,,903d185fccf839df
1488206076742,-83,,903d185fccf839df
1488206076845,-83,,903d185fccf839df
1488206076947,-83,,903d185fccf839df
1488206077057,-83,,903d185fccf839df
1488206077144,-83,,903d185fccf839df
1488206077248,-83,,903d185fccf839df
1488206077349,-83,,903d185fccf839df
1488206077452,-83,,903d185fccf839df
1488206077550,-83,,903d185fccf839df
1488206077646,-83,,903d185fccf839df
1488206077754,-83,,903d185fccf839df
1488206077857,-83,,903d185fccf839df
1488206077958,-83,,903d185fccf839df
1488206078049,-83,,903d185fccf839df
1488206078145,-83,,903d185fccf839df
1488206078247,-83,,903d185fccf839df
1488206078355,-83,,903d185fccf839df
1488206078453,-83,,903d185fccf839df
1488206078549,-83,,903d185fccf839df
1488206078657,-83,,903d185fccf839df
1488206078751,-83,,903d185fccf839df
1488206078848,-83,,903d185fccf839df
1488206078957,-83,,903d185fccf839df
1488206079053,-83,,903d185fccf839df
1488206079147,-83,,903d185fccf839df
1488206079260,-83,,903d185fccf839df
1488206079362,-83,,903d185fccf839df
1488206079447,-83,,903d185fccf839df
1488206079549,-83,,903d185fccf839df
1488206079658,-83,,903d185fccf839df
1488206079756,-83,,903d185fccf839df
1488206079851,-83,,903d185fccf839df
1488206079955,-83,,903d185fccf839df
1488206080060,-83,,903d185fccf839df
1488206080150,-83,,903d185fccf839df
