timestamp, latitude, longitude, accuracy, UUID 
1491901472999,48.1489279,11.567694,12,,903d185fccf839df
1491901473999,48.1489458,11.567647,12,,903d185fccf839df
1491901475000,48.1489432,11.5676821,12,,903d185fccf839df
1491901476000,48.1489207,11.5676834,16,,903d185fccf839df
1491901477000,48.1489196,11.5676888,16,,903d185fccf839df
1491901478000,48.1489193,11.5676888,8,,903d185fccf839df
1491901479000,48.1489193,11.5676888,8,,903d185fccf839df
1491901480000,48.1489252,11.5676886,8,,903d185fccf839df
1491901481000,48.148932,11.5676884,8,,903d185fccf839df
1491901482000,48.1489368,11.5676881,8,,903d185fccf839df
1491901483000,48.1489368,11.5676881,8,,903d185fccf839df
1491901484000,48.1489368,11.5676881,8,,903d185fccf839df
1491901484502,48.1489421,11.5676868,16.257999420166016,,903d185fccf839df
1491901485000,48.1489421,11.5676868,16,,903d185fccf839df
1491901486000,48.1489324,11.5676728,16,,903d185fccf839df
1491901487000,48.1489232,11.567668,32,,903d185fccf839df
1491901488000,48.148915,11.5676641,32,,903d185fccf839df
1491901502662,48.1488612,11.5679609,20.24799919128418,,903d185fccf839df
1491901507671,48.1488511,11.5680598,20.381999969482422,,903d185fccf839df
1491901512764,48.148841,11.5681586,19.55900001525879,,903d185fccf839df
1491901517847,48.1488511,11.5680598,20.45199966430664,,903d185fccf839df
1491901522831,48.1486901,11.5680965,20.823999404907227,,903d185fccf839df
1491901527916,48.1486247,11.5679665,20.05500030517578,,903d185fccf839df
1491901532911,48.1485492,11.5679354,19.6200008392334,,903d185fccf839df
1491901537873,48.1485492,11.5679354,19.621000289916992,,903d185fccf839df
1491901542904,48.1485618,11.5681981,25.10700035095215,,903d185fccf839df
1491901547898,48.1486448,11.5677688,24.531999588012695,,903d185fccf839df
1491901552925,48.1486347,11.5678677,23.840999603271484,,903d185fccf839df
1491901557985,48.1483982,11.5678733,22.29199981689453,,903d185fccf839df
1491901563045,48.1483982,11.5678733,22.222000122070312,,903d185fccf839df
1491901568045,48.1482146,11.5677461,20.141000747680664,,903d185fccf839df
1491901573082,48.1484083,11.5677744,23.101999282836914,,903d185fccf839df
1491901578132,48.1482146,11.5677461,22.2450008392334,,903d185fccf839df
1491901583191,48.1481818,11.5676812,23.833999633789062,,903d185fccf839df
1491901588256,48.1483982,11.5678733,22.99799919128418,,903d185fccf839df
1491901593340,48.1484083,11.5677744,21.645999908447266,,903d185fccf839df
1491901598365,48.1483982,11.5678733,26.090999603271484,,903d185fccf839df
1491901608354,48.1481247,11.5675759,104.0999984741211,,903d185fccf839df
1491901613550,48.1481247,11.5675759,104.0999984741211,,903d185fccf839df
1491901618641,48.1481247,11.5675759,104.0999984741211,,903d185fccf839df
1491901629672,48.148753,11.5678649,23.725000381469727,,903d185fccf839df
1491901634644,48.1487102,11.5678988,22.042999267578125,,903d185fccf839df
1491901639680,48.1487102,11.5678988,22.042999267578125,,903d185fccf839df
1491901644705,48.1487102,11.5678988,22.257999420166016,,903d185fccf839df
1491901649677,48.1487756,11.5680287,21.655000686645508,,903d185fccf839df
1491901654754,48.1488838,11.5681248,19.986000061035156,,903d185fccf839df
1491901659772,48.148992,11.5682208,21.229999542236328,,903d185fccf839df
1491901664808,48.1489266,11.5680909,20.459999084472656,,903d185fccf839df
1491901669892,48.1490775,11.568153,22.308000564575195,,903d185fccf839df
1491901674929,48.1490775,11.568153,21.44300079345703,,903d185fccf839df
1491901679894,48.1490775,11.568153,21.099000930786133,,903d185fccf839df
1491901684980,48.1492839,11.568444,21.429000854492188,,903d185fccf839df
1491901690049,48.1492839,11.568444,20.7189998626709,,903d185fccf839df
1491901695015,48.1492084,11.5684129,20.15999984741211,,903d185fccf839df
1491901700038,48.1492084,11.5684129,19.60300064086914,,903d185fccf839df
1491901705090,48.1492184,11.5683141,19.643999099731445,,903d185fccf839df
1491901710230,48.1492184,11.5683141,21.54199981689453,,903d185fccf839df
1491901715088,48.1493694,11.5683762,20.336999893188477,,903d185fccf839df
1491901720117,48.1494675,11.5685712,20.336000442504883,,903d185fccf839df
1491901725150,48.1492184,11.5683141,22.229999542236328,,903d185fccf839df
1491901730138,48.1493593,11.5684751,20.882999420166016,,903d185fccf839df
1491901735203,48.1493895,11.5681785,20.469999313354492,,903d185fccf839df
1491901740227,48.1492184,11.5683141,21.43600082397461,,903d185fccf839df
1491901745552,48.1493795,11.5682774,20.132999420166016,,903d185fccf839df
1491901749153,48.1493795,11.5682774,20.16900062561035,,903d185fccf839df
1491901755171,48.1492939,11.5683452,19.69700050354004,,903d185fccf839df
1491901760801,48.1489165,11.5681897,19.649999618530273,,903d185fccf839df
1491901765871,48.1489165,11.5681897,19.64900016784668,,903d185fccf839df
1491901770930,48.1489065,11.5682886,19.656999588012695,,903d185fccf839df
1491901775982,48.1489065,11.5682886,19.66699981689453,,903d185fccf839df
1491901781042,48.1488964,11.5683874,21.427000045776367,,903d185fccf839df
1491901786125,48.1489165,11.5681897,21.44700050354004,,903d185fccf839df
1491901791134,48.1490675,11.5682519,21.86199951171875,,903d185fccf839df
1491901796164,48.1489266,11.5680909,21.483999252319336,,903d185fccf839df
1491901801206,48.149143,11.568283,22.277999877929688,,903d185fccf839df
1491901806199,48.148841,11.5681586,21.03499984741211,,903d185fccf839df
1491901811249,48.1489266,11.5680909,26.47599983215332,,903d185fccf839df
1491901816283,48.1485391,11.5680343,20.80900001525879,,903d185fccf839df
1491901821354,48.1486901,11.5680965,20.466999053955078,,903d185fccf839df
1491901826496,48.1486901,11.5680965,20.684999465942383,,903d185fccf839df
1491901831557,48.1485291,11.5681331,19.65399932861328,,903d185fccf839df
1491901836559,48.1482573,11.5677122,19.70199966430664,,903d185fccf839df
1491901841605,48.1483429,11.5676445,20.242000579833984,,903d185fccf839df
1491901846646,48.1483001,11.5676784,19.45800018310547,,903d185fccf839df
1491901851668,48.1482573,11.5677122,19.618000030517578,,903d185fccf839df
1491901856753,48.1483001,11.5676784,19.45400047302246,,903d185fccf839df
1491901861852,48.1483001,11.5676784,19.416000366210938,,903d185fccf839df
1491901866900,48.1483001,11.5676784,19.35700035095215,,903d185fccf839df
1491901871950,48.1483001,11.5676784,19.417999267578125,,903d185fccf839df
1491901877004,48.1482674,11.5676134,19.6299991607666,,903d185fccf839df
1491901882063,48.1484083,11.5677744,20.98200035095215,,903d185fccf839df
1491901887147,48.148451,11.5677405,19.479000091552734,,903d185fccf839df
1491901892189,48.1484938,11.5677066,24.43899917602539,,903d185fccf839df
1491901897222,48.1488838,11.5681248,23.816999435424805,,903d185fccf839df
1491901902008,48.1488511,11.5680598,23.975000381469727,,903d185fccf839df
1491901907289,48.1491329,11.5683818,29.04400062561035,,903d185fccf839df
1491901912333,48.1491329,11.5683818,21.44499969482422,,903d185fccf839df
1491901917394,48.149143,11.568283,21.849000930786133,,903d185fccf839df
1491901922497,48.1490801,11.5685146,22.32699966430664,,903d185fccf839df
1491901927517,48.1490373,11.5685485,21.27899932861328,,903d185fccf839df
1491901932518,48.1490273,11.5686473,20.858999252319336,,903d185fccf839df
1491901937585,48.1489945,11.5685823,21.764999389648438,,903d185fccf839df
1491901942616,48.148992,11.5682208,21.246999740600586,,903d185fccf839df
1491901947665,48.1492486,11.5680175,20.007999420166016,,903d185fccf839df
1491901952715,48.1492587,11.5679187,19.799999237060547,,903d185fccf839df
1491901957773,48.149314,11.5681475,20.461000442504883,,903d185fccf839df
1491901962804,48.1493795,11.5682774,19.562999725341797,,903d185fccf839df
1491901967867,48.1493694,11.5683762,19.63599967956543,,903d185fccf839df
1491901972931,48.1493493,11.568574,21.54400062561035,,903d185fccf839df
1491901977934,48.1493593,11.5684751,19.68600082397461,,903d185fccf839df
1491901983027,48.1493493,11.568574,21.520999908447266,,903d185fccf839df
1491901988141,48.1493593,11.5684751,21.19300079345703,,903d185fccf839df
1491901990000,48.1497913,11.5686108,48,,903d185fccf839df
1491901991000,48.1496382,11.5686921,32,,903d185fccf839df
1491901992000,48.1497772,11.5685976,32,,903d185fccf839df
1491901993000,48.1498658,11.5685882,24,,903d185fccf839df
1491901994000,48.1498567,11.5686026,32,,903d185fccf839df
1491901995000,48.149864,11.5685951,32,,903d185fccf839df
1491901996000,48.1498723,11.5685816,24,,903d185fccf839df
1491901997000,48.1498723,11.5685816,24,,903d185fccf839df
1491901998000,48.1498767,11.5685747,16,,903d185fccf839df
1491901999000,48.1498822,11.568565,48,,903d185fccf839df
1491902004000,48.1499377,11.5684518,32,,903d185fccf839df
1491902007000,48.1499442,11.5684175,24,,903d185fccf839df
1491902008000,48.1499476,11.5684056,24,,903d185fccf839df
1491902016513,48.149304,11.5682463,19.606000900268555,,903d185fccf839df
1491902021721,48.149304,11.5682463,19.60700035095215,,903d185fccf839df
1491902026725,48.149304,11.5682463,19.631999969482422,,903d185fccf839df
1491902031762,48.1492058,11.5680514,21.64299964904785,,903d185fccf839df
1491902036815,48.1490348,11.5681869,20.586999893188477,,903d185fccf839df
1491902041873,48.148992,11.5682208,19.709999084472656,,903d185fccf839df
1491902046948,48.1489945,11.5685823,26.75200080871582,,903d185fccf839df
1491902052000,48.1489945,11.5685823,21.770000457763672,,903d185fccf839df
1491902057026,48.1488612,11.5679609,19.708999633789062,,903d185fccf839df
1491902062094,48.1488184,11.5679948,20.562999725341797,,903d185fccf839df
1491902067121,48.1488612,11.5679609,20.590999603271484,,903d185fccf839df
1491902072183,48.1487756,11.5680287,19.979999542236328,,903d185fccf839df
1491902077223,48.1486247,11.5679665,20.621999740600586,,903d185fccf839df
1491902082125,48.1486247,11.5679665,19.687999725341797,,903d185fccf839df
1491902087335,48.148602,11.5678027,19.475000381469727,,903d185fccf839df
1491902092447,48.148602,11.5678027,20.559999465942383,,903d185fccf839df
1491902097437,48.148602,11.5678027,24.415000915527344,,903d185fccf839df
1491902102442,48.1485693,11.5677377,22.594999313354492,,903d185fccf839df
1491902107132,48.1483328,11.5677433,21.385000228881836,,903d185fccf839df
