UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-0.8857446166256366,-0.6726095486907816,-0.5404823131222768,-0.5507678554430885,-1.02990803481654,-1.8085644856746366,1.929156562824534,-0.7643898209295222,-0.09844941784902074,-0.6812240710273385,0.11680414949160813,-0.10937636551905551,-0.9632039605614974,-1.000239419839744,-1.1876011800389044,-0.815161885278178,-1.1312916024016848,-1.0402051153319412,-1.0792239349159596,-0.8550137062218159,-1.0989080212688187,-0.4728664841945534,-0.6404593238550281,-0.4977488679397397,undefined,1493658833462
903d185fccf839df,-0.9883097042098316,-0.6714355186945389,-0.4929505711977195,-0.47305901375741866,-1.0253599669040512,-1.7922360140701068,1.9377731819734725,-0.6959896753312912,-0.12196541636100955,-0.6790934136898671,0.11693306291793944,-0.14751457599821163,-0.9697317847593583,-1.0817127943183988,-1.1897064549649656,-0.6737193537816655,-1.1416039231855502,-1.0572177046941027,-1.10666562365284,-0.7469876870166008,-1.0890241066214637,-0.46806181542928676,-0.6546405324974631,-0.5212078192404603,undefined,1493658833643
903d185fccf839df,-0.5822073937676993,-0.22002048826332218,-0.7143399415923188,-0.6313522114567605,-0.8125162491840578,-1.6572324628111241,1.888171958867943,-0.7147075322310757,0.0057956521625958345,-0.8341694953316765,-0.002723674929350996,-0.1217176860279785,-0.6868594028520499,-0.9919069173977144,-1.1981275141769248,-0.7707085162175082,-1.1002304393896833,-1.031200937979189,-1.1478770590926266,-0.7740775936613504,-1.1007781505911933,-0.4696375190876403,-0.616910038320052,-0.5112713672383227,undefined,1493658834935
903d185fccf839df,-0.5032046012639917,-0.43075916486882365,-0.6652129820362308,-0.6340189734538357,-0.874439734232732,-1.674266377830109,1.8463045281023382,-1.032580072805699,0.01679110702984924,-0.7178947188803187,0.03241060419258852,-0.07825138418958451,-0.691211285650624,-0.9669094035962384,-1.1897064623271993,-0.6535132576645054,-1.1060769198919362,-1.0072578158184338,-1.1475311849955616,-0.7158288733402413,-1.0814638330924544,-0.470865476567784,-0.6066352821541185,-0.5148500740615427,undefined,1493658835165
903d185fccf839df,-0.40133258933972416,-0.3884940265480991,-0.25433401941255623,-0.3382959257689697,-0.9842849254104759,-1.6743160468377916,1.8206503744956983,-1.2040259677804477,-0.13573124267330297,-0.7847921918813807,0.008299586132107198,-0.017705972840955368,-0.7695451760249554,-0.6974917501703296,-1.1760222268434382,-0.501967734638856,-0.9314813378062028,-0.8490447991566128,-1.1339626222817243,-0.575651912746272,-0.9683873522811998,-0.46557758135610783,-0.5471650917226555,-0.4386657737341169,undefined,1493658836455
903d185fccf839df,-0.36044505902072055,-0.394657713256366,-0.23040855044603967,-0.29599413567952704,-0.9025753995187352,-1.672582532680113,1.827731511678788,-1.1386754553180396,-0.13517877871491246,-0.7675589277062651,0.009316256118736932,-0.017705972840955368,-0.7695451760249554,-0.6780492444722607,-1.1812853920718898,-0.5464210754348042,-0.9649356032684149,-0.8433518514420384,-1.1340558459031889,-0.5863108363321207,-0.9664523753958225,-0.4699295742220229,-0.5563419379543425,-0.4414493821481196,undefined,1493658836639
903d185fccf839df,-0.4117276200655228,-0.394951249983419,-0.11078145975040635,-0.1035433634482917,-0.8187766081900976,-1.6418843769216114,1.8461968090821308,-0.9327909307640608,-0.052134402255582094,-0.6011799659685816,0.08906944910582688,0.03962194073023677,-0.7129706996434938,-0.7095276010610447,-1.0633905115688271,-0.5039883301182112,-0.8499051812490965,-0.8116488538238917,-1.0406310648982526,-0.5233224813176032,-0.9050028754453829,-0.45418302935060245,-0.588599083494252,-0.3690045048021122,undefined,1493658838012
903d185fccf839df,-0.4089555934690913,-0.3958317724806011,-0.10376321375512973,-0.12502036135313038,-0.8178201883636955,-1.6377628314913062,1.854165174199516,-0.8771389452548799,-0.057262505891846484,-0.6062272827426062,0.09422643484958633,0.03063574957370829,-0.6955631684491979,-0.7243409301019141,-1.0612852403238828,-0.5201531646148569,-0.8564156085976382,-0.8162491996113447,-1.044755809524485,-0.5199264301786068,-0.907961031532178,-0.45272644437087745,-0.5910859476278936,-0.37246263823344045,undefined,1493658838139
903d185fccf839df,-0.3223296588143776,-0.3271509007884294,-0.021459691999614606,-0.02442271305310745,-0.866778590734215,-1.7140792835303398,1.8936535285966727,-0.7206314698713545,-0.07542177349013374,-0.6074565637714772,0.06708723188780524,0.024231835012797853,-0.6520443404634582,-0.692862557324662,-1.0549694486757513,-0.5080294504151178,-0.9143493823113168,-0.8033355009897246,-1.0530218489366077,-0.4797268148719507,-0.8983213171631701,-0.45363710674523117,-0.6095601797339107,-0.3896677667470979,undefined,1493658839472
903d185fccf839df,-0.3445058888385345,-0.33037952712008556,-0.0169937433873972,-0.0071365989482915435,-0.8674554154988983,-1.7234152031008105,1.9013629041103963,-0.6820879664936227,-0.08038274978646037,-0.6062364976237589,0.062063633033550274,0.024231835012797853,-0.6520443404634582,-0.6984175783788434,-1.0591799727600553,-0.5060088478695822,-0.9222386335240391,-0.8101790052330025,-1.0541477463016995,-0.4850087237957044,-0.9028237696607158,-0.4537227247495204,-0.6095034305300023,-0.39266388786199785,undefined,1493658839674
