UUID, meanHeading, class, timestamp 
903d185fccf839df,360.1752039768892,undefined,1489864420736
903d185fccf839df,360.2779587777184,undefined,1489864421258
903d185fccf839df,360.310491944082,undefined,1489864421705
903d185fccf839df,360.3829890391189,undefined,1489864422245
903d185fccf839df,360.48167199890815,undefined,1489864422742
903d185fccf839df,360.54093019162747,undefined,1489864423250
903d185fccf839df,360.99626175712115,undefined,1489864423695
903d185fccf839df,361.4490196485159,undefined,1489864424266
903d185fccf839df,362.04724634754325,undefined,1489864424688
903d185fccf839df,362.61972628897627,undefined,1489864425241
903d185fccf839df,362.7665149661238,undefined,1489864425692
903d185fccf839df,362.92515527795393,undefined,1489864426256
903d185fccf839df,363.06717530056864,undefined,1489864426698
903d185fccf839df,363.2026496801326,undefined,1489864427271
903d185fccf839df,363.1685603813534,undefined,1489864427691
903d185fccf839df,363.0433779600467,undefined,1489864428223
903d185fccf839df,362.40939479490083,undefined,1489864428702
903d185fccf839df,361.80274776153215,undefined,1489864429250
903d185fccf839df,361.4572938051272,undefined,1489864429714
903d185fccf839df,361.1883205866203,undefined,1489864430283
903d185fccf839df,361.0686376998631,undefined,1489864430718
903d185fccf839df,360.9927949865634,undefined,1489864431252
903d185fccf839df,361.17989892069573,undefined,1489864431702
903d185fccf839df,361.3832176483277,undefined,1489864432242
903d185fccf839df,360.96701972195734,undefined,1489864432694
903d185fccf839df,360.4480602803324,undefined,1489864433248
903d185fccf839df,359.8852944812583,undefined,1489864433703
903d185fccf839df,359.5533473695365,undefined,1489864434263
903d185fccf839df,359.1637864424126,undefined,1489864434709
903d185fccf839df,359.65111065368575,undefined,1489864435242
903d185fccf839df,360.30330129463215,undefined,1489864435711
903d185fccf839df,360.801294482762,undefined,1489864436284
903d185fccf839df,361.17227064118816,undefined,1489864436713
903d185fccf839df,360.87033475906674,undefined,1489864437251
903d185fccf839df,360.20157363499925,undefined,1489864437706
903d185fccf839df,360.6288228582377,undefined,1489864438258
903d185fccf839df,361.0262011045351,undefined,1489864438726
903d185fccf839df,361.75329881774496,undefined,1489864439333
903d185fccf839df,362.6163882368275,undefined,1489864439707
903d185fccf839df,363.43855198193876,undefined,1489864440256
903d185fccf839df,364.0780717642524,undefined,1489864440715
903d185fccf839df,364.06873166911004,undefined,1489864441249
903d185fccf839df,363.2960548601547,undefined,1489864441715
903d185fccf839df,362.2722103112004,undefined,1489864442265
903d185fccf839df,361.6217593516573,undefined,1489864442699
903d185fccf839df,361.46552959972007,undefined,1489864443246
903d185fccf839df,361.4746174393636,undefined,1489864443722
903d185fccf839df,361.4651461993425,undefined,1489864444251
903d185fccf839df,361.68602333203154,undefined,1489864444725
