UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-1.312637161046415,-1.1386998956190484,-0.9867711934569114,-1.051891154754348,-0.18686425901676978,-1.8232926888355345,1.9005323289182545,-0.871449793423225,-0.28191661913640925,-0.6838745412138191,0.09178828138972922,0.2737969839757304,-0.7608414104278075,-1.1863320245626552,-1.3433908472419256,-1.2637368463381153,-1.3994810412262215,-1.2295224889482208,-1.3252083203753273,-1.3551670646554548,-1.3609475739848171,-0.47669106990928445,-0.6731864953714077,-0.5295676803195654,undefined,1489864421216
903d185fccf839df,-1.312637161046415,-1.1375258656228056,-0.9925131636921838,-1.0633944628591754,-0.17659577990790243,-1.825745077437023,1.8957137326758575,-0.9028110953748065,-0.2827883156123023,-0.6823335312729346,0.09186717709375375,-0.1022391018189534,-0.7086188168449198,-1.1928128624934229,-1.3423382153005703,-1.267778060261912,-1.4041302059106278,-1.2313736571304952,-1.3239396679411186,-1.3575529775572293,-1.3618056553088864,-0.47669306456485794,-0.6734072643219158,-0.529574881047625,undefined,1489864421767
903d185fccf839df,-1.3230322607830332,-1.1363518356265627,-0.9883661569514928,-1.058481002072822,-0.2003291584091724,-1.8229856551640342,1.8983448082018541,-0.8887223719804768,-0.283076587217749,-0.6801573144794155,0.09137358917210593,-0.11228529174733544,-0.22991170900178254,-1.192812860874576,-1.3433908472419256,-1.2677780637950022,-1.4060791936566395,-1.2267072775079633,-1.3214223940695602,-1.3474803108324225,-1.3566583868219173,-0.4765963342717248,-0.6734458870822677,-0.5296574789234318,undefined,1489864422747
903d185fccf839df,-1.3209532408357094,-1.1058270557242507,-1.0052733799227327,-1.068965171439304,-0.1869143380137177,-1.8150647283727845,1.8905885881663869,-0.926896727100204,-0.2822597239334321,-0.6806579976635214,0.09071764337127716,0.02430334430082659,-0.4126907865418895,-1.1909611963633142,-1.3412855815186566,-1.2556544167239767,-1.4055568673183858,-1.2206868144821015,-1.3197790640902098,-1.3207204459581323,-1.3492210270529241,-0.4756977302739987,-0.6708384990957037,-0.5274845239934484,undefined,1489864423254
903d185fccf839df,-1.2918469615731787,-1.0846945157918806,-0.9893227284291224,-1.0582621733392956,-0.22427726320770716,-1.8315372108371897,1.8925755164106588,-0.9386036778043739,-0.27816334419007527,-0.6791174190996941,0.0908345334678776,0.029341689474328525,-0.3996351381461676,-1.1789253535668331,-1.3402329495773013,-1.2354483382722676,-1.38221752376883,-1.2115832080583142,-1.3128915781923225,-1.2452921231319896,-1.3272328069184918,-0.47558131557502215,-0.6678156752602976,-0.5233423467279191,undefined,1489864424254
903d185fccf839df,-1.296005001467826,-1.071193112379104,-0.9918747716752322,-1.0608214749183618,-0.2323167079769363,-1.8393151366555358,1.8941993765817535,-0.9382833465089387,-0.27790528762023753,-0.6789616783485561,0.09081522054971275,-0.025786752416576277,-0.5345435049019608,-1.1798511866318875,-1.3391803157953877,-1.223324684135062,-1.3752943464019858,-1.21404672320384,-1.3136323655698883,-1.2396976752440927,-1.3272322031398285,-0.47574272570644294,-0.6685333415842488,-0.5242040460813299,undefined,1489864424739
903d185fccf839df,-1.250959431254175,-1.0650294548988295,-0.994108127186765,-1.060599917582184,-0.27948173383031977,-1.8421774638167168,1.8970419884295537,-0.9342988575945577,-0.27741163212172265,-0.6793986984381704,0.09034388527620739,-0.02064439662848507,-0.6128773952762924,-1.1779995196923554,-1.3370750500721187,-1.1748301029171406,-1.3668126461820937,-1.2123154546277575,-1.3106832100843404,-1.2207749113619561,-1.3218181760311747,-0.4758184296810943,-0.6692703489148832,-0.5243488519133854,undefined,1489864425699
903d185fccf839df,-1.268284597481872,-1.063561917403526,-1.00463549617968,-1.0650239252808937,-0.2769227975950042,-1.8378564041939167,1.8962106869857072,-0.9347092710506807,-0.2775721556616837,-0.6790965492148632,0.09045443770904933,-0.03179601354739098,-0.7129706996434938,-1.1779995172640851,-1.3370750500721187,-1.1546240209323413,-1.3652471201183305,-1.2130439672215512,-1.3095858329431764,-1.2149015304865098,-1.3204315816839767,-0.47586019033022275,-0.6697928995035259,-0.5238156649737657,undefined,1489864426264
903d185fccf839df,-1.262740544289009,-1.0430163924692775,-1.0103769581410533,-1.0701196844205787,-0.2606129602623214,-1.8294668895837467,1.89377074663638,-0.9374124034877105,-0.27721012419160035,-0.6785814933566712,0.09028782981693352,0.0879056006273558,-0.6346368092691622,-1.178925351138563,-1.3370750500721187,-1.205139218828159,-1.3678866225483919,-1.2139656614450416,-1.3100835834700486,-1.2258513940357687,-1.3227998421998652,-0.4758734314338694,-0.6705048053128422,-0.5245456769415716,undefined,1489864427237
903d185fccf839df,-1.273828650674735,-1.0459514674598844,-1.0071875394257896,-1.0720452904265785,-0.25392480454147665,-1.8234891349667275,1.8915697833450769,-0.9431351326148215,-0.27611261638269186,-0.6793502710132611,0.08985564505298672,0.083629920728637,-0.7260263480392157,-1.1779995172640851,-1.3370750500721187,-1.203118609216443,-1.3666003929745827,-1.2133880968916004,-1.308675514120752,-1.2278442950845379,-1.3221579953051956,-0.4751898245961555,-0.6709852533256175,-0.525088716876486,undefined,1489864427746
903d185fccf839df,-1.2634335509381167,-1.0333306450002746,-1.0075062271603668,-1.0727724645398726,-0.2743513758360385,-1.8079293971634838,1.8885562736222326,-0.94836895118933,-0.2813628675862899,-0.6796802955162515,0.0884094268289215,-0.06477458224452114,-0.7913045900178254,-1.1761478543716701,-1.3360224172104842,-1.205139218828159,-1.3640410438016843,-1.2083941183310165,-1.3075254101623823,-1.2374737964170022,-1.3212764147597016,-0.4741366305570944,-0.6716432711647634,-0.5259454049708313,undefined,1489864428713
903d185fccf839df,-1.2613545309907932,-1.0295150475124857,-1.0059112636657854,-1.0714722849350644,-0.2494190659326147,-1.8009991172821556,1.8851835756367563,-0.9531921310449485,-0.27256873888330313,-0.6828026142256447,0.08626681893745686,-0.09095571485765717,-0.7477857620320856,-1.1779995221206256,-1.3286539908601596,-1.1829125413640045,-1.3552426253135934,-1.2058752256559049,-1.3041329062152087,-1.2272913919961426,-1.316380289210927,-0.47382936162127454,-0.6720375173696117,-0.5255063159095038,undefined,1489864429263
