timestamp, accelerationX, accelerationY, accelerationZ, UUID 
1489864420370,1.623268723487854,-1.4616601467132568,9.481039047241211,,903d185fccf839df
1489864420451,1.4460978507995605,-1.434126853942871,9.640253067016602,,903d185fccf839df
1489864420482,1.4065934419631958,-1.404199242591858,9.725247383117676,,903d185fccf839df
1489864420595,1.6172832250595093,-1.4257471561431885,9.476250648498535,,903d185fccf839df
1489864420703,1.4484920501708984,-1.3718775510787964,9.678560256958008,,903d185fccf839df
1489864420782,1.558625340461731,-1.4676456451416016,9.431957244873047,,903d185fccf839df
1489864420852,1.580173134803772,-1.3754688501358032,9.678560256958008,,903d185fccf839df
1489864420933,1.4879963397979736,-1.3718775510787964,9.604340553283691,,903d185fccf839df
1489864421023,1.499967336654663,-1.3658920526504517,9.543288230895996,,903d185fccf839df
1489864421072,1.5658079385757446,-1.4305355548858643,9.500192642211914,,903d185fccf839df
1489864421159,1.434126853942871,-1.3443442583084106,9.6989107131958,,903d185fccf839df
1489864421233,1.6974890232086182,-1.4544775485992432,9.368511199951172,,903d185fccf839df
1489864421310,1.5095441341400146,-1.3311761617660522,9.667786598205566,,903d185fccf839df
1489864421359,1.4616601467132568,-1.3694833517074585,9.536105155944824,,903d185fccf839df
1489864421422,1.5526398420333862,-1.3850456476211548,9.588777542114258,,903d185fccf839df
1489864421503,1.4401123523712158,-1.403002142906189,9.475052833557129,,903d185fccf839df
1489864421571,1.6711528301239014,-1.2952631711959839,9.610325813293457,,903d185fccf839df
1489864421661,1.5143325328826904,-1.4437036514282227,9.592369079589844,,903d185fccf839df
1489864421719,1.4269442558288574,-1.3970166444778442,9.580398559570312,,903d185fccf839df
1489864421799,1.5514427423477173,-1.5275006294250488,9.434351921081543,,903d185fccf839df
1489864421883,1.4185645580291748,-1.4221558570861816,9.691728591918945,,903d185fccf839df
1489864421958,1.4257471561431885,-1.522712230682373,9.461885452270508,,903d185fccf839df
1489864422010,1.48081374168396,-1.5119383335113525,9.464279174804688,,903d185fccf839df
