timestamp, heading, UUID 
1490687772088,0,,903d185fccf839df
1490687773448,139.45748901367188,,903d185fccf839df
1490687773719,143.65206909179688,,903d185fccf839df
1490687773761,142.56539916992188,,903d185fccf839df
1490687773779,141.88795471191406,,903d185fccf839df
1490687773790,141.5910186767578,,903d185fccf839df
1490687773846,141.18704223632812,,903d185fccf839df
1490687773864,141.53143310546875,,903d185fccf839df
1490687773928,141.30198669433594,,903d185fccf839df
1490687773979,140.93943786621094,,903d185fccf839df
1490687774008,140.91326904296875,,903d185fccf839df
1490687774030,140.76422119140625,,903d185fccf839df
1490687774070,139.74380493164062,,903d185fccf839df
1490687774109,138.14051818847656,,903d185fccf839df
1490687774127,137.9220428466797,,903d185fccf839df
1490687774149,137.4491424560547,,903d185fccf839df
1490687774172,136.94700622558594,,903d185fccf839df
1490687774210,136.2437286376953,,903d185fccf839df
1490687774248,135.63223266601562,,903d185fccf839df
1490687774278,135.10165405273438,,903d185fccf839df
1490687774308,134.08074951171875,,903d185fccf839df
1490687774323,133.70542907714844,,903d185fccf839df
1490687774354,131.8857421875,,903d185fccf839df
1490687774379,130.47108459472656,,903d185fccf839df
1490687774408,130.10501098632812,,903d185fccf839df
1490687774440,130.3201904296875,,903d185fccf839df
1490687774468,130.35964965820312,,903d185fccf839df
1490687774499,129.6758270263672,,903d185fccf839df
1490687774528,129.22474670410156,,903d185fccf839df
1490687774548,129.19908142089844,,903d185fccf839df
1490687774595,128.8907470703125,,903d185fccf839df
1490687774620,128.34173583984375,,903d185fccf839df
1490687774660,127.34996795654297,,903d185fccf839df
1490687774701,127.64043426513672,,903d185fccf839df
1490687774728,128.64271545410156,,903d185fccf839df
1490687774749,129.23733520507812,,903d185fccf839df
1490687774759,129.50686645507812,,903d185fccf839df
1490687774819,130.78672790527344,,903d185fccf839df
1490687774849,131.4953155517578,,903d185fccf839df
1490687774881,132.1161651611328,,903d185fccf839df
1490687775110,130.59458923339844,,903d185fccf839df
1490687775200,130.7664337158203,,903d185fccf839df
1490687775247,130.2262725830078,,903d185fccf839df
1490687775282,129.38998413085938,,903d185fccf839df
1490687775330,128.89723205566406,,903d185fccf839df
1490687775362,129.3125,,903d185fccf839df
1490687775419,130.80926513671875,,903d185fccf839df
1490687775450,131.20529174804688,,903d185fccf839df
1490687775473,131.32774353027344,,903d185fccf839df
1490687775509,130.98471069335938,,903d185fccf839df
1490687775539,130.6657257080078,,903d185fccf839df
1490687775558,130.95196533203125,,903d185fccf839df
1490687775590,132.14749145507812,,903d185fccf839df
1490687775630,132.866943359375,,903d185fccf839df
1490687775650,132.63169860839844,,903d185fccf839df
1490687775681,131.7557830810547,,903d185fccf839df
1490687775708,130.87071228027344,,903d185fccf839df
1490687775759,130.38186645507812,,903d185fccf839df
1490687775789,130.45602416992188,,903d185fccf839df
1490687775819,130.41610717773438,,903d185fccf839df
1490687775829,130.3258056640625,,903d185fccf839df
1490687775867,129.5865936279297,,903d185fccf839df
1490687775908,129.0164031982422,,903d185fccf839df
1490687775928,129.078857421875,,903d185fccf839df
1490687775942,129.20022583007812,,903d185fccf839df
1490687775980,130.0990753173828,,903d185fccf839df
1490687776003,130.51760864257812,,903d185fccf839df
1490687776028,131.04827880859375,,903d185fccf839df
1490687776060,131.69329833984375,,903d185fccf839df
1490687776078,132.1844482421875,,903d185fccf839df
1490687776108,133.48178100585938,,903d185fccf839df
1490687776123,134.08009338378906,,903d185fccf839df
1490687776129,134.66949462890625,,903d185fccf839df
1490687776160,135.7666015625,,903d185fccf839df
1490687776180,135.7139129638672,,903d185fccf839df
1490687776208,135.1637420654297,,903d185fccf839df
1490687776229,135.03570556640625,,903d185fccf839df
1490687776239,135.07952880859375,,903d185fccf839df
1490687776267,134.94522094726562,,903d185fccf839df
1490687776289,133.20509338378906,,903d185fccf839df
1490687776300,132.1263427734375,,903d185fccf839df
1490687776331,130.56793212890625,,903d185fccf839df
1490687776359,130.52871704101562,,903d185fccf839df
1490687776408,131.3024139404297,,903d185fccf839df
1490687776429,131.4141845703125,,903d185fccf839df
1490687776440,131.50523376464844,,903d185fccf839df
1490687776468,131.8547821044922,,903d185fccf839df
1490687776493,132.25323486328125,,903d185fccf839df
1490687776509,133.06387329101562,,903d185fccf839df
1490687776530,134.41726684570312,,903d185fccf839df
1490687776549,135.76229858398438,,903d185fccf839df
1490687776579,136.70265197753906,,903d185fccf839df
1490687776609,136.6337890625,,903d185fccf839df
1490687776655,135.9916229248047,,903d185fccf839df
1490687776694,136.38427734375,,903d185fccf839df
1490687776719,136.1695098876953,,903d185fccf839df
1490687776728,135.990234375,,903d185fccf839df
1490687776749,135.64210510253906,,903d185fccf839df
1490687776781,135.1402587890625,,903d185fccf839df
1490687776802,134.7730712890625,,903d185fccf839df
1490687776809,134.57559204101562,,903d185fccf839df
1490687776838,133.75352478027344,,903d185fccf839df
1490687776849,133.4434356689453,,903d185fccf839df
1490687776889,132.00643920898438,,903d185fccf839df
1490687776911,130.70115661621094,,903d185fccf839df
1490687776932,129.57733154296875,,903d185fccf839df
1490687776966,129.37474060058594,,903d185fccf839df
1490687776988,129.97439575195312,,903d185fccf839df
1490687777025,130.59263610839844,,903d185fccf839df
1490687777039,131.58177185058594,,903d185fccf839df
1490687777069,133.86386108398438,,903d185fccf839df
1490687777089,134.9185791015625,,903d185fccf839df
1490687777108,135.15643310546875,,903d185fccf839df
1490687777120,135.12127685546875,,903d185fccf839df
1490687777152,135.20355224609375,,903d185fccf839df
1490687777168,135.63108825683594,,903d185fccf839df
1490687777200,136.70022583007812,,903d185fccf839df
1490687777239,138.17166137695312,,903d185fccf839df
1490687777260,138.53460693359375,,903d185fccf839df
1490687777285,137.97410583496094,,903d185fccf839df
1490687777291,137.1177520751953,,903d185fccf839df
1490687777323,132.94969177246094,,903d185fccf839df
1490687777340,130.1269073486328,,903d185fccf839df
1490687777368,126.4634780883789,,903d185fccf839df
1490687777401,125.05098724365234,,903d185fccf839df
1490687777424,125.04948425292969,,903d185fccf839df
1490687777442,125.08238983154297,,903d185fccf839df
1490687777459,125.11453247070312,,903d185fccf839df
1490687777489,126.08818817138672,,903d185fccf839df
1490687777509,127.7938003540039,,903d185fccf839df
1490687777539,130.4734344482422,,903d185fccf839df
1490687777559,131.87510681152344,,903d185fccf839df
1490687777613,137.72805786132812,,903d185fccf839df
1490687777641,139.14683532714844,,903d185fccf839df
1490687777671,140.30276489257812,,903d185fccf839df
1490687777704,141.30560302734375,,903d185fccf839df
1490687777732,142.06707763671875,,903d185fccf839df
1490687777741,142.25363159179688,,903d185fccf839df
1490687777773,142.58450317382812,,903d185fccf839df
1490687777809,142.4810333251953,,903d185fccf839df
1490687777839,142.0640869140625,,903d185fccf839df
1490687777862,142.0973358154297,,903d185fccf839df
1490687777970,140.55064392089844,,903d185fccf839df
