timestamp, signal strength, UUID 
,,,903d185fccf839df
1490687773391,-89,,903d185fccf839df
1490687773530,-89,,903d185fccf839df
1490687773756,-89,,903d185fccf839df
1490687773786,-89,,903d185fccf839df
1490687773887,-89,,903d185fccf839df
1490687773994,-89,,903d185fccf839df
1490687774099,-89,,903d185fccf839df
1490687774196,-89,,903d185fccf839df
1490687774303,-89,,903d185fccf839df
1490687774395,-89,,903d185fccf839df
1490687774492,-89,,903d185fccf839df
1490687774588,-89,,903d185fccf839df
1490687774697,-89,,903d185fccf839df
1490687774802,-89,,903d185fccf839df
1490687774892,-89,,903d185fccf839df
1490687775146,-89,,903d185fccf839df
1490687775219,-89,,903d185fccf839df
1490687775300,-89,,903d185fccf839df
1490687775419,-89,,903d185fccf839df
1490687775492,-89,,903d185fccf839df
1490687775586,-89,,903d185fccf839df
1490687775697,-89,,903d185fccf839df
1490687775792,-89,,903d185fccf839df
1490687775889,-89,,903d185fccf839df
1490687775981,-89,,903d185fccf839df
1490687776081,-89,,903d185fccf839df
1490687776184,-89,,903d185fccf839df
1490687776280,-89,,903d185fccf839df
1490687776380,-89,,903d185fccf839df
1490687776479,-89,,903d185fccf839df
1490687776584,-89,,903d185fccf839df
1490687776695,-89,,903d185fccf839df
1490687776783,-89,,903d185fccf839df
1490687776886,-89,,903d185fccf839df
1490687776985,-89,,903d185fccf839df
1490687777086,-89,,903d185fccf839df
1490687777187,-89,,903d185fccf839df
1490687777276,-89,,903d185fccf839df
1490687777381,-89,,903d185fccf839df
1490687777488,-89,,903d185fccf839df
1490687777595,-89,,903d185fccf839df
1490687777703,-89,,903d185fccf839df
1490687777801,-89,,903d185fccf839df
1490687777893,-89,,903d185fccf839df
1490687778001,-89,,903d185fccf839df
1490687778095,-89,,903d185fccf839df
1490687778260,-89,,903d185fccf839df
1490687778284,-89,,903d185fccf839df
1490687778385,-89,,903d185fccf839df
1490687778474,-89,,903d185fccf839df
1490687778570,-89,,903d185fccf839df
1490687778678,-89,,903d185fccf839df
1490687778773,-89,,903d185fccf839df
1490687778875,-89,,903d185fccf839df
1490687778979,-89,,903d185fccf839df
1490687779081,-89,,903d185fccf839df
1490687779186,-89,,903d185fccf839df
1490687779288,-89,,903d185fccf839df
1490687779376,-89,,903d185fccf839df
1490687779484,-89,,903d185fccf839df
1490687779579,-89,,903d185fccf839df
1490687779683,-89,,903d185fccf839df
1490687779793,-89,,903d185fccf839df
1490687779891,-89,,903d185fccf839df
1490687779986,-89,,903d185fccf839df
1490687780092,-89,,903d185fccf839df
1490687780185,-89,,903d185fccf839df
1490687780296,-89,,903d185fccf839df
1490687780398,-89,,903d185fccf839df
1490687780484,-89,,903d185fccf839df
1490687780583,-89,,903d185fccf839df
1490687780698,-89,,903d185fccf839df
1490687780784,-89,,903d185fccf839df
1490687780880,-89,,903d185fccf839df
1490687780985,-89,,903d185fccf839df
1490687781080,-89,,903d185fccf839df
1490687781183,-89,,903d185fccf839df
1490687781284,-89,,903d185fccf839df
1490687781384,-89,,903d185fccf839df
1490687781479,-89,,903d185fccf839df
1490687781585,-89,,903d185fccf839df
