timestamp, lastAccessTime, proximity, UUID 
1494777582211,1494777582414,far,,903d185fccf839df
1494777582211,1494777583796,far,,903d185fccf839df
1494777582211,1494777584134,far,,903d185fccf839df
1494777582211,1494777584194,far,,903d185fccf839df
1494777582211,1494777584218,far,,903d185fccf839df
1494777582211,1494777584261,far,,903d185fccf839df
1494777582211,1494777584288,far,,903d185fccf839df
1494777582211,1494777584312,far,,903d185fccf839df
1494777582211,1494777584341,far,,903d185fccf839df
1494777582211,1494777584379,far,,903d185fccf839df
1494777582211,1494777584406,far,,903d185fccf839df
1494777582211,1494777584428,far,,903d185fccf839df
1494777582211,1494777584442,far,,903d185fccf839df
1494777582211,1494777584458,far,,903d185fccf839df
1494777582211,1494777584472,far,,903d185fccf839df
1494777582211,1494777584487,far,,903d185fccf839df
1494777582211,1494777584504,far,,903d185fccf839df
1494777582211,1494777584530,far,,903d185fccf839df
1494777582211,1494777584571,far,,903d185fccf839df
1494777582211,1494777584601,far,,903d185fccf839df
1494777582211,1494777584628,far,,903d185fccf839df
1494777582211,1494777584657,far,,903d185fccf839df
1494777582211,1494777584675,far,,903d185fccf839df
1494777582211,1494777584695,far,,903d185fccf839df
1494777582211,1494777584715,far,,903d185fccf839df
1494777582211,1494777584740,far,,903d185fccf839df
1494777582211,1494777584773,far,,903d185fccf839df
1494777582211,1494777584792,far,,903d185fccf839df
1494777582211,1494777584814,far,,903d185fccf839df
1494777582211,1494777584849,far,,903d185fccf839df
1494777582211,1494777584866,far,,903d185fccf839df
1494777582211,1494777584903,far,,903d185fccf839df
1494777582211,1494777584944,far,,903d185fccf839df
1494777582211,1494777584969,far,,903d185fccf839df
1494777582211,1494777584994,far,,903d185fccf839df
1494777582211,1494777585023,far,,903d185fccf839df
1494777582211,1494777585048,far,,903d185fccf839df
1494777582211,1494777585070,far,,903d185fccf839df
1494777582211,1494777585093,far,,903d185fccf839df
1494777582211,1494777585121,far,,903d185fccf839df
1494777582211,1494777585147,far,,903d185fccf839df
1494777582211,1494777585187,far,,903d185fccf839df
1494777582211,1494777585226,far,,903d185fccf839df
1494777582211,1494777585385,far,,903d185fccf839df
1494777582211,1494777585409,far,,903d185fccf839df
1494777582211,1494777585421,far,,903d185fccf839df
1494777582211,1494777585434,far,,903d185fccf839df
1494777582211,1494777585445,far,,903d185fccf839df
1494777582211,1494777585456,far,,903d185fccf839df
1494777582211,1494777585478,far,,903d185fccf839df
1494777582211,1494777585492,far,,903d185fccf839df
1494777582211,1494777585500,far,,903d185fccf839df
1494777582211,1494777585533,far,,903d185fccf839df
1494777582211,1494777585591,far,,903d185fccf839df
1494777582211,1494777585604,far,,903d185fccf839df
1494777582211,1494777585618,far,,903d185fccf839df
1494777582211,1494777585701,far,,903d185fccf839df
1494777582211,1494777585721,far,,903d185fccf839df
1494777582211,1494777585738,far,,903d185fccf839df
1494777582211,1494777585750,far,,903d185fccf839df
1494777582211,1494777585758,far,,903d185fccf839df
1494777582211,1494777585781,far,,903d185fccf839df
1494777582211,1494777585795,far,,903d185fccf839df
1494777582211,1494777585810,far,,903d185fccf839df
1494777582211,1494777585816,far,,903d185fccf839df
1494777582211,1494777585871,far,,903d185fccf839df
1494777582211,1494777585898,far,,903d185fccf839df
1494777582211,1494777585919,far,,903d185fccf839df
1494777582211,1494777585944,far,,903d185fccf839df
1494777582211,1494777585967,far,,903d185fccf839df
1494777582211,1494777585986,far,,903d185fccf839df
1494777582211,1494777586002,far,,903d185fccf839df
1494777582211,1494777586017,far,,903d185fccf839df
1494777582211,1494777586045,far,,903d185fccf839df
1494777582211,1494777586067,far,,903d185fccf839df
1494777582211,1494777586102,far,,903d185fccf839df
1494777582211,1494777586122,far,,903d185fccf839df
1494777582211,1494777586144,far,,903d185fccf839df
1494777582211,1494777586165,far,,903d185fccf839df
1494777582211,1494777586186,far,,903d185fccf839df
1494777582211,1494777586203,far,,903d185fccf839df
1494777586222,1494777586223,near,,903d185fccf839df
1494777586222,1494777586276,near,,903d185fccf839df
1494777586222,1494777586290,near,,903d185fccf839df
1494777586222,1494777586301,near,,903d185fccf839df
1494777586222,1494777586321,near,,903d185fccf839df
1494777586222,1494777586343,near,,903d185fccf839df
1494777586222,1494777586363,near,,903d185fccf839df
1494777586222,1494777586388,near,,903d185fccf839df
