timestamp, pressure, UUID 
1494777582450,960.854736328125,903d185fccf839df
1494777583718,960.814453125,903d185fccf839df
1494777584056,960.78076171875,903d185fccf839df
1494777584267,960.759033203125,903d185fccf839df
1494777584415,960.72216796875,903d185fccf839df
1494777584596,960.71484375,903d185fccf839df
1494777584778,960.6904296875,903d185fccf839df
1494777584956,960.6572265625,903d185fccf839df
1494777585135,960.63671875,903d185fccf839df
1494777585315,960.636962890625,903d185fccf839df
1494777585495,960.63232421875,903d185fccf839df
1494777585676,960.626708984375,903d185fccf839df
1494777585855,960.61328125,903d185fccf839df
1494777586036,960.6279296875,903d185fccf839df
1494777586219,960.635009765625,903d185fccf839df
1494777586401,960.640869140625,903d185fccf839df
1494777586576,960.65283203125,903d185fccf839df
1494777586756,960.65673828125,903d185fccf839df
1494777586935,960.6767578125,903d185fccf839df
1494777587115,960.677734375,903d185fccf839df
1494777587295,960.669921875,903d185fccf839df
1494777587475,960.664794921875,903d185fccf839df
1494777587656,960.676025390625,903d185fccf839df
1494777587838,960.674072265625,903d185fccf839df
1494777588022,960.669189453125,903d185fccf839df
1494777588196,960.68115234375,903d185fccf839df
1494777588376,960.681396484375,903d185fccf839df
1494777588562,960.677001953125,903d185fccf839df
1494777588736,960.677001953125,903d185fccf839df
1494777588916,960.681396484375,903d185fccf839df
1494777589099,960.671630859375,903d185fccf839df
1494777589277,960.68896484375,903d185fccf839df
1494777589457,960.683349609375,903d185fccf839df
1494777589636,960.675537109375,903d185fccf839df
1494777589817,960.689697265625,903d185fccf839df
1494777589997,960.70166015625,903d185fccf839df
1494777590177,960.70458984375,903d185fccf839df
1494777590357,960.71435546875,903d185fccf839df
1494777590540,960.705810546875,903d185fccf839df
1494777590716,960.7158203125,903d185fccf839df
1494777590898,960.731201171875,903d185fccf839df
1494777591077,960.7275390625,903d185fccf839df
1494777591270,960.73193359375,903d185fccf839df
1494777591436,960.751708984375,903d185fccf839df
1494777591619,960.7373046875,903d185fccf839df
1494777591798,960.745849609375,903d185fccf839df
1494777591976,960.756591796875,903d185fccf839df
1494777592158,960.744873046875,903d185fccf839df
1494777592336,960.7412109375,903d185fccf839df
1494777592521,960.7353515625,903d185fccf839df
1494777592697,960.72802734375,903d185fccf839df
1494777592877,960.735107421875,903d185fccf839df
1494777593062,960.736328125,903d185fccf839df
1494777593237,960.72607421875,903d185fccf839df
1494777593417,960.7333984375,903d185fccf839df
1494777593602,960.73974609375,903d185fccf839df
1494777593776,960.717041015625,903d185fccf839df
1494777593958,960.7060546875,903d185fccf839df
1494777594144,960.701904296875,903d185fccf839df
1494777594317,960.68310546875,903d185fccf839df
1494777594499,960.68115234375,903d185fccf839df
1494777594683,960.658935546875,903d185fccf839df
1494777594863,960.652099609375,903d185fccf839df
1494777595037,960.667236328125,903d185fccf839df
1494777595216,960.67919921875,903d185fccf839df
1494777595398,960.68896484375,903d185fccf839df
1494777595583,960.691162109375,903d185fccf839df
1494777595756,960.691650390625,903d185fccf839df
1494777595938,960.6953125,903d185fccf839df
1494777596121,960.69140625,903d185fccf839df
1494777596298,960.6962890625,903d185fccf839df
1494777596479,960.6904296875,903d185fccf839df
1494777596657,960.685546875,903d185fccf839df
1494777596836,960.676025390625,903d185fccf839df
1494777597016,960.6767578125,903d185fccf839df
1494777597196,960.664306640625,903d185fccf839df
1494777597376,960.6708984375,903d185fccf839df
1494777597557,960.66943359375,903d185fccf839df
1494777597736,960.661865234375,903d185fccf839df
1494777597917,960.660888671875,903d185fccf839df
1494777598101,960.65087890625,903d185fccf839df
1494777598280,960.654541015625,903d185fccf839df
