timestamp, gyroscopeX, gyroscopeY, gyroscopeZ, UUID 
1493663060056,-0.1992044597864151,0.2514024078845978,0.1480717658996582,,903d185fccf839df
1493663060530,0.5305017232894897,-0.2514024078845978,-0.12250541150569916,,903d185fccf839df
1493663060650,0.012783173471689224,-0.5976133346557617,0.6327670812606812,,903d185fccf839df
1493663060750,-0.27590349316596985,-0.014913702383637428,-0.26738137006759644,,903d185fccf839df
1493663060825,-0.1672465205192566,-0.25672873854637146,-0.28442561626434326,,903d185fccf839df
1493663060881,-0.14913702011108398,-0.33129724860191345,-0.28975194692611694,,903d185fccf839df
1493663060966,-0.07776430249214172,-0.24288029968738556,-0.19600865244865417,,903d185fccf839df
1493663061050,-0.1672465205192566,0.11930961906909943,-0.17363810539245605,,903d185fccf839df
1493663061103,-0.399474173784256,0.16511599719524384,-0.18002969026565552,,903d185fccf839df
1493663061151,-0.8213189244270325,0.15552860498428345,0.0788295716047287,,903d185fccf839df
1493663061195,-0.426105797290802,0.058589544147253036,-0.12676647305488586,,903d185fccf839df
1493663061227,0.2183792144060135,-0.4399542212486267,0.006391586735844612,,903d185fccf839df
1493663061296,-0.13209278881549835,0.2226402759552002,0.05326322466135025,,903d185fccf839df
1493663061341,0.11504855751991272,0.15233281254768372,-0.011717909015715122,,903d185fccf839df
1493663061436,-0.72437983751297,0.7030745148658752,-0.48043426871299744,,903d185fccf839df
1493663061509,0.2460760921239853,-0.2183792144060135,-0.29933932423591614,,903d185fccf839df
1493663061575,0.15446335077285767,-0.33662357926368713,0.16618125140666962,,903d185fccf839df
1493663061598,0.09161274135112762,-0.008522115647792816,0.23435817658901215,,903d185fccf839df
1493663061677,0.48469531536102295,-0.7073355913162231,0.15872439742088318,,903d185fccf839df
1493663061709,0.3163835406303406,-0.25353294610977173,-0.012783173471689224,,903d185fccf839df
1493663061758,0.33981937170028687,-0.2865561246871948,-0.10120012611150742,,903d185fccf839df
1493663061802,-0.017044231295585632,-0.08628641813993454,-0.10546118021011353,,903d185fccf839df
1493663061867,0.29401299357414246,0.05006742849946022,-0.017044231295585632,,903d185fccf839df
1493663061896,0.27483823895454407,0.06285060197114944,-0.013848437927663326,,903d185fccf839df
1493663061947,0.18216022849082947,0.3206445872783661,-0.15446335077285767,,903d185fccf839df
1493663061986,0.3611246645450592,0.12783172726631165,-0.04048004746437073,,903d185fccf839df
1493663062018,0.1853560209274292,0.08735168725252151,0.001065264455974102,,903d185fccf839df
1493663062064,0.27590349316596985,0.2588592767715454,-0.05326322466135025,,903d185fccf839df
1493663062110,0.26205506920814514,0.23755396902561188,-0.026631612330675125,,903d185fccf839df
1493663062161,0.06604639440774918,-0.15020228922367096,-0.03834952041506767,,903d185fccf839df
1493663062226,0.011717909015715122,0.06924218684434891,-0.07456851005554199,,903d185fccf839df
1493663062271,0.030892670154571533,0.09374327212572098,-0.10013485699892044,,903d185fccf839df
1493663062317,0.18322548270225525,-0.11930961906909943,-0.003195793367922306,,903d185fccf839df
1493663062361,0.37816888093948364,-0.4953479766845703,0.009587380103766918,,903d185fccf839df
1493663062396,0.17470337450504303,-0.4356931746006012,-0.10013485699892044,,903d185fccf839df
1493663062441,-0.012783173471689224,-0.3057309091091156,-0.15552860498428345,,903d185fccf839df
1493663062510,0.004261057823896408,-0.4580637216567993,-0.2034655064344406,,903d185fccf839df
1493663062559,0.19387812912464142,-0.5688512325286865,-0.3653857111930847,,903d185fccf839df
1493663062616,0.3185140788555145,-0.8852347731590271,-0.19813919067382812,,903d185fccf839df
1493663062667,0.35899412631988525,-1.3422331809997559,-0.14700649678707123,,903d185fccf839df
1493663062701,-0.1161138266324997,-0.7318366765975952,-0.16831178963184357,,903d185fccf839df
1493663062781,-0.2588592767715454,-0.906540036201477,-0.26738137006759644,,903d185fccf839df
1493663062836,-0.03621899336576462,-0.48469531536102295,-0.17257283627986908,,903d185fccf839df
1493663062886,-0.07243798673152924,-0.40160471200942993,-0.3557983338832855,,903d185fccf839df
1493663062916,0.055393751710653305,-0.3376888334751129,-0.38242992758750916,,903d185fccf839df
1493663062951,0.2972087860107422,-0.7073355913162231,-0.22370553016662598,,903d185fccf839df
1493663063007,0.08735168725252151,-0.463390052318573,-0.3653857111930847,,903d185fccf839df
1493663063076,0.4090615510940552,-0.3014698326587677,-0.3611246645450592,,903d185fccf839df
1493663063156,0.013848437927663326,-0.16511599719524384,-0.5805691480636597,,903d185fccf839df
1493663063226,-0.3004045784473419,0.18216022849082947,-0.3845604658126831,,903d185fccf839df
1493663063286,0.3472762107849121,-0.12676647305488586,-0.21198762953281403,,903d185fccf839df
1493663063347,0.24714136123657227,-0.017044231295585632,-0.44741106033325195,,903d185fccf839df
1493663063401,0.27164244651794434,-0.43356263637542725,-0.43249738216400146,,903d185fccf839df
1493663063441,-0.001065264455974102,-0.8884305357933044,-0.2790992856025696,,903d185fccf839df
1493663063501,-0.6476807594299316,-0.6327670812606812,0.049002163112163544,,903d185fccf839df
1493663063571,-0.5613943934440613,-0.9896306991577148,0.5773733258247375,,903d185fccf839df
1493663063630,-0.8468852639198303,-0.6466155052185059,-0.19174760580062866,,903d185fccf839df
1493663063730,0.22370553016662598,-0.250337153673172,-0.007456851191818714,,903d185fccf839df
1493663063796,-0.25779399275779724,-0.09480853378772736,-0.28442561626434326,,903d185fccf839df
1493663063858,0.09480853378772736,0.05752427875995636,-0.44315001368522644,,903d185fccf839df
1493663063890,-0.1395496428012848,0.3515372574329376,-0.4676510989665985,,903d185fccf839df
1493663064090,0.07030745595693588,0.5443501472473145,0.22157500684261322,,903d185fccf839df
1493663064181,0.16831178963184357,0.7574030160903931,0.012783173471689224,,903d185fccf839df
1493663064227,0.5805691480636597,0.5273059010505676,0.06711166352033615,,903d185fccf839df
1493663064330,0.40160471200942993,0.22050973773002625,-0.13848437368869781,,903d185fccf839df
1493663064390,0.12144014984369278,0.1480717658996582,-0.10013485699892044,,903d185fccf839df
1493663064415,0.06285060197114944,0.23116238415241241,-0.11291803419589996,,903d185fccf839df
1493663064516,0.15552860498428345,0.17789916694164276,0.1480717658996582,,903d185fccf839df
1493663064590,0.09480853378772736,-0.06924218684434891,0.11398329585790634,,903d185fccf839df
1493663064675,-0.1161138266324997,0.08948221802711487,0.037284255027770996,,903d185fccf839df
1493663064750,-0.39734363555908203,-0.034088462591171265,-0.08309062570333481,,903d185fccf839df
1493663064816,-0.06711166352033615,-0.0884169489145279,0.0788295716047287,,903d185fccf839df
1493663064883,0.28442561626434326,-0.02130528911948204,-0.08096009492874146,,903d185fccf839df
1493663066021,0.28016453981399536,-0.36964675784111023,0.1257012039422989,,903d185fccf839df
1493663066136,-0.11291803419589996,-0.5997439026832581,0.33981937170028687,,903d185fccf839df
1493663066230,-0.4857605993747711,-0.5177185535430908,0.4026699662208557,,903d185fccf839df
1493663066296,-0.006391586735844612,-0.18002969026565552,0.19174760580062866,,903d185fccf839df
1493663066362,-0.509196400642395,0.04367584362626076,0.04687163606286049,,903d185fccf839df
1493663066426,0.00532632227987051,0.024501081556081772,0.1161138266324997,,903d185fccf839df
1493663066476,-0.012783173471689224,0.037284255027770996,0.003195793367922306,,903d185fccf839df
1493663066516,0.05965480953454971,0.05432848632335663,0.1619201898574829,,903d185fccf839df
1493663066589,-0.007456851191818714,-0.001065264455974102,0.20240025222301483,,903d185fccf839df
1493663066676,-0.3856257200241089,0.46978163719177246,0.07456851005554199,,903d185fccf839df
1493663066757,-0.25246766209602356,0.12144014984369278,0.14168016612529755,,903d185fccf839df
1493663066818,-0.6103965044021606,1.5638082027435303,0.06072007492184639,,903d185fccf839df
1493663066888,0.22903186082839966,0.5187838077545166,0.25672873854637146,,903d185fccf839df
1493663066919,0.4356931746006012,0.026631612330675125,0.29827404022216797,,903d185fccf839df
1493663066982,-0.12463594228029251,0.1203748807311058,0.3099919557571411,,903d185fccf839df
1493663067021,0.024501081556081772,0.20559604465961456,0.37390783429145813,,903d185fccf839df
1493663067067,0.21411815285682678,0.19600865244865417,0.4548679292201996,,903d185fccf839df
1493663067108,0.6988134980201721,-0.08202536404132843,0.621049165725708,,903d185fccf839df
1493663067150,0.15659387409687042,0.022370554506778717,0.4676510989665985,,903d185fccf839df
1493663067196,-0.030892670154571533,-0.25353294610977173,0.33981937170028687,,903d185fccf839df
1493663067276,0.19707392156124115,0.20026971399784088,0.4548679292201996,,903d185fccf839df
1493663067330,0.31318774819374084,-0.03302319720387459,0.4772384762763977,,903d185fccf839df
1493663067401,0.6391586661338806,-1.1536813974380493,0.6998787522315979,,903d185fccf839df
1493663067450,0.5613943934440613,-1.5084145069122314,0.8223841786384583,,903d185fccf839df
1493663067496,0.27057716250419617,-1.5829830169677734,1.2442288398742676,,903d185fccf839df
1493663067561,-1.6532903909683228,-1.0482202768325806,1.1739214658737183,,903d185fccf839df
1493663067601,-0.7254450917243958,-1.497761845588684,1.7033578157424927,,903d185fccf839df
1493663067657,-0.8181231021881104,-2.420280933380127,2.3073627948760986,,903d185fccf839df
1493663067701,-1.2911005020141602,-2.394714593887329,2.7153592109680176,,903d185fccf839df
1493663067750,-2.1443772315979004,-0.5592638254165649,3.0732879638671875,,903d185fccf839df
1493663067796,-2.1347899436950684,-0.434627890586853,3.171292304992676,,903d185fccf839df
1493663067852,-1.890844464302063,-2.0943098068237305,3.6400086879730225,,903d185fccf839df
1493663067890,-1.0418286323547363,-1.6777914762496948,3.354517698287964,,903d185fccf839df
1493663067948,0.0884169489145279,0.463390052318573,1.6341156959533691,,903d185fccf839df
1493663067990,-0.6945524215698242,1.739576816558838,0.6785734295845032,,903d185fccf839df
1493663068026,-1.577656626701355,1.3837785720825195,0.3557983338832855,,903d185fccf839df
1493663068068,-1.3347764015197754,0.6988134980201721,0.3930825889110565,,903d185fccf839df
1493663068106,-0.583764910697937,0.39521312713623047,0.7446198463439941,,903d185fccf839df
1493663068175,-0.13209278881549835,-0.14274543523788452,0.6732471585273743,,903d185fccf839df
1493663068216,-0.037284255027770996,-0.4761732220649719,0.04687163606286049,,903d185fccf839df
1493663068241,-0.11291803419589996,-0.46552056074142456,-0.4303668439388275,,903d185fccf839df
1493663068276,0.05645901709794998,-0.30360037088394165,-1.0855045318603516,,903d185fccf839df
1493663068303,0.4122573435306549,-0.1395496428012848,-1.3965617418289185,,903d185fccf839df
1493663068343,1.2527509927749634,-0.15020228922367096,-1.547829270362854,,903d185fccf839df
1493663068367,1.4881744384765625,-0.6199839115142822,-1.5840482711791992,,903d185fccf839df
1493663068392,1.5020228624343872,-1.1771172285079956,-1.6831178665161133,,903d185fccf839df
1493663068430,1.6202672719955444,-1.659682035446167,-1.7161409854888916,,903d185fccf839df
1493663068476,1.6948357820510864,-1.5393071174621582,-1.4381070137023926,,903d185fccf839df
1493663068510,1.6831178665161133,-1.1281150579452515,-1.3592774868011475,,903d185fccf839df
1493663068571,1.7012273073196411,-0.5400890707969666,-1.7406420707702637,,903d185fccf839df
1493663068621,1.4136059284210205,-0.5560680627822876,-1.4828481674194336,,903d185fccf839df
1493663068681,1.042893886566162,-0.6040049195289612,-1.1281150579452515,,903d185fccf839df
1493663068727,0.39201730489730835,-0.22477079927921295,-0.6838997602462769,,903d185fccf839df
1493663068810,-0.20559604465961456,0.4591289758682251,0.72437983751297,,903d185fccf839df
1493663068866,-0.732901930809021,0.4964132308959961,1.192030906677246,,903d185fccf839df
1493663068946,-1.652225136756897,1.0855045318603516,2.607767343521118,,903d185fccf839df
