timestamp, lastAccessTime, proximity, UUID 
1493659596012,1493659599401,far,,903d185fccf839df
1493659596012,1493659599427,far,,903d185fccf839df
1493659596012,1493659599453,far,,903d185fccf839df
1493659596012,1493659599517,far,,903d185fccf839df
1493659596012,1493659599554,far,,903d185fccf839df
1493659596012,1493659599584,far,,903d185fccf839df
1493659596012,1493659599618,far,,903d185fccf839df
1493659596012,1493659599652,far,,903d185fccf839df
1493659596012,1493659599708,far,,903d185fccf839df
1493659596012,1493659599754,far,,903d185fccf839df
1493659596012,1493659599801,far,,903d185fccf839df
1493659596012,1493659599851,far,,903d185fccf839df
1493659596012,1493659599918,far,,903d185fccf839df
1493659599929,1493659599962,near,,903d185fccf839df
1493659599929,1493659600009,near,,903d185fccf839df
1493659599929,1493659600027,near,,903d185fccf839df
1493659599929,1493659600104,near,,903d185fccf839df
1493659599929,1493659600118,near,,903d185fccf839df
1493659599929,1493659600206,near,,903d185fccf839df
1493659599929,1493659600209,near,,903d185fccf839df
1493659599929,1493659600269,near,,903d185fccf839df
1493659599929,1493659600272,near,,903d185fccf839df
1493659599929,1493659600306,near,,903d185fccf839df
1493659599929,1493659600314,near,,903d185fccf839df
1493659599929,1493659600374,near,,903d185fccf839df
1493659599929,1493659600380,near,,903d185fccf839df
1493659599929,1493659600416,near,,903d185fccf839df
1493659599929,1493659600420,near,,903d185fccf839df
1493659599929,1493659600548,near,,903d185fccf839df
1493659599929,1493659600556,near,,903d185fccf839df
1493659599929,1493659600723,near,,903d185fccf839df
1493659599929,1493659600726,near,,903d185fccf839df
1493659599929,1493659600800,near,,903d185fccf839df
1493659599929,1493659600803,near,,903d185fccf839df
1493659599929,1493659600984,near,,903d185fccf839df
1493659599929,1493659600987,near,,903d185fccf839df
1493659599929,1493659601040,near,,903d185fccf839df
1493659599929,1493659601043,near,,903d185fccf839df
1493659599929,1493659601076,near,,903d185fccf839df
1493659599929,1493659601089,near,,903d185fccf839df
1493659599929,1493659601106,near,,903d185fccf839df
1493659599929,1493659601122,near,,903d185fccf839df
1493659599929,1493659601196,near,,903d185fccf839df
1493659599929,1493659601203,near,,903d185fccf839df
1493659599929,1493659601229,near,,903d185fccf839df
1493659599929,1493659601269,near,,903d185fccf839df
1493659599929,1493659601313,near,,903d185fccf839df
1493659599929,1493659601353,near,,903d185fccf839df
1493659599929,1493659601419,near,,903d185fccf839df
1493659599929,1493659601442,near,,903d185fccf839df
1493659599929,1493659601559,near,,903d185fccf839df
1493659599929,1493659601581,near,,903d185fccf839df
1493659599929,1493659601617,near,,903d185fccf839df
1493659599929,1493659601631,near,,903d185fccf839df
